-2.0 + 0.0im	7.338014217127344e-5 + 0.0im
-1.98019801980198 + 0.0im	7.703654632711498e-5 + 0.0im
-1.96059209881384 + 0.0im	8.197026776667734e-5 + 0.0im
-1.94118029585529 + 0.0im	8.713817333829884e-5 + 0.0im
-1.92196068896563 + 0.0im	9.257922819526268e-5 + 0.0im
-1.9029313752135 + 0.0im	9.83153395671399e-5 + 0.0im
-1.88409047050841 + 0.0im	0.00010436470536050786 + 0.0im
-1.86543610941427 + 0.0im	0.00011074460393565299 + 0.0im
-1.84696644496462 + 0.0im	0.00011747224493623765 + 0.0im
-1.82867964847983 + 0.0im	0.00012456518390385106 + 0.0im
-1.81057390938597 + 0.0im	0.00013204146804234103 + 0.0im
-1.79264743503561 + 0.0im	0.00013991975733467917 + 0.0im
-1.77489845053031 + 0.0im	0.00014821940059758773 + 0.0im
-1.75732519854486 + 0.0im	0.0001569604852994794 + 0.0im
-1.73992593915333 + 0.0im	0.00016616386824869174 + 0.0im
-1.72269894965676 + 0.0im	0.00017585124354409047 + 0.0im
-1.70564252441263 + 0.0im	0.00018604515370954075 + 0.0im
-1.68875497466597 + 0.0im	0.00019676905870491602 + 0.0im
-1.67203462838215 + 0.0im	0.000208047339466045 + 0.0im
-1.65547983008134 + 0.0im	0.00021990536054238545 + 0.0im
-1.63908894067459 + 0.0im	0.00023236950441036256 + 0.0im
-1.62286033730158 + 0.0im	0.0002454672063637704 + 0.0im
-1.60679241316988 + 0.0im	0.0002592270216956956 + 0.0im
-1.59088357739592 + 0.0im	0.00027367862576056735 + 0.0im
-1.57513225484744 + 0.0im	0.00028885291243417317 + 0.0im
-1.55953688598757 + 0.0im	0.00030478195726539467 + 0.0im
-1.54409592672036 + 0.0im	0.00032149928782369337 + 0.0im
-1.52880784823798 + 0.0im	0.00033903957223026417 + 0.0im
-1.51367113686929 + 0.0im	0.0003574390292710913 + 0.0im
-1.49868429392999 + 0.0im	0.0003767353213139393 + 0.0im
-1.48384583557425 + 0.0im	0.00039696368057823067 + 0.0im
-1.46915429264777 + 0.0im	0.00041817246534343503 + 0.0im
-1.45460821054235 + 0.0im	0.0004404005598944899 + 0.0im
-1.44020614905183 + 0.0im	0.0004636921851845089 + 0.0im
-1.42594668222953 + 0.0im	0.0004880934748102853 + 0.0im
-1.41182839824706 + 0.0im	0.0005136524526876359 + 0.0im
-1.39784989925452 + 0.0im	0.0005404192036417079 + 0.0im
-1.3840098012421 + 0.0im	0.0005684460308759669 + 0.0im
-1.37030673390307 + 0.0im	0.0005977873819220294 + 0.0im
-1.35673934049808 + 0.0im	0.0006285001386793368 + 0.0im
-1.34330627772088 + 0.0im	0.0006606438753898995 + 0.0im
-1.33000621556522 + 0.0im	0.0006942805802054875 + 0.0im
-1.31683783719329 + 0.0im	0.0007294753117266406 + 0.0im
-1.30379983880524 + 0.0im	0.0007662959768876666 + 0.0im
-1.29089092951014 + 0.0im	0.0008048141648460413 + 0.0im
-1.27810983119816 + 0.0im	0.0008451043481113515 + 0.0im
