-2.0 + 0.0im	-0.025410109932469137 + 0.0003674522322362831im
-1.98019801980198 + 0.0im	-0.024849712278800836 + 0.0003870411038737175im
-1.96059209881384 + 0.0im	-0.02499604136459692 + 0.00040755492470536195im
-1.94118029585529 + 0.0im	-0.025108938221311956 + 0.0004290307367093013im
-1.92196068896563 + 0.0im	-0.025207181327550534 + 0.000451506750294579im
-1.9029313752135 + 0.0im	-0.025296452978290845 + 0.0004750223701410749im
-1.88409047050841 + 0.0im	-0.02537918118475753 + 0.0004996182215425859im
-1.86543610941427 + 0.0im	-0.02545660478991469 + 0.000525336177294294im
-1.84696644496462 + 0.0im	-0.02552939486425354 + 0.0005522193851694551im
-1.82867964847983 + 0.0im	-0.025597962957975447 + 0.0005803122960339625im
-1.81057390938597 + 0.0im	-0.025662553694960854 + 0.0006096606926513238im
-1.79264743503561 + 0.0im	-0.0257232960724293 + 0.0006403117192346182im
-1.77489845053031 + 0.0im	-0.02578028145695945 + 0.0006723139118061019im
-1.75732519854486 + 0.0im	-0.025833542672987774 + 0.0007057172294293298im
-1.73992593915333 + 0.0im	-0.025883086085483887 + 0.0007405730863829172im
-1.72269894965676 + 0.0im	-0.025928896078929717 + 0.0007769343853494241im
-1.70564252441263 + 0.0im	-0.025970936566262363 + 0.0008148555516972055im
-1.68875497466597 + 0.0im	-0.02600916306228572 + 0.0008543925689375212im
-1.67203462838215 + 0.0im	-0.026043519507369457 + 0.0008956030154436251im
-1.65547983008134 + 0.0im	-0.02607394024693646 + 0.0009385461025230546im
-1.63908894067459 + 0.0im	-0.026100356967726408 + 0.00098328271393877im
-1.62286033730158 + 0.0im	-0.026122689094600034 + 0.001029875446979259im
-1.60679241316988 + 0.0im	-0.026140862507075653 + 0.0010783886551821058im
-1.59088357739592 + 0.0im	-0.02615477901665866 + 0.0011288884928199274im
-1.57513225484744 + 0.0im	-0.026164367523452917 + 0.0011814429612618095im
-1.55953688598757 + 0.0im	-0.026169496458134437 + 0.0012361219573276238im
-1.54409592672036 + 0.0im	-0.026170127095107975 + 0.0012929973237566688im
-1.52880784823798 + 0.0im	-0.026166109996713878 + 0.0013521429019160737im
-1.51367113686929 + 0.0im	-0.026157354192271148 + 0.0014136345868782157im
-1.49868429392999 + 0.0im	-0.026143762812253363 + 0.0014775503850000477im
-1.48384583557425 + 0.0im	-0.02612522131574772 + 0.001543970474140753im
-1.46915429264777 + 0.0im	-0.0261016185518424 + 0.0016129772666573546im
-1.45460821054235 + 0.0im	-0.02607285105124856 + 0.0016846554753210219im
-1.44020614905183 + 0.0im	-0.026038785511841776 + 0.001759092182299521im
-1.42594668222953 + 0.0im	-0.02599932010140577 + 0.0018363769113538804im
-1.41182839824706 + 0.0im	-0.025954322196173187 + 0.0019166017033995235im
-1.39784989925452 + 0.0im	-0.025903672149710403 + 0.001999861195584005im
-1.3840098012421 + 0.0im	-0.025847250055744626 + 0.0020862527040351915im
-1.37030673390307 + 0.0im	-0.025784916044337376 + 0.0021758763104348286im
-1.35673934049808 + 0.0im	-0.02571653491650411 + 0.0022688349525733457im
-1.34330627772088 + 0.0im	-0.0256420050860113 + 0.002365234519042215im
-1.33000621556522 + 0.0im	-0.025561159206670712 + 0.002465183948220175im
-1.31683783719329 + 0.0im	-0.025473870075292098 + 0.0025687953317091628im
-1.30379983880524 + 0.0im	-0.025379996560612232 + 0.0026761840223750058im
-1.29089092951014 + 0.0im	-0.025279397346612872 + 0.0027874687471464593im
-1.27810983119816 + 0.0im	-0.025171924804259446 + 0.0029027717247242773im
-1.26545527841402 + 0.0im	-0.02505743239742514 + 0.003022218788349601im
-1.2529260182317 + 0.0im	-0.02493576788201429 + 0.0031459395137779234im
-1.24052081013039 + 0.0im	-0.024806779719890378 + 0.003274067352601342im
-1.22823842587168 + 0.0im	-0.024670311895424187 + 0.003406739771057571im
-1.2160776493779 + 0.0im	-0.02452620565845619 + 0.0035440983944594506im
-1.20403727661178 + 0.0im	-0.024374300594685344 + 0.0036862891573731364im
-1.19211611545721 + 0.0im	-0.02421443282029248 + 0.0038334624596671955im
-1.1803129856012 + 0.0im	-0.024046435590173637 + 0.003985773328547752im
-1.16862671841703 + 0.0im	-0.02387014129457922 + 0.004143381586687618im
-1.15705615684854 + 0.0im	-0.023685378298971146 + 0.004306452026548809im
-1.14560015529559 + 0.0im	-0.02349195996391759 + 0.004475154590988957im
-1.13425757950058 + 0.0im	-0.023289745668720937 + 0.004649664560232341im
-1.12302730643622 + 0.0im	-0.023078520651986435 + 0.004830162745275608im
-1.11190822419427 + 0.0im	-0.022858112723911167 + 0.005016835687786915im
-1.10089923187552 + 0.0im	-0.022628341727459728 + 0.005209875866544852im
-1.08999923948071 + 0.0im	-0.022389018318721428 + 0.005409481910450601im
-1.07920716780269 + 0.0im	-0.02213995319321647 + 0.00561585881813257im
