-2.0 + 0.0im	-0.025410439709629255 + 0.0003676703476409287im
-1.98019801980198 + 0.0im	-0.02484966630022005 + 0.0003872702487884076im
-1.96059209881384 + 0.0im	-0.024996040681761464 + 0.00040779553848120236im
-1.94118029585529 + 0.0im	-0.025108964744437738 + 0.0004292832686881881im
-1.92196068896563 + 0.0im	-0.02520722818627969 + 0.00045177165953641453im
-1.9029313752135 + 0.0im	-0.025296516796050897 + 0.00047530012510557857im
-1.88409047050841 + 0.0im	-0.02537926004738859 + 0.0004999092997229404im
-1.86543610941427 + 0.0im	-0.02545669764792573 + 0.0005256410647997392im
-1.84696644496462 + 0.0im	-0.025529501131648046 + 0.0005525385762538568im
-1.82867964847983 + 0.0im	-0.025598082379290985 + 0.0005806462925672332im
-1.81057390938597 + 0.0im	-0.025662686255154228 + 0.0006100100035304829im
-1.79264743503561 + 0.0im	-0.025723441883152332 + 0.0006406768597311337im
-1.77489845053031 + 0.0im	-0.025780440806560962 + 0.0006726954028460409im
-1.75732519854486 + 0.0im	-0.025833715947778554 + 0.000706115596802704im
-1.73992593915333 + 0.0im	-0.025883273774503234 + 0.0007409888598784853im
-1.72269894965676 + 0.0im	-0.02592909875825935 + 0.0007773680978110563im
-1.70564252441263 + 0.0im	-0.025971154883476323 + 0.0008153077379977887im
-1.68875497466597 + 0.0im	-0.026009397742736674 + 0.0008548637648662264im
-1.67203462838215 + 0.0im	-0.026043771347102042 + 0.0008960937565022194im
-1.65547983008134 + 0.0im	-0.02607421010665709 + 0.000939056922626765im
-1.63908894067459 + 0.0im	-0.026100645783127013 + 0.0009838141440170775im
-1.62286033730158 + 0.0im	-0.02612299787405003 + 0.0010304280134718136im
-1.60679241316988 + 0.0im	-0.026141192296165246 + 0.0010789628784248241im
-1.59088357739592 + 0.0im	-0.02615513096685873 + 0.001129484885316138im
-1.57513225484744 + 0.0im	-0.026164742832906623 + 0.0011820620258331722im
-1.55953688598757 + 0.0im	-0.026169896378306343 + 0.0012367641851393787im
-1.54409592672036 + 0.0im	-0.02617055298000673 + 0.0012936631922115943im
-1.52880784823798 + 0.0im	-0.026166563246287883 + 0.0013528328724113992im
-1.51367113686929 + 0.0im	-0.026157836272237073 + 0.0014143491024195373im
-1.49868429392999 + 0.0im	-0.026144275291102796 + 0.001478289867666181im
-1.48384583557425 + 0.0im	-0.026125765818381944 + 0.0015447353223932718im
-1.46915429264777 + 0.0im	-0.026102196798851472 + 0.0016137678524884434im
-1.45460821054235 + 0.0im	-0.02607346481080951 + 0.0016854721412331046im
-1.44020614905183 + 0.0im	-0.026039436651942895 + 0.0017599352381100484im
-1.42594668222953 + 0.0im	-0.02600001057464309 + 0.0018372466308185125im
-1.41182839824706 + 0.0im	-0.025955054030104813 + 0.0019174983206467898im
-1.39784989925452 + 0.0im	-0.02590444746061757 + 0.002000784901354602im
-1.3840098012421 + 0.0im	-0.02584807106212302 + 0.0020872036417187846im
-1.37030673390307 + 0.0im	-0.025785785023189435 + 0.002176854571897364im
-1.35673934049808 + 0.0im	-0.0257174542409841 + 0.0022698405737677637im
-1.34330627772088 + 0.0im	-0.025642977250862373 + 0.0023662674753954786im
-1.33000621556522 + 0.0im	-0.025562186771293197 + 0.00246624414978952im
-1.31683783719329 + 0.0im	-0.025474955704166104 + 0.0025698826181006318im
-1.30379983880524 + 0.0im	-0.025381143015193494 + 0.002677298157417306im
-1.29089092951014 + 0.0im	-0.025280607485318293 + 0.0027886094133133983im
-1.27810983119816 + 0.0im	-0.025173201586275337 + 0.0029039385172991783im
-1.26545527841402 + 0.0im	-0.025058778882877945 + 0.003023411209325335im
-1.2529260182317 + 0.0im	-0.024937187232121735 + 0.003147156965486452im
-1.24052081013039 + 0.0im	-0.024808275196626556 + 0.003275309131066975im
-1.22823842587168 + 0.0im	-0.024671886864360584 + 0.003408005059068593im
-1.2160776493779 + 0.0im	-0.024527863588475418 + 0.0035453862543530844im
-1.20403727661178 + 0.0im	-0.024376045057931763 + 0.0036875985235294943im
-1.19211611545721 + 0.0im	-0.024216267492388262 + 0.003834792130708265im
-1.1803129856012 + 0.0im	-0.02404836425093349 + 0.00398712195923826im
-1.16862671841703 + 0.0im	-0.02387216782430694 + 0.00414474767953522im
-1.15705615684854 + 0.0im	-0.023687506680499376 + 0.004307833923101994im
-1.14560015529559 + 0.0im	-0.023494194258467833 + 0.00447655046283182im
-1.13425757950058 + 0.0im	-0.02329209010374779 + 0.00465107239967645im
-1.12302730643622 + 0.0im	-0.023080979484572495 + 0.00483158035575025im
-1.11190822419427 + 0.0im	-0.022860690329473157 + 0.005018260673930121im
-1.10089923187552 + 0.0im	-0.022631042571158742 + 0.005211305623999013im
