-2.0 + 0.0im	-0.4898514537655716 - 0.0019881424966623493im
-1.98019801980198 + 0.0im	-0.4983307132500379 - 0.002101611727907214im
-1.96059209881384 + 0.0im	-0.5030247558631473 - 0.002220680625308565im
-1.94118029585529 + 0.0im	-0.507940385184872 - 0.002345574123897846im
-1.92196068896563 + 0.0im	-0.5129765787349846 - 0.002476523608182046im
-1.9029313752135 + 0.0im	-0.5181029640407867 - 0.002613766996804962im
-1.88409047050841 + 0.0im	-0.5233067185327053 - 0.0027575488267515815im
-1.86543610941427 + 0.0im	-0.52858144144268 - 0.00290812033734747im
-1.84696644496462 + 0.0im	-0.5339236975728435 - 0.003065739554338471im
-1.82867964847983 + 0.0im	-0.5393315383178036 - 0.0032306713743706955im
-1.81057390938597 + 0.0im	-0.5448039181829839 - 0.003403187650226598im
-1.79264743503561 + 0.0im	-0.5503402635027641 - 0.0035835672772097293im
-1.77489845053031 + 0.0im	-0.5559403959988787 - 0.0037720962811087517im
-1.75732519854486 + 0.0im	-0.5616043205602576 - 0.003969067908209809im
-1.73992593915333 + 0.0im	-0.5673322564944295 - 0.004174782717866237im
-1.72269894965676 + 0.0im	-0.5731244966789412 - 0.004389548678174455im
-1.70564252441263 + 0.0im	-0.5789814502598644 - 0.004613681265346067im
-1.68875497466597 + 0.0im	-0.5849035578970512 - 0.00484750356740721im
-1.67203462838215 + 0.0im	-0.5908913563597586 - 0.0050913463928981585im
-1.65547983008134 + 0.0im	-0.5969454024556102 - 0.005345548385287729im
-1.63908894067459 + 0.0im	-0.6030662985121182 - 0.0056104561438592064im
-1.62286033730158 + 0.0im	-0.6092546703010983 - 0.0058864243518664625im
-1.60679241316988 + 0.0im	-0.6155111634024367 - 0.006173815912800477im
-1.59088357739592 + 0.0im	-0.6218364462019604 - 0.006473002095647931im
-1.57513225484744 + 0.0im	-0.6282312485258508 - 0.006784362690064576im
-1.55953688598757 + 0.0im	-0.6346962678916257 - 0.0071082861724259035im
-1.54409592672036 + 0.0im	-0.6412322169836563 - 0.007445169883757682im
-1.52880784823798 + 0.0im	-0.6478398915239556 - 0.007795420220586682im
-1.51367113686929 + 0.0im	-0.6545200295032553 - 0.008159452839789898im
-1.49868429392999 + 0.0im	-0.6612734302669195 - 0.008537692878556153im
-1.48384583557425 + 0.0im	-0.6681008606037677 - 0.008930575190608747im
-1.46915429264777 + 0.0im	-0.675003164050207 - 0.009338544599870808im
-1.45460821054235 + 0.0im	-0.6819811507976216 - 0.0097620561727862im
-1.44020614905183 + 0.0im	-0.6890356535844283 - 0.010201575510537863im
-1.42594668222953 + 0.0im	-0.6961675367301872 - 0.010657579062433026im
-1.41182839824706 + 0.0im	-0.7033776649143233 - 0.011130554461749124im
-1.39784989925452 + 0.0im	-0.7106669386757958 - 0.011621000885357207im
-1.3840098012421 + 0.0im	-0.7180362033077538 - 0.012129429438459016im
-1.37030673390307 + 0.0im	-0.7254864109635614 - 0.012656363565791421im
-1.35673934049808 + 0.0im	-0.7330184988844667 - 0.013202339490666126im
-1.34330627772088 + 0.0im	-0.7406333664937098 - 0.013767906683223538im
-1.33000621556522 + 0.0im	-0.7483320220613298 - 0.014353628359288126im
-1.31683783719329 + 0.0im	-0.756115397273398 - 0.014960082011217164im
-1.30379983880524 + 0.0im	-0.7639845898594833 - 0.015587859972136334im
-1.29089092951014 + 0.0im	-0.7719403317410037 - 0.016237570014952837im
-1.27810983119816 + 0.0im	-0.7799839007100591 - 0.016909835987531808im
-1.26545527841402 + 0.0im	-0.7881162776477133 - 0.01760529848541111im
-1.2529260182317 + 0.0im	-0.7963385237112555 - 0.018324615563416274im
-1.24052081013039 + 0.0im	-0.8046516852586709 - 0.019068463487520178im
-1.22823842587168 + 0.0im	-0.8130568591808962 - 0.01983753752826935im
-1.2160776493779 + 0.0im	-0.8215551894533019 - 0.020632552797073496im
-1.20403727661178 + 0.0im	-0.8301477693979231 - 0.021454245126623816im
-1.19211611545721 + 0.0im	-0.8388357824611724 - 0.022303371996671564im
-1.1803129856012 + 0.0im	-0.8476203988051414 - 0.023180713506357836im
-1.16862671841703 + 0.0im	-0.8565027887304656 - 0.02408707339424291im
-1.15705615684854 + 0.0im	-0.8654841833057277 - 0.025023280107133526im
-1.14560015529559 + 0.0im	-0.8745658259082612 - 0.025990187918753453im
-1.13425757950058 + 0.0im	-0.8837489660081363 - 0.026988678099244833im
-1.12302730643622 + 0.0im	-0.8930348709952924 - 0.028019660136423055im
-1.11190822419427 + 0.0im	-0.902424868498844 - 0.02908407300964141im
-1.10089923187552 + 0.0im	-0.911920232838652 - 0.030182886517046113im
-1.08999923948071 + 0.0im	-0.9215223544895592 - 0.03131710265692587im
-1.07920716780269 + 0.0im	-0.9312325689633888 - 0.03248775706377386im
-1.06852194831949 + 0.0im	-0.9410523029985828 - 0.03369592049959275im
-1.0579425230886 + 0.0im	-0.950982931511306 - 0.034942700400877186im
-1.04746784464218 + 0.0im	-0.9610259216479122 - 0.03622924248160895im
-1.03709687588335 + 0.0im	-0.9711827337038996 - 0.03755673239249285im
-1.02682858998351 + 0.0im	-0.9814549311408983 - 0.038926397436551664im
-1.01666197028071 + 0.0im	-0.9918437296648318 - 0.04033950834107962im
-1.00659601017892 + 0.0im	-1.0023509656722283 - 0.0417973810858321im
-0.996629713048433 + 0.0im	-1.0129781023058413 - 0.04330137878719892im
-0.986762092127162 + 0.0im	-1.0237266912996192 - 0.04485291363797503im
-0.976992170422933 + 0.0im	-1.034598366791924 - 0.04645344890220058im
-0.967318980616765 + 0.0im	-1.0455947058984791 - 0.04810450096439541im
-0.957741564967094 + 0.0im	-1.056717370993471 - 0.04980764143235962im
-0.948258975214945 + 0.0im	-1.0679680327040884 - 0.0515644992925518im
-0.938870272490044 + 0.0im	-1.079348371739873 - 0.05337676311689203im
-0.929574527217865 + 0.0im	-1.0908601105896398 - 0.05524618331966081im
-0.920370819027589 + 0.0im	-1.102504951998027 - 0.05717457446299138im
-0.91125823666098 + 0.0im	-1.1142846318035464 - 0.05916381760926066im
-0.902235877882158 + 0.0im	-1.1262009429724023 - 0.061215862718498805im
-0.893302849388275 + 0.0im	-1.1382556855859234 - 0.06333273108873243im
-0.884458266721065 + 0.0im	-1.1504505829952445 - 0.0655165178369748im
-0.875701254179272 + 0.0im	-1.1627874814284913 - 0.06776939441836242im
-0.867030944731952 + 0.0im	-1.1752681921968384 - 0.07009361118071934im
-0.858446479932626 + 0.0im	-1.1878945705632027 - 0.07249149995160209im
-0.849947009834283 + 0.0im	-1.2006684531670977 - 0.0749654766546499im
-0.841531692905231 + 0.0im	-1.213591681671279 - 0.0775180439518229im
-0.833199695945773 + 0.0im	-1.2266660966900989 - 0.08015179390786345im
-0.824950194005716 + 0.0im	-1.239893631431831 - 0.08286941067307002im
-0.816782370302689 + 0.0im	-1.2532760876743463 - 0.085673673180206im
-0.808695416141276 + 0.0im	-1.2668153353890967 - 0.08856745785110819im
-0.800688530832947 + 0.0im	-1.2805133055144702 - 0.09155374130828428im
-0.792760921616779 + 0.0im	-1.2943717868381153 - 0.09463560308651457im
-0.784911803580969 + 0.0im	-1.3083926411371336 - 0.09781622833918843im
-0.777140399585118 + 0.0im	-1.322577738063826 - 0.1010989105338221im
-0.769445940183285 + 0.0im	-1.3369289175676466 - 0.10448705413090688im
-0.761827663547807 + 0.0im	-1.3514479519357683 - 0.10798417723994522im
-0.754284815393868 + 0.0im	-1.3661367435345642 - 0.11159391424622736im
-0.74681664890482 + 0.0im	-1.3809968785442002 - 0.11532001840159686im
-0.739422424658238 + 0.0im	-1.3960302141602279 - 0.11916636437214702im
-0.732101410552711 + 0.0im	-1.4112385033813226 - 0.12313695073547885im
-0.724852881735357 + 0.0im	-1.4266233833457107 - 0.12723590241983823im
-0.717676120530057 + 0.0im	-1.4421864900885355 - 0.13146747307713857im
-0.710570416366393 + 0.0im	-1.4579294015382627 - 0.13583604738155883im
-0.7035350657093 + 0.0im	-1.4738537225600992 - 0.14034614324509562im
-0.696569371989405 + 0.0im	-1.4899609106516236 - 0.14500241394113553im
-0.689672645534065 + 0.0im	-1.5062524257035386 - 0.14980965012680303im
-0.682844203499074 + 0.0im	-1.5227296276081852 - 0.15477278175453427im
-0.676083369801063 + 0.0im	-1.5393938674479368 - 0.1598968798630254im
-0.669389475050558 + 0.0im	-1.5562463652842762 - 0.16518715823740573im
-0.662761856485701 + 0.0im	-1.5732882363925054 - 0.170648974928197im
-0.656199857906634 + 0.0im	-1.5905206463362356 - 0.17628783361834371im
-0.649702829610529 + 0.0im	-1.6079445061400237 - 0.1821093848273164im
