-2.0 + 0.0im	-0.030878344073844263 - 0.000335508682829487im
-1.98019801980198 + 0.0im	-0.03175325115141896 - 0.00035178958217628583im
-1.96059209881384 + 0.0im	-0.03198389316075373 - 0.00036874503466317133im
-1.94118029585529 + 0.0im	-0.03224564632709048 - 0.0003863966181587761im
-1.92196068896563 + 0.0im	-0.032521238051184745 - 0.00040476628526840187im
-1.9029313752135 + 0.0im	-0.03280539039993887 - 0.0004238763559871279im
-1.88409047050841 + 0.0im	-0.03309581280046696 - 0.00044374950978195136im
-1.86543610941427 + 0.0im	-0.03339131005998764 - 0.0004644087771181081im
-1.84696644496462 + 0.0im	-0.0336911902856616 - 0.00048587753044770406im
-1.82867964847983 + 0.0im	-0.03399501858025215 - 0.0005081794746817451im
-1.81057390938597 + 0.0im	-0.03430250811109203 - 0.0005313386371696669im
-1.79264743503561 + 0.0im	-0.03461346022358259 - 0.0005553793572135943im
-1.77489845053031 + 0.0im	-0.034927734419749806 - 0.0005803262751476352im
-1.75732519854486 + 0.0im	-0.035245227705454255 - 0.0006062043210156784im
-1.73992593915333 + 0.0im	-0.03556586242893249 - 0.0006330387028842848im
-1.72269894965676 + 0.0im	-0.035889584001358915 - 0.0006608548948304237im
-1.70564252441263 + 0.0im	-0.03621634581470173 - 0.0006896786246469194im
-1.68875497466597 + 0.0im	-0.03654611437986948 - 0.0007195358613115704im
-1.67203462838215 + 0.0im	-0.036878863709418556 - 0.0007504528022689442im
-1.65547983008134 + 0.0im	-0.037214572906874056 - 0.0007824558605768481im
-1.63908894067459 + 0.0im	-0.03755322606632889 - 0.0008155716519723851im
-1.62286033730158 + 0.0im	-0.037894809985929395 - 0.0008498269819153162im
-1.60679241316988 + 0.0im	-0.03823931593977279 - 0.0008852488326692035im
-1.59088357739592 + 0.0im	-0.038586733373235475 - 0.0009218643504833571im
-1.57513225484744 + 0.0im	-0.03893705940815345 - 0.0009597008329411136im
-1.55953688598757 + 0.0im	-0.039290286205670724 - 0.000998785716542289im
-1.54409592672036 + 0.0im	-0.039646410501589915 - 0.0010391465645897512im
-1.52880784823798 + 0.0im	-0.04000543237619193 - 0.0010808110554521016im
-1.51367113686929 + 0.0im	-0.040367344734173284 - 0.0011238069712761634im
-1.49868429392999 + 0.0im	-0.04073214647378454 - 0.0011681621872245912im
-1.48384583557425 + 0.0im	-0.04109984041345113 - 0.0012139046613152589im
-1.46915429264777 + 0.0im	-0.041470420973249864 - 0.0012610624249401576im
-1.45460821054235 + 0.0im	-0.04184388686472177 - 0.0013096635741424957im
-1.44020614905183 + 0.0im	-0.042220241075690446 - 0.0013597362617311997im
-1.42594668222953 + 0.0im	-0.04259947885943443 - 0.0014113086903124778im
-1.41182839824706 + 0.0im	-0.042981599778242674 - 0.0014644091063180608im
-1.39784989925452 + 0.0im	-0.04336660711591839 - 0.001519065795109632im
-1.3840098012421 + 0.0im	-0.04375449536262421 - 0.001575307077238384im
-1.37030673390307 + 0.0im	-0.04414526722365871 - 0.0016331613059378401im
-1.35673934049808 + 0.0im	-0.04453892084692308 - 0.0016926568659269975im
-1.34330627772088 + 0.0im	-0.04493545760082739 - 0.0017538221735993737im
-1.33000621556522 + 0.0im	-0.04533487301126652 - 0.0018166856786718916im
-1.31683783719329 + 0.0im	-0.04573716816289304 - 0.0018812758673653347im
-1.30379983880524 + 0.0im	-0.046142344472809134 - 0.0019476212671859193im
-1.29089092951014 + 0.0im	-0.04655039234985467 - 0.0020157504533746657im
-1.27810983119816 + 0.0im	-0.0469613238630534 - 0.002085692057088386im
-1.26545527841402 + 0.0im	-0.04737513172577625 - 0.0021574747753727135im
-1.2529260182317 + 0.0im	-0.04779181694996705 - 0.0022311273829839534im
-1.24052081013039 + 0.0im	-0.048211378534964655 - 0.0023066787461127228im
-1.22823842587168 + 0.0im	-0.04863381391576704 - 0.0023841578380579347im
-1.2160776493779 + 0.0im	-0.04905912445573152 - 0.0024635937568953698im
-1.20403727661178 + 0.0im	-0.04948731305275593 - 0.002545015745180097im
-1.19211611545721 + 0.0im	-0.04991837414383029 - 0.002628453211717048im
-1.1803129856012 + 0.0im	-0.05035230812647523 - 0.0027139357554286613im
-1.16862671841703 + 0.0im	-0.050789118967467704 - 0.002801493191342953im
-1.15705615684854 + 0.0im	-0.05122880701491773 - 0.00289115557871955im
-1.14560015529559 + 0.0im	-0.051671355045262636 - 0.002982953251325134im
-1.13425757950058 + 0.0im	-0.0521168052267293 - 0.0030769168498635526im
-1.12302730643622 + 0.0im	-0.052565120848380845 - 0.003173077356559385im
-1.11190822419427 + 0.0im	-0.05301631046828946 - 0.003271466131887094im
-1.10089923187552 + 0.0im	-0.05347038329240205 - 0.0033721149534311086im
-1.08999923948071 + 0.0im	-0.05392733862397003 - 0.0034750560568553384im
-1.07920716780269 + 0.0im	-0.054387170283362124 - 0.003580322178953418im
-1.06852194831949 + 0.0im	-0.0548498913344039 - 0.003687946602743912im
-1.0579425230886 + 0.0im	-0.055315498138604896 - 0.003797963204567372im
-1.04746784464218 + 0.0im	-0.05578399504145898 - 0.003910406503134917im
-1.03709687588335 + 0.0im	-0.05625538441630175 - 0.004025311710470425im
-1.02682858998351 + 0.0im	-0.05672966938151922 - 0.004142714784681117im
-1.01666197028071 + 0.0im	-0.05720685501586986 - 0.004262652484483932im
-1.00659601017892 + 0.0im	-0.05768694188429798 - 0.004385162425407295im
-0.996629713048433 + 0.0im	-0.058169937338765465 - 0.004510283137580925im
-0.986762092127162 + 0.0im	-0.058655841937909 - 0.004638054125018413im
-0.976992170422933 + 0.0im	-0.05914466430494224 - 0.0047685159262902685im
-0.967318980616765 + 0.0im	-0.05963640046715557 - 0.004901710176477729im
-0.957741564967094 + 0.0im	-0.06013106443531276 - 0.005037679670290262im
-0.948258975214945 + 0.0im	-0.060628658378694425 - 0.005176468426222771im
-0.938870272490044 + 0.0im	-0.06112918753516727 - 0.005318121751621259im
-0.929574527217865 + 0.0im	-0.06163265710409705 - 0.005462686308519086im
-0.920370819027589 + 0.0im	-0.06213907065036452 - 0.005610210180098699im
-0.91125823666098 + 0.0im	-0.06264843673045552 - 0.005760742937627735im
-0.902235877882158 + 0.0im	-0.06316076067170942 - 0.005914335707711219im
-0.893302849388275 + 0.0im	-0.06367604525002028 - 0.006071041239695924im
-0.884458266721065 + 0.0im	-0.06419429735098323 - 0.006230913973056277im
-0.875701254179272 + 0.0im	-0.06471552187677658 - 0.006394010104585688im
-0.867030944731952 + 0.0im	-0.06523972448278435 - 0.006560387655211157im
-0.858446479932626 + 0.0im	-0.06576690955573038 - 0.00673010653624363im
-0.849947009834283 + 0.0im	-0.06629708140290422 - 0.0069032286148711375im
-0.841531692905231 + 0.0im	-0.0668302442884042 - 0.007079817778696866im
-0.833199695945773 + 0.0im	-0.06736640251855415 - 0.007259939999119015im
-0.824950194005716 + 0.0im	-0.06790555726619392 - 0.007443663393345217im
-0.816782370302689 + 0.0im	-0.06844771341239422 - 0.00763105828482939im
-0.808695416141276 + 0.0im	-0.06899287087807503 - 0.007822197261915003im
-0.800688530832947 + 0.0im	-0.06954103212387713 - 0.008017155234464817im
-0.792760921616779 + 0.0im	-0.0700921965493617 - 0.00821600948825339im
-0.784911803580969 + 0.0im	-0.07064636251105175 - 0.008418839736895266im
-0.777140399585118 + 0.0im	-0.07120353223157258 - 0.008625728171078987im
-0.769445940183285 + 0.0im	-0.07176369425468394 - 0.00883675950487352im
-0.761827663547807 + 0.0im	-0.07232685399585195 - 0.009052021018871764im
-0.754284815393868 + 0.0im	-0.07289299746272171 - 0.00927160259993333im
-0.74681664890482 + 0.0im	-0.07346212229442571 - 0.009495596777286675im
-0.739422424658238 + 0.0im	-0.07403421415156079 - 0.009724098754748799im
-0.732101410552711 + 0.0im	-0.07460926630377425 - 0.009957206438820181im
-0.724852881735357 + 0.0im	-0.07518726590303143 - 0.010195020462410288im
-0.717676120530057 + 0.0im	-0.07576819693905731 - 0.010437644203949317im
-0.710570416366393 + 0.0im	-0.07635204195492881 - 0.010685183801640913im
-0.7035350657093 + 0.0im	-0.07693878147907474 - 0.01093774816261061im
-0.696569371989405 + 0.0im	-0.07752839437312269 - 0.011195448966705051im
-0.689672645534065 + 0.0im	-0.0781208553605365 - 0.011458400664697827im
-0.682844203499074 + 0.0im	-0.07871613234039809 - 0.011726720470658678im
-0.676083369801063 + 0.0im	-0.07931420120594332 - 0.012000528348244137im
-0.669389475050558 + 0.0im	-0.07991502789356834 - 0.012279946990670108im
-0.662761856485701 + 0.0im	-0.08051858856031793 - 0.01256510179412839im
-0.656199857906634 + 0.0im	-0.08112478849955973 - 0.012856120824412627im
-0.649702829610529 + 0.0im	-0.08173364262318199 - 0.013153134776521908im
-0.643270128327256 + 0.0im	-0.08234508174793817 - 0.01345627692701426im
-0.6369011171557 + 0.0im	-0.08295905689491857 - 0.013765683078886348im
-0.630595165500693 + 0.0im	-0.08357550442411187 - 0.014081491498760477im
-0.624351649010587 + 0.0im	-0.08419437096647296 - 0.014403842846165558im
-0.618169949515432 + 0.0im	-0.08481558838892476 - 0.014732880094704026im
-0.612049454965775 + 0.0im	-0.08543910353187051 - 0.015068748444904053im
-0.605989559372054 + 0.0im	-0.08606479195006089 - 0.015411595228562731im
-0.599989662744608 + 0.0im	-0.08669262394522734 - 0.015761569804394315im
-0.594049171034265 + 0.0im	-0.08732249730473089 - 0.016118823444805527im
-0.58816749607353 + 0.0im	-0.08795432155975066 - 0.016483509213629854im
-0.582344055518347 + 0.0im	-0.08858800047257917 - 0.0168557818346617im
-0.576578272790442 + 0.0im	-0.08922343201957292 - 0.017235797550842983im
