-2.0 + 0.0im	0.05186919387285314 - 0.0009606495545233686im
-1.98019801980198 + 0.0im	0.049861743250262776 - 0.0009869572859652167im
-1.96059209881384 + 0.0im	0.04968692842904667 - 0.0010295591180401807im
-1.94118029585529 + 0.0im	0.0494278903490776 - 0.001072896609929154im
-1.92196068896563 + 0.0im	0.0491336547628848 - 0.0011173753930142903im
-1.9029313752135 + 0.0im	0.0488192783392291 - 0.0011631367324595092im
-1.88409047050841 + 0.0im	0.04849133967548887 - 0.0012102566925724664im
-1.86543610941427 + 0.0im	0.048153306356159234 - 0.0012587876430226836im
-1.84696644496462 + 0.0im	0.047807172878798335 - 0.001308770764852124im
-1.82867964847983 + 0.0im	0.04745424037923048 - 0.0013602418918571726im
-1.81057390938597 + 0.0im	0.04709537384040802 - 0.0014132333883641534im
-1.79264743503561 + 0.0im	0.04673115507936156 - 0.0014677755035802035im
-1.77489845053031 + 0.0im	0.04636204412477455 - 0.0015238971877759942im
-1.75732519854486 + 0.0im	0.04598836608830679 - 0.001581626324625342im
-1.73992593915333 + 0.0im	0.04561037207591813 - 0.0016409898588060454im
-1.72269894965676 + 0.0im	0.04522826219235172 - 0.0017020142212110607im
-1.70564252441263 + 0.0im	0.044842187388502396 - 0.0017647251239052435im
-1.68875497466597 + 0.0im	0.044452279200514845 - 0.001829147962081138im
-1.67203462838215 + 0.0im	0.04405864049320504 - 0.0018953074939089955im
-1.65547983008134 + 0.0im	0.04366135597807551 - 0.001963228108718495im
-1.63908894067459 + 0.0im	0.04326050277740958 - 0.002032933809363068im
-1.62286033730158 + 0.0im	0.04285613667427109 - 0.0021044481331459635im
-1.60679241316988 + 0.0im	0.0424483238624761 - 0.0021777944450368067im
-1.59088357739592 + 0.0im	0.042037091155033644 - 0.002252995430741265im
-1.57513225484744 + 0.0im	0.041622506870464725 - 0.002330073754490283im
-1.55953688598757 + 0.0im	0.04120454705240861 - 0.0024090509850648936im
-1.54409592672036 + 0.0im	0.040783336054166425 - 0.0024899500474521736im
-1.52880784823798 + 0.0im	0.04035882067326978 - 0.002572791349342031im
-1.51367113686929 + 0.0im	0.03993104638765822 - 0.002657596403951034im
-1.49868429392999 + 0.0im	0.03950004777204864 - 0.0027443861774902475im
-1.48384583557425 + 0.0im	0.03906583708553832 - 0.0028331813072454974im
-1.46915429264777 + 0.0im	0.03862843023213437 - 0.00292400197557642im
-1.45460821054235 + 0.0im	0.038187859268974625 - 0.0030168685750579577im
-1.44020614905183 + 0.0im	0.03774411397581984 - 0.0031118006738086314im
-1.42594668222953 + 0.0im	0.03729723162476406 - 0.0032088182633406258im
-1.41182839824706 + 0.0im	0.03684720780262778 - 0.003307940630860766im
-1.39784989925452 + 0.0im	0.03639405827894561 - 0.0034091871272073438im
-1.3840098012421 + 0.0im	0.03593780421758617 - 0.003512577433904887im
-1.37030673390307 + 0.0im	0.03547843665153344 - 0.003618130214122474im
-1.35673934049808 + 0.0im	0.03501595775431661 - 0.0037258643794024055im
-1.34330627772088 + 0.0im	0.03455042036576752 - 0.0038358000206683584im
-1.33000621556522 + 0.0im	0.03408178585740358 - 0.00394795511770317im
-1.31683783719329 + 0.0im	0.033610077361779615 - 0.004062349287583812im
-1.30379983880524 + 0.0im	0.03313529515417348 - 0.004179000997861605im
-1.29089092951014 + 0.0im	0.032657458549008554 - 0.0042979313043065015im
-1.27810983119816 + 0.0im	0.032176558446120704 - 0.004419157943585178im
-1.26545527841402 + 0.0im	0.031692603617392845 - 0.004542700914006442im
-1.2529260182317 + 0.0im	0.03120559562229997 - 0.004668579939669003im
-1.24052081013039 + 0.0im	0.030715540991275297 - 0.004796815311773203im
-1.22823842587168 + 0.0im	0.030222442124535946 - 0.004927427344915429im
-1.2160776493779 + 0.0im	0.02972629988738259 - 0.005060436474284877im
-1.20403727661178 + 0.0im	0.02922711853101294 - 0.005195864015644693im
-1.19211611545721 + 0.0im	0.02872489840540089 - 0.005333731163973737im
-1.1803129856012 + 0.0im	0.02821964055192648 - 0.005474059777201073im
-1.16862671841703 + 0.0im	0.027711348508373923 - 0.005616872397103433im
-1.15705615684854 + 0.0im	0.027200022617553755 - 0.005762191739171925im
-1.14560015529559 + 0.0im	0.02668564927191182 - 0.005910040704977274im
-1.13425757950058 + 0.0im	0.026168270822752283 - 0.006060444542383944im
-1.12302730643622 + 0.0im	0.025647847907170535 - 0.006213426717235598im
-1.11190822419427 + 0.0im	0.025124391723645615 - 0.006369012570055984im
-1.10089923187552 + 0.0im	0.024597909248424664 - 0.006527228539954775im
-1.08999923948071 + 0.0im	0.024068397550678515 - 0.006688100790291499im
-1.07920716780269 + 0.0im	0.0235358587725726 - 0.006851656925321785im
-1.06852194831949 + 0.0im	0.023000292802891786 - 0.007017924721992454im
-1.0579425230886 + 0.0im	0.02246170249576894 - 0.007186933378196761im
-1.04746784464218 + 0.0im	0.021920088256116695 - 0.007358712273710463im
-1.03709687588335 + 0.0im	0.02137545308989383 - 0.007533291901368129im
-1.02682858998351 + 0.0im	0.020827797219380512 - 0.007710702826687095im
-1.01666197028071 + 0.0im	0.020277129517305266 - 0.007890979692871981im
-1.00659601017892 + 0.0im	0.019723443796273082 - 0.008074152661616051im
-0.996629713048433 + 0.0im	0.019166752455761705 - 0.008260256579887576im
-0.986762092127162 + 0.0im	0.018607059620572006 - 0.0084493262787898im
-0.976992170422933 + 0.0im	0.018044337837774316 - 0.008641395492024837im
-0.967318980616765 + 0.0im	0.017478674036780287 - 0.008836504529281653im
-0.957741564967094 + 0.0im	0.016910004410741388 - 0.009034687220239252im
-0.948258975214945 + 0.0im	0.016338357109099373 - 0.00923598239281592im
-0.938870272490044 + 0.0im	0.015763742872649394 - 0.009440428947452865im
-0.929574527217865 + 0.0im	0.015186165657256796 - 0.009648065984635757im
-0.920370819027589 + 0.0im	0.014605647120607636 - 0.009858934532087405im
-0.91125823666098 + 0.0im	0.01402218946656887 - 0.01007307517461173im
-0.902235877882158 + 0.0im	0.013435811616946153 - 0.01029052962080386im
-0.893302849388275 + 0.0im	0.012846527453242782 - 0.010511339981769247im
-0.884458266721065 + 0.0im	0.012254351979996924 - 0.010735549813525359im
-0.875701254179272 + 0.0im	0.01165930481015421 - 0.010963202420306732im
-0.867030944731952 + 0.0im	0.011061405314889219 - 0.011194341971080251im
-0.858446479932626 + 0.0im	0.01046066992725436 - 0.011429012516713145im
-0.849947009834283 + 0.0im	0.009857125832670647 - 0.011667259329282816im
-0.841531692905231 + 0.0im	0.009250795409191735 - 0.011909127673019874im
-0.833199695945773 + 0.0im	0.00864170356970026 - 0.01215466321304165im
-0.824950194005716 + 0.0im	0.008029878121327568 - 0.012403911020146291im
-0.816782370302689 + 0.0im	0.007415354641486624 - 0.012656918036420245im
-0.808695416141276 + 0.0im	0.006798152215902497 - 0.012913729352600323im
-0.800688530832947 + 0.0im	0.006178315997302373 - 0.01317439104335861im
-0.792760921616779 + 0.0im	0.005555869863016587 - 0.013438948865830089im
-0.784911803580969 + 0.0im	0.004930857442748474 - 0.013707448835155659im
-0.777140399585118 + 0.0im	0.004303321477176307 - 0.013979936323453068im
-0.769445940183285 + 0.0im	0.003673294267512102 - 0.01425645555969088im
-0.761827663547807 + 0.0im	0.0030408225125618483 - 0.01453705179537761im
-0.754284815393868 + 0.0im	0.002405948655680584 - 0.014821767635528449im
-0.74681664890482 + 0.0im	0.0017687276663691175 - 0.015110649063170388im
-0.739422424658238 + 0.0im	0.0011292029356445373 - 0.015403736996512256im
-0.732101410552711 + 0.0im	0.0004874266152770049 - 0.015701072834186276im
-0.724852881735357 + 0.0im	-0.0001565513087955903 - 0.016002697565040636im
-0.717676120530057 + 0.0im	-0.000802668812169919 - 0.016308651615737694im
-0.710570416366393 + 0.0im	-0.0014508733196192138 - 0.016618973433040467im
-0.7035350657093 + 0.0im	-0.0021011026446315444 - 0.016933700064192824im
-0.696569371989405 + 0.0im	-0.0027533041592427477 - 0.017252867203114034im
-0.689672645534065 + 0.0im	-0.0034073941420250304 - 0.01757651125491969im
-0.682844203499074 + 0.0im	-0.004063338823698793 - 0.017904662437331204im
-0.676083369801063 + 0.0im	-0.004721020071346645 - 0.01823735694696931im
-0.669389475050558 + 0.0im	-0.005380449114382914 - 0.01857461647689169im
-0.662761856485701 + 0.0im	-0.006041483644302769 - 0.018916476960261212im
-0.656199857906634 + 0.0im	-0.006704082489360382 - 0.01926296008431753im
-0.649702829610529 + 0.0im	-0.007368162147947699 - 0.019614091837639597im
-0.643270128327256 + 0.0im	-0.0080336559143741 - 0.019969893255188394im
-0.6369011171557 + 0.0im	-0.008700484461854422 - 0.020330384124840277im
-0.630595165500693 + 0.0im	-0.009368571803003434 - 0.020695581823513668im
-0.624351649010587 + 0.0im	-0.01003783256728892 - 0.021065502328928763im
-0.618169949515432 + 0.0im	-0.010708195607955285 - 0.021440158119352758im
-0.612049454965775 + 0.0im	-0.011379570553966248 - 0.021819559922252im
-0.605989559372054 + 0.0im	-0.01205188010580905 - 0.022203716313185545im
-0.599989662744608 + 0.0im	-0.01272504448597297 - 0.02259263143886058im
-0.594049171034265 + 0.0im	-0.013398974685587864 - 0.022986309072997535im
-0.58816749607353 + 0.0im	-0.014073588105733942 - 0.023384749900011735im
-0.582344055518347 + 0.0im	-0.014748802024665676 - 0.02378795076826542im
-0.576578272790442 + 0.0im	-0.015424524144326433 - 0.024195907402820214im
-0.57086957702024 + 0.0im	-0.016100676159223188 - 0.024608611859051468im
-0.565217402990336 + 0.0im	-0.016777171876444508 - 0.02502605341782087im
-0.559621191079541 + 0.0im	-0.01745392116939315 - 0.0254482196029365im
-0.554080387207466 + 0.0im	-0.018130838442814285 - 0.02587509481228967im
-0.54859444277967 + 0.0im	-0.018807841774885616 - 0.02630665905894129im
-0.543162814633336 + 0.0im	-0.019484844920926107 - 0.02674289211220999im
