-2.0 + 0.0im	0.05750080542706278 - 0.0003789783446893797im
-1.98019801980198 + 0.0im	0.05654691740434458 - 0.0003956137309126372im
-1.96059209881384 + 0.0im	0.05631916433096216 - 0.00041473008933974245im
-1.94118029585529 + 0.0im	0.056056475787783826 - 0.00043454199706579363im
-1.92196068896563 + 0.0im	0.05577827896648851 - 0.000455116346203142im
-1.9029313752135 + 0.0im	0.05549051223834858 - 0.00047648983895239017im
-1.88409047050841 + 0.0im	0.05519575360406505 - 0.0004986919905516986im
-1.86543610941427 + 0.0im	0.054895348917872885 - 0.0005217499105461905im
-1.84696644496462 + 0.0im	0.05459007575483028 - 0.0005456897037042249im
-1.82867964847983 + 0.0im	0.05428042451739134 - 0.0005705371754344102im
-1.81057390938597 + 0.0im	0.053966718431337775 - 0.0005963180131182896im
-1.79264743503561 + 0.0im	0.053649179855786794 - 0.0006230578873107324im
-1.77489845053031 + 0.0im	0.05332796816473986 - 0.0006507826208048236im
-1.75732519854486 + 0.0im	0.0530031991067137 - 0.0006795181144674296im
-1.73992593915333 + 0.0im	0.0526749600602875 - 0.0007092903986845036im
-1.72269894965676 + 0.0im	0.052343313130796855 - 0.0007401256367839032im
-1.70564252441263 + 0.0im	0.05200831036870559 - 0.0007720500942405195im
-1.68875497466597 + 0.0im	0.05166998996323318 - 0.0008050901659436422im
-1.67203462838215 + 0.0im	0.051328381485940176 - 0.0008392723312410877im
-1.65547983008134 + 0.0im	0.05098350867522121 - 0.0008746231484587747im
-1.63908894067459 + 0.0im	0.050635390125403995 - 0.0009111692546658481im
-1.62286033730158 + 0.0im	0.050284040804059016 - 0.0009489373091264189im
-1.60679241316988 + 0.0im	0.04992947192446168 - 0.000987954048710374im
-1.59088357739592 + 0.0im	0.04957169465112393 - 0.0010282461365764763im
-1.57513225484744 + 0.0im	0.049210714884928876 - 0.001069840356782531im
-1.55953688598757 + 0.0im	0.04884653873696986 - 0.0011127632131166315im
-1.54409592672036 + 0.0im	0.04847917566287498 - 0.0011570416181639507im
-1.52880784823798 + 0.0im	0.048108622758633875 - 0.0012027018898006444im
-1.51367113686929 + 0.0im	0.04773488949457462 - 0.001249770569978249im
-1.49868429392999 + 0.0im	0.04735797901269994 - 0.0012982740793072336im
-1.48384583557425 + 0.0im	0.04697788945331973 - 0.0013482386490023509im
-1.46915429264777 + 0.0im	0.046594627804524 - 0.0013996903889625793im
-1.45460821054235 + 0.0im	0.046208197693113455 - 0.0014526553253494411im
-1.44020614905183 + 0.0im	0.045818596443534775 - 0.001507159147854794im
-1.42594668222953 + 0.0im	0.04542583178001506 - 0.001563227558501442im
-1.41182839824706 + 0.0im	0.04502990509576073 - 0.001620885884497266im
-1.39784989925452 + 0.0im	0.04463081531220519 - 0.00168015932565171im
-1.3840098012421 + 0.0im	0.04422857050058502 - 0.0017410728857387159im
-1.37030673390307 + 0.0im	0.04382316925827695 - 0.0018036511795878028im
-1.35673934049808 + 0.0im	0.043414615457280606 - 0.0018679186161848836im
-1.34330627772088 + 0.0im	0.043002912462610926 - 0.0019338996241348065im
-1.33000621556522 + 0.0im	0.04258806508281028 - 0.0020016178593986415im
-1.31683783719329 + 0.0im	0.04217007581246824 - 0.0020710970351430235im
-1.30379983880524 + 0.0im	0.0417489460038512 - 0.002142360445606721im
-1.29089092951014 + 0.0im	0.04132468874726063 - 0.002215431211651268im
-1.27810983119816 + 0.0im	0.040897294815198985 - 0.0022903319725987954im
-1.26545527841402 + 0.0im	0.040466775086125305 - 0.0023670851785313526im
-1.2529260182317 + 0.0im	0.040033132044297697 - 0.0024457129250173367im
-1.24052081013039 + 0.0im	0.03959637060328695 - 0.0025262370368859008im
-1.22823842587168 + 0.0im	0.03915649727029426 - 0.0026086790030631826im
-1.2160776493779 + 0.0im	0.0387135147793001 - 0.0026930599942893265im
-1.20403727661178 + 0.0im	0.038267424637963926 - 0.002779400906688662im
-1.19211611545721 + 0.0im	0.03781823689600247 - 0.002867722306363449im
-1.1803129856012 + 0.0im	0.037365955856288185 - 0.0029580444719309604im
-1.16862671841703 + 0.0im	0.036910582566538085 - 0.003050387420247314im
-1.15705615684854 + 0.0im	0.03645212178353959 - 0.003144770862416581im
-1.14560015529559 + 0.0im	0.03599059538856296 - 0.0032412140968043008im
-1.13425757950058 + 0.0im	0.035525968686427344 - 0.003339736743342176im
-1.12302730643622 + 0.0im	0.03505828225228621 - 0.0034403573328304214im
-1.11190822419427 + 0.0im	0.034587533995604415 - 0.0035430946841865643im
-1.10089923187552 + 0.0im	0.03411372112871912 - 0.0036479673651272615im
-1.08999923948071 + 0.0im	0.03363685058476654 - 0.003754993629130559im
