-2.0 + 0.0im	2.8924729635559887e-5 + 0.0im
-1.98019801980198 + 0.0im	3.08384949363927e-5 + 0.0im
-1.96059209881384 + 0.0im	3.299115796560973e-5 + 0.0im
-1.94118029585529 + 0.0im	3.5277797534739064e-5 + 0.0im
-1.92196068896563 + 0.0im	3.770921101881129e-5 + 0.0im
-1.9029313752135 + 0.0im	4.029475921447373e-5 + 0.0im
-1.88409047050841 + 0.0im	4.304379265951356e-5 + 0.0im
-1.86543610941427 + 0.0im	4.59659615762874e-5 + 0.0im
-1.84696644496462 + 0.0im	4.907132741358581e-5 + 0.0im
-1.82867964847983 + 0.0im	5.237042118960723e-5 + 0.0im
-1.81057390938597 + 0.0im	5.5874281813307364e-5 + 0.0im
-1.79264743503561 + 0.0im	5.9594488557473075e-5 + 0.0im
-1.77489845053031 + 0.0im	6.354318279004959e-5 + 0.0im
-1.75732519854486 + 0.0im	6.773311494306374e-5 + 0.0im
-1.73992593915333 + 0.0im	7.217764381341882e-5 + 0.0im
-1.72269894965676 + 0.0im	7.689078786320318e-5 + 0.0im
-1.70564252441263 + 0.0im	8.18872418706502e-5 + 0.0im
-1.68875497466597 + 0.0im	8.718240908229913e-5 + 0.0im
-1.67203462838215 + 0.0im	9.279243148090914e-5 + 0.0im
-1.65547983008134 + 0.0im	9.873422212558827e-5 + 0.0im
-1.63908894067459 + 0.0im	0.00010502549786580344 + 0.0im
-1.62286033730158 + 0.0im	0.00011168480988891702 + 0.0im
-1.60679241316988 + 0.0im	0.00011873157943102405 + 0.0im
-1.59088357739592 + 0.0im	0.0001261861423454796 + 0.0im
-1.57513225484744 + 0.0im	0.0001340697781838106 + 0.0im
-1.55953688598757 + 0.0im	0.0001424047436851856 + 0.0im
-1.54409592672036 + 0.0im	0.0001512143487343627 + 0.0im
-1.52880784823798 + 0.0im	0.00016052294784979466 + 0.0im
-1.51367113686929 + 0.0im	0.00017035603119083017 + 0.0im
-1.49868429392999 + 0.0im	0.00018074024776245772 + 0.0im
-1.48384583557425 + 0.0im	0.00019170129576233944 + 0.0im
-1.46915429264777 + 0.0im	0.00020327244009923584 + 0.0im
-1.45460821054235 + 0.0im	0.00021548217326634604 + 0.0im
-1.44020614905183 + 0.0im	0.0002283623464596898 + 0.0im
-1.42594668222953 + 0.0im	0.0002419462689272886 + 0.0im
-1.41182839824706 + 0.0im	0.0002562687652483267 + 0.0im
-1.39784989925452 + 0.0im	0.0002713662494136757 + 0.0im
-1.3840098012421 + 0.0im	0.00028727680916924153 + 0.0im
-1.37030673390307 + 0.0im	0.00030404028804638416 + 0.0im
-1.35673934049808 + 0.0im	0.00032169838151283715 + 0.0im
-1.34330627772088 + 0.0im	0.00034029471665052624 + 0.0im
-1.33000621556522 + 0.0im	0.0003598749890016818 + 0.0im
-1.31683783719329 + 0.0im	0.00038048706207462137 + 0.0im
-1.30379983880524 + 0.0im	0.0004021810874644691 + 0.0im
-1.29089092951014 + 0.0im	0.0004250097567999203 + 0.0im
-1.27810983119816 + 0.0im	0.0004490282378195905 + 0.0im
-1.26545527841402 + 0.0im	0.0004742946292324184 + 0.0im
-1.2529260182317 + 0.0im	0.000500869981771295 + 0.0im
-1.24052081013039 + 0.0im	0.0005288186693714027 + 0.0im
-1.22823842587168 + 0.0im	0.0005582085937448965 + 0.0im
-1.2160776493779 + 0.0im	0.0005891115953380164 + 0.0im
-1.20403727661178 + 0.0im	0.0006216037807003079 + 0.0im
-1.19211611545721 + 0.0im	0.0006557661311416601 + 0.0im
-1.1803129856012 + 0.0im	0.0006916850736035554 + 0.0im
-1.16862671841703 + 0.0im	0.0007294531639338944 + 0.0im
-1.15705615684854 + 0.0im	0.0007691702593251779 + 0.0im
-1.14560015529559 + 0.0im	0.0008109446333754971 + 0.0im
-1.13425757950058 + 0.0im	0.000854895032595345 + 0.0im
-1.12302730643622 + 0.0im	0.000901152506784536 + 0.0im
-1.11190822419427 + 0.0im	0.0009498643837200891 + 0.0im
-1.10089923187552 + 0.0im	0.0010011989224729628 + 0.0im
-1.08999923948071 + 0.0im	0.0010553529299473416 + 0.0im
-1.07920716780269 + 0.0im	0.0011125639548739742 + 0.0im
-1.06852194831949 + 0.0im	0.0011731301335742943 + 0.0im
-1.0579425230886 + 0.0im	0.0012374484115237952 + 0.0im
-1.04746784464218 + 0.0im	0.0013060872391277337 + 0.0im
-1.03709687588335 + 0.0im	0.001379954391752357 + 0.0im
-1.02682858998351 + 0.0im	0.0014607535524956302 + 0.0im
-1.01666197028071 + 0.0im	0.0015527059731335635 + 0.0im
-1.00659601017892 + 0.0im	0.0016786100231199511 + 0.0im
-0.996629713048433 + 0.0im	0.01673398799303247 + 0.0im
-0.986762092127162 + 0.0im	0.01675075490845586 + 0.0im
-0.976992170422933 + 0.0im	0.017006242849181393 + 0.0im
-0.967318980616765 + 0.0im	0.017335409740478626 + 0.0im
-0.957741564967094 + 0.0im	0.0177058871443102 + 0.0im
-0.948258975214945 + 0.0im	0.018105792983099618 + 0.0im
-0.938870272490044 + 0.0im	0.018529621146757737 + 0.0im
-0.929574527217865 + 0.0im	0.018974504535847272 + 0.0im
-0.920370819027589 + 0.0im	0.019438867662174692 + 0.0im
-0.91125823666098 + 0.0im	0.01992184588770723 + 0.0im
