-2.0 + 0.0im	7.475990658277393e-5 + 0.0im
-1.98019801980198 + 0.0im	7.808867662349339e-5 + 0.0im
-1.96059209881384 + 0.0im	8.313612168378776e-5 + 0.0im
-1.94118029585529 + 0.0im	8.840578316777532e-5 + 0.0im
-1.92196068896563 + 0.0im	9.394764729029905e-5 + 0.0im
-1.9029313752135 + 0.0im	9.978718866275142e-5 + 0.0im
-1.88409047050841 + 0.0im	0.00010594436105773503 + 0.0im
-1.86543610941427 + 0.0im	0.0001124375416825733 + 0.0im
-1.84696644496462 + 0.0im	0.00011928477851572006 + 0.0im
-1.82867964847983 + 0.0im	0.00012650431225293542 + 0.0im
-1.81057390938597 + 0.0im	0.00013411481749503007 + 0.0im
-1.79264743503561 + 0.0im	0.0001421355506516258 + 0.0im
-1.77489845053031 + 0.0im	0.00015058643527634798 + 0.0im
-1.75732519854486 + 0.0im	0.00015948814866377866 + 0.0im
-1.73992593915333 + 0.0im	0.00016886211596911258 + 0.0im
-1.72269894965676 + 0.0im	0.00017873063187992563 + 0.0im
-1.70564252441263 + 0.0im	0.0001891168441633509 + 0.0im
-1.68875497466597 + 0.0im	0.00020004482165661568 + 0.0im
-1.67203462838215 + 0.0im	0.00021153957976240278 + 0.0im
-1.65547983008134 + 0.0im	0.00022362713355026815 + 0.0im
-1.63908894067459 + 0.0im	0.00023633452799537818 + 0.0im
-1.62286033730158 + 0.0im	0.00024968987322443085 + 0.0im
-1.60679241316988 + 0.0im	0.0002637223973319921 + 0.0im
-1.59088357739592 + 0.0im	0.0002784624965454705 + 0.0im
-1.57513225484744 + 0.0im	0.00029394177131666883 + 0.0im
-1.55953688598757 + 0.0im	0.00031019298896002925 + 0.0im
-1.54409592672036 + 0.0im	0.00032725052772083764 + 0.0im
-1.52880784823798 + 0.0im	0.00034514969055027587 + 0.0im
-1.51367113686929 + 0.0im	0.0003639275142825927 + 0.0im
-1.49868429392999 + 0.0im	0.00038362237208381474 + 0.0im
-1.48384583557425 + 0.0im	0.00040426967372644157 + 0.0im
-1.46915429264777 + 0.0im	0.0004259197002690253 + 0.0im
-1.45460821054235 + 0.0im	0.00044861151890460425 + 0.0im
-1.44020614905183 + 0.0im	0.00047239015352759737 + 0.0im
-1.42594668222953 + 0.0im	0.0004973024658228165 + 0.0im
-1.41182839824706 + 0.0im	0.0005233972680622945 + 0.0im
-1.39784989925452 + 0.0im	0.0005507253768592067 + 0.0im
-1.3840098012421 + 0.0im	0.0005793398029184276 + 0.0im
-1.37030673390307 + 0.0im	0.0006092957645192422 + 0.0im
-1.35673934049808 + 0.0im	0.0006406509245290031 + 0.0im
-1.34330627772088 + 0.0im	0.0006734654297895084 + 0.0im
-1.33000621556522 + 0.0im	0.000707802128721133 + 0.0im
-1.31683783719329 + 0.0im	0.0007437267427525253 + 0.0im
-1.30379983880524 + 0.0im	0.000781307810303918 + 0.0im
-1.29089092951014 + 0.0im	0.0008206180267748308 + 0.0im
-1.27810983119816 + 0.0im	0.000861732258121559 + 0.0im
-1.26545527841402 + 0.0im	0.0009047300580667647 + 0.0im
-1.2529260182317 + 0.0im	0.0009496948835555145 + 0.0im
-1.24052081013039 + 0.0im	0.0009967147564798804 + 0.0im
-1.22823842587168 + 0.0im	0.0010458825673674748 + 0.0im
-1.2160776493779 + 0.0im	0.001097296789451646 + 0.0im
-1.20403727661178 + 0.0im	0.0011510618788293594 + 0.0im
-1.19211611545721 + 0.0im	0.0012072894195637792 + 0.0im
-1.1803129856012 + 0.0im	0.0012660988024013671 + 0.0im
-1.16862671841703 + 0.0im	0.001327618465821722 + 0.0im
-1.15705615684854 + 0.0im	0.001391987807425287 + 0.0im
-1.14560015529559 + 0.0im	0.0014593587330415819 + 0.0im
-1.13425757950058 + 0.0im	0.0015298996128622316 + 0.0im
-1.12302730643622 + 0.0im	0.0016037973294160607 + 0.0im
-1.11190822419427 + 0.0im	0.0016812645831441703 + 0.0im
-1.10089923187552 + 0.0im	0.0017625473103025453 + 0.0im
-1.08999923948071 + 0.0im	0.0018479370474611598 + 0.0im
