-2.0 + 0.0im	0.07528049494045064 + 0.0008573173331166401im
-1.98019801980198 + 0.0im	0.0776823529718976 + 0.0009045229127053369im
-1.96059209881384 + 0.0im	0.07844154493935851 + 0.0009539962145863155im
-1.94118029585529 + 0.0im	0.0792853470125058 + 0.0010058269229582617im
-1.92196068896563 + 0.0im	0.0801700189118314 + 0.001060107309929633im
-1.9029313752135 + 0.0im	0.08108233244695841 + 0.0011169322735431635im
-1.88409047050841 + 0.0im	0.08201663724955585 + 0.0011763993758125123im
-1.86543610941427 + 0.0im	0.08297006915771384 + 0.0012386088808587362im
-1.84696644496462 + 0.0im	0.08394103399608437 + 0.001303663793245518im
-1.82867964847983 + 0.0im	0.08492859053373801 + 0.0013716698966234895im
-1.81057390938597 + 0.0im	0.0859321742112953 + 0.0014427357928058857im
-1.79264743503561 + 0.0im	0.08695144587256527 + 0.0015169729414099367im
-1.77489845053031 + 0.0im	0.0879862178248614 + 0.0015944957002107663im
-1.75732519854486 + 0.0im	0.0890363834723494 + 0.0016754213663673794im
-1.73992593915333 + 0.0im	0.09010193538339889 + 0.0017598702186930818im
-1.72269894965676 + 0.0im	0.09118289045590873 + 0.0018479655611558208im
-1.70564252441263 + 0.0im	0.09227931543179096 + 0.0019398337678071381im
-1.68875497466597 + 0.0im	0.09339130117745019 + 0.002035604329351657im
-1.67203462838215 + 0.0im	0.09451896326280453 + 0.0021354099015823487im
-1.65547983008134 + 0.0im	0.09566243096082967 + 0.0022393863559202654im
-1.63908894067459 + 0.0im	0.09682184866868991 + 0.002347672832310429im
-1.62286033730158 + 0.0im	0.09799737650440839 + 0.0024604117947389917im
-1.60679241316988 + 0.0im	0.09918918386215113 + 0.00257774908964958im
-1.59088357739592 + 0.0im	0.10039744422969428 + 0.0026998340075495677im
-1.57513225484744 + 0.0im	0.10162234072908123 + 0.00282681934810951im
-1.55953688598757 + 0.0im	0.10286409444888457 + 0.0029588614890711596im
-1.54409592672036 + 0.0im	0.10412282639030453 + 0.0030961204592912144im
-1.52880784823798 + 0.0im	0.10539881344591139 + 0.0032387600162593045im
-1.51367113686929 + 0.0im	0.1066922305965206 + 0.003386947728439596im
-1.49868429392999 + 0.0im	0.10800330397012291 + 0.003540855062795528im
-1.48384583557425 + 0.0im	0.10933223888891457 + 0.003700657477867002im
-1.46915429264777 + 0.0im	0.11067926845620901 + 0.003866534522778103im
-1.45460821054235 + 0.0im	0.11204461561188028 + 0.004038669942561884im
-1.44020614905183 + 0.0im	0.11342850933620971 + 0.004217251790195865im
-1.42594668222953 + 0.0im	0.11483118475067994 + 0.004402472545748651im
-1.41182839824706 + 0.0im	0.11625287904709267 + 0.004594529243043721im
-1.39784989925452 + 0.0im	0.11769384115551478 + 0.004793623604250846im
-1.3840098012421 + 0.0im	0.11915431299851649 + 0.004999962182819552im
-1.37030673390307 + 0.0im	0.12063455207614024 + 0.005213756515171278im
-1.35673934049808 + 0.0im	0.12213480842074782 + 0.005435223281568483im
-1.34330627772088 + 0.0im	0.12365534616236366 + 0.005664584476579132im
-1.33000621556522 + 0.0im	0.12519642959214397 + 0.005902067589553845im
-1.31683783719329 + 0.0im	0.12675832498127496 + 0.006147905795530826im
-1.30379983880524 + 0.0im	0.12834134231834604 + 0.006402338156980033im
-1.29089092951014 + 0.0im	0.12994564786038684 + 0.006665609836792864im
-1.27810983119816 + 0.0im	0.13157163720697118 + 0.006937972322917479im
-1.26545527841402 + 0.0im	0.1332195610218957 + 0.00721968366503177im
-1.2529260182317 + 0.0im	0.13488971267326136 + 0.007511008723636532im
-1.24052081013039 + 0.0im	0.1365823809891197 + 0.007812219431940888im
-1.22823842587168 + 0.0im	0.13829787259746 + 0.008123595070899008im
-1.2160776493779 + 0.0im	0.14003648590876125 + 0.008445422557743429im
-1.20403727661178 + 0.0im	0.14179854472337836 + 0.008777996748344426im
-1.19211611545721 + 0.0im	0.14358435130174252 + 0.009121620753707734im
-1.1803129856012 + 0.0im	0.1453942265051066 + 0.009476606270903395im
-1.16862671841703 + 0.0im	0.14722850834214266 + 0.009843273928698534im
-1.15705615684854 + 0.0im	0.14908751532357642 + 0.010221953648143614im
-1.14560015529559 + 0.0im	0.1509716090265785 + 0.010612985018338081im
-1.13425757950058 + 0.0im	0.1528810739242083 + 0.011016717687575015im
-1.12302730643622 + 0.0im	0.15481631223534786 + 0.011433511770036866im
-1.11190822419427 + 0.0im	0.15677765978279418 + 0.011863738268184765im
-1.10089923187552 + 0.0im	0.15876546487022675 + 0.012307779510952377im
-1.08999923948071 + 0.0im	0.1607800958304227 + 0.012766029607822377im
-1.07920716780269 + 0.0im	0.16282191935042498 + 0.01323889491882863im
-1.06852194831949 + 0.0im	0.1648913091978058 + 0.013726794540489895im
-1.0579425230886 + 0.0im	0.16698863523373944 + 0.014230160807642904im
-1.04746784464218 + 0.0im	0.16911429049334076 + 0.014749439811101429im
-1.03709687588335 + 0.0im	0.17126866587605688 + 0.015285091931026317im
-1.02682858998351 + 0.0im	0.1734521825915793 + 0.015837592385846373im
-1.01666197028071 + 0.0im	0.17566512012028546 + 0.016407431796524572im
-1.00659601017892 + 0.0im	0.17790800228108825 + 0.01699511676591591im
-0.996629713048433 + 0.0im	0.18018119298575905 + 0.01760117047291303im
-0.986762092127162 + 0.0im	0.182485115595327 + 0.018226133281024588im
-0.976992170422933 + 0.0im	0.18482017201113393 + 0.018870563360977078im
-0.967318980616765 + 0.0im	0.18718677913183598 + 0.019535037326876493im
-0.957741564967094 + 0.0im	0.18958536105628732 + 0.02022015088540709im
-0.948258975214945 + 0.0im	0.19201634616692434 + 0.020926519497487653im
-0.938870272490044 + 0.0im	0.1944801618553594 + 0.021654779051742522im
-0.929574527217865 + 0.0im	0.19697724271632233 + 0.022405586549083433im
-0.920370819027589 + 0.0im	0.19950800793091378 + 0.023179620797632684im
-0.91125823666098 + 0.0im	0.20207290905659347 + 0.02397758311715191im
-0.902235877882158 + 0.0im	0.20467237598731136 + 0.02480019805207302im
-0.893302849388275 + 0.0im	0.20730684998923646 + 0.025648214092157156im
-0.884458266721065 + 0.0im	0.2099767551635864 + 0.026522404399736563im
-0.875701254179272 + 0.0im	0.2126825467021128 + 0.027423567542420643im
-0.867030944731952 + 0.0im	0.215424643318354 + 0.02835252823007236im
-0.858446479932626 + 0.0im	0.21820349763960165 + 0.0293101380547851im
-0.849947009834283 + 0.0im	0.22101952949535777 + 0.03029727623251148im
