-2.0 + 0.0im	-0.12692360456589646 - 0.00010648461701340113im
-1.98019801980198 + 0.0im	-0.12817194668625065 - 0.00011358033032155046im
-1.96059209881384 + 0.0im	-0.12922154242426756 - 0.00012104547345100868im
-1.94118029585529 + 0.0im	-0.13028723877051873 - 0.00012889347664704555im
-1.92196068896563 + 0.0im	-0.13136365675140782 - 0.00013713793823702915im
-1.9029313752135 + 0.0im	-0.13244917791375604 - 0.00014579260803247377im
-1.88409047050841 + 0.0im	-0.13354310835280375 - 0.00015487136960455833im
-1.86543610941427 + 0.0im	-0.13464508160063443 - 0.00016438822143045553im
-1.84696644496462 + 0.0im	-0.13575492314004062 - 0.00017435725691122074im
-1.82867964847983 + 0.0im	-0.13687248874669306 - 0.00018479264326551795im
-1.81057390938597 + 0.0im	-0.13799770649903992 - 0.0001957085993070995im
-1.79264743503561 + 0.0im	-0.13913052398599868 - 0.0002071193721177132im
-1.77489845053031 + 0.0im	-0.14027090583557428 - 0.00021903921263094584im
-1.75732519854486 + 0.0im	-0.1414188259443242 - 0.0002314823501464346im
-1.73992593915333 + 0.0im	-0.14257426879075202 - 0.00024446296579785925im
-1.72269894965676 + 0.0im	-0.14373721789730923 - 0.00025799516500216375im
-1.70564252441263 + 0.0im	-0.1449076643156141 - 0.0002720929489215193im
-1.68875497466597 + 0.0im	-0.1460856016922695 - 0.00028677018497362436im
-1.67203462838215 + 0.0im	-0.14727101801670187 - 0.00030204057643002784im
-1.65547983008134 + 0.0im	-0.14846390794538689 - 0.0003179176311462122im
-1.63908894067459 + 0.0im	-0.14966427149688366 - 0.0003344146294712201im
-1.62286033730158 + 0.0im	-0.1508720918103294 - 0.0003515445913885744im
-1.60679241316988 + 0.0im	-0.15208737108544096 - 0.00036932024294414806im
-1.59088357739592 + 0.0im	-0.15331010098678186 - 0.00038775398202044566im
-1.57513225484744 + 0.0im	-0.15454026840275067 - 0.00040685784352047563im
-1.55953688598757 + 0.0im	-0.15577786691218795 - 0.0004266434640279424im
-1.54409592672036 + 0.0im	-0.15702289230716696 - 0.00044712204601391934im
-1.52880784823798 + 0.0im	-0.15827533305632754 - 0.0004683043216634387im
-1.51367113686929 + 0.0im	-0.1595351766532596 - 0.0004902005163984557im
-1.49868429392999 + 0.0im	-0.16080241309180593 - 0.0005128203121765749im
-1.48384583557425 + 0.0im	-0.16207702945142127 - 0.000536172810647515im
-1.46915429264777 + 0.0im	-0.16335901120371527 - 0.0005602664962517424im
