-2.0 + 0.0im	-0.12692380633225583 - 0.00010668691871011834im
-1.98019801980198 + 0.0im	-0.1281725094053195 - 0.00011379221932636768im
-1.96059209881384 + 0.0im	-0.12922207620822326 - 0.00012126731611900457im
-1.94118029585529 + 0.0im	-0.13028776091327898 - 0.0001291256484054938im
-1.92196068896563 + 0.0im	-0.13136417409622034 - 0.00013738082355106612im
-1.9029313752135 + 0.0im	-0.13244969410510424 - 0.0001460466003557614im
-1.88409047050841 + 0.0im	-0.13354362564666555 - 0.00015513687131463012im
-1.86543610941427 + 0.0im	-0.13464560149557292 - 0.00016466564374848118im
-1.84696644496462 + 0.0im	-0.1357554467236874 - 0.00017464701980599142im
-1.82867964847983 + 0.0im	-0.13687301681316666 - 0.0001850951753415191im
-1.81057390938597 + 0.0im	-0.13799823965726332 - 0.00019602433767660986im
-1.79264743503561 + 0.0im	-0.13913106270946413 - 0.00020744876225695002im
-1.77489845053031 + 0.0im	-0.1402714504959105 - 0.00021938270822035786im
-1.75732519854486 + 0.0im	-0.14141937683447245 - 0.00023184041289533698im
-1.73992593915333 + 0.0im	-0.14257482614359457 - 0.0002448360652536989im
-1.72269894965676 + 0.0im	-0.14373778189263584 - 0.00025838377834480825im
-1.70564252441263 + 0.0im	-0.14490823508706144 - 0.0002724975607430626im
-1.68875497466597 + 0.0im	-0.14608617935119284 - 0.0002871912870443277im
-1.67203462838215 + 0.0im	-0.14727160262534647 - 0.0003024786674511178im
-1.65547983008134 + 0.0im	-0.14846449954275376 - 0.0003183732164903901im
-1.63908894067459 + 0.0im	-0.1496648700999274 - 0.00033488822091186317im
-1.62286033730158 + 0.0im	-0.15087269740591472 - 0.00035203670681873447im
-1.60679241316988 + 0.0im	-0.15208798364341403 - 0.0003698314060865936im
-1.59088357739592 + 0.0im	-0.1533107191778066 - 0.0003882847221301363im
-1.57513225484744 + 0.0im	-0.15454089470737162 - 0.0004074086950809807im
-1.55953688598757 + 0.0im	-0.1557784999603582 - 0.0004272149664434817im
-1.54409592672036 + 0.0im	-0.15702353198595892 - 0.0004477147432988328im
-1.52880784823798 + 0.0im	-0.1582759792458277 - 0.00046891876213103496im
-1.51367113686929 + 0.0im	-0.15953582920914405 - 0.0004908372523513524im
-1.49868429392999 + 0.0im	-0.16080307185477194 - 0.0005134798996007618im
-1.48384583557425 + 0.0im	-0.16207769425467747 - 0.0005368558089125356im
-1.46915429264777 + 0.0im	-0.16335968185062877 - 0.0005609734678195129im
-1.45460821054235 + 0.0im	-0.164649020369708 - 0.0005858407094927635im
-1.44020614905183 + 0.0im	-0.16594569527444394 - 0.0006114646760002427im
-1.42594668222953 + 0.0im	-0.16724968646442995 - 0.0006378517817756152im
-1.41182839824706 + 0.0im	-0.16856097890203425 - 0.0006650076773887721im
-1.39784989925452 + 0.0im	-0.1698795520814332 - 0.000692937213710538im
-1.3840098012421 + 0.0im	-0.17120539706928783 - 0.0007216444065647652im
-1.37030673390307 + 0.0im	-0.1725384740356021 - 0.000751132401961364im
-1.35673934049808 + 0.0im	-0.17387877400602794 - 0.0007814034420038691im
-1.34330627772088 + 0.0im	-0.17522627162742985 - 0.0008124588315648006im
-1.33000621556522 + 0.0im	-0.17658094316196918 - 0.0008442989058214682im
-1.31683783719329 + 0.0im	-0.17794276400189096 - 0.0008769229987438376im
-1.30379983880524 + 0.0im	-0.1793117086860124 - 0.0009103294126247648im
-1.29089092951014 + 0.0im	-0.18068775046931965 - 0.0009445153887412159im
-1.27810983119816 + 0.0im	-0.1820708627072342 - 0.0009794770792330722im
-1.26545527841402 + 0.0im	-0.18346101695552464 - 0.0010152095202837573im
-1.2529260182317 + 0.0im	-0.1848581843994489 - 0.001051706606684247im
-1.24052081013039 + 0.0im	-0.18626233541785658 - 0.0010889610678590457im
-1.22823842587168 + 0.0im	-0.18767343968252623 - 0.0011269644454293397im
-1.2160776493779 + 0.0im	-0.18909146637000956 - 0.0011657070723850023im
-1.20403727661178 + 0.0im	-0.1905163823119668 - 0.0012051780539331918im
-1.19211611545721 + 0.0im	-0.1919481573440691 - 0.0012453652500871491im
-1.1803129856012 + 0.0im	-0.19338675719174692 - 0.0012862552600543856im
-1.16862671841703 + 0.0im	-0.19483214888715855 - 0.001327833408478847im
-1.15705615684854 + 0.0im	-0.1962842984373746 - 0.0013700837335867317im
-1.14560015529559 + 0.0im	-0.1977431715905206 - 0.0014129889772807138im
-1.13425757950058 + 0.0im	-0.1992087331466906 - 0.0014565305772220203im
-1.12302730643622 + 0.0im	-0.20068094874053513 - 0.001500688660934574im
-1.11190822419427 + 0.0im	-0.20215978223825976 - 0.00154544204195988im
-1.10089923187552 + 0.0im	-0.2036452002403202 - 0.0015907682180858885im
-1.08999923948071 + 0.0im	-0.20513716227332007 - 0.0016366433716673697im
-1.07920716780269 + 0.0im	-0.2066356358994436 - 0.001683042372049842im
-1.06852194831949 + 0.0im	-0.208140584372438 - 0.0017299387801032922im
-1.0579425230886 + 0.0im	-0.2096519728463078 - 0.0017773048548665067im
-1.04746784464218 + 0.0im	-0.2111697648871982 - 0.0018251115622971096im
-1.03709687588335 + 0.0im	-0.21269391228980777 - 0.0018733285861170293im
-1.02682858998351 + 0.0im	-0.21422439754949307 - 0.001921924340737732im
-1.01666197028071 + 0.0im	-0.2157611758357657 - 0.001970865986244317im
-1.00659601017892 + 0.0im	-0.21730421359387697 - 0.0020201194454124915im
-0.996629713048433 + 0.0im	-0.21885347290522025 - 0.002069649422727625im
-0.986762092127162 + 0.0im	-0.22040891338207666 - 0.0021194194253703925im
-0.976992170422933 + 0.0im	-0.2219705183469818 - 0.0021693917861290673im
-0.967318980616765 + 0.0im	-0.22353822766107645 - 0.0022195276881945224im
-0.957741564967094 + 0.0im	-0.22511202628020924 - 0.002269787191789915im
