-2.0 + 0.0im	-0.550605093524246 - 0.003023576801653635im
-1.98019801980198 + 0.0im	-0.5621352323848368 - 0.0031984111618972542im
-1.96059209881384 + 0.0im	-0.5679049629381453 - 0.0033820466536838723im
-1.94118029585529 + 0.0im	-0.5740085362100346 - 0.003574849754525307im
-1.92196068896563 + 0.0im	-0.5802925840054481 - 0.003777198398290647im
-1.9029313752135 + 0.0im	-0.5867111377754128 - 0.003989482193810991im
-1.88409047050841 + 0.0im	-0.5932449003057229 - 0.004212102646671772im
-1.86543610941427 + 0.0im	-0.5998843579104698 - 0.004445473384706104im
-1.84696644496462 + 0.0im	-0.6066244720454095 - 0.004690020387757761im
-1.82867964847983 + 0.0im	-0.6134625024868505 - 0.0049461822223392585im
-1.81057390938597 + 0.0im	-0.6203970471110731 - 0.005214410281869345im
-1.79264743503561 + 0.0im	-0.627427517790796 - 0.005495169033235099im
-1.77489845053031 + 0.0im	-0.6345537390639459 - 0.005788936270486148im
-1.75732519854486 + 0.0im	-0.6417760830740002 - 0.006096203376532824im
-1.73992593915333 + 0.0im	-0.6490950507883031 - 0.006417475593785358im
-1.72269894965676 + 0.0im	-0.6565113422874149 - 0.006753272304738413im
-1.70564252441263 + 0.0im	-0.664025826527692 - 0.007104127323573052im
-1.68875497466597 + 0.0im	-0.6716394503106919 - 0.007470589199917369im
-1.67203462838215 + 0.0im	-0.6793532730010173 - 0.007853221535977022im
-1.65547983008134 + 0.0im	-0.687168408548646 - 0.00825260331831705im
-1.63908894067459 + 0.0im	-0.6950860549789392 - 0.008669329265647677im
-1.62286033730158 + 0.0im	-0.7031074597093387 - 0.009104010194037612im
-1.60679241316988 + 0.0im	-0.7112338847878593 - 0.009557273401049702im
-1.59088357739592 + 0.0im	-0.7194666906778033 - 0.010029763070364604im
-1.57513225484744 + 0.0im	-0.7278072426594306 - 0.010522140698528575im
-1.55953688598757 + 0.0im	-0.7362570578578753 - 0.011035085545531405im
-1.54409592672036 + 0.0im	-0.7448172321043589 - 0.011569295110989114im
-1.52880784823798 + 0.0im	-0.7534896145542377 - 0.012125485637773895im
-1.51367113686929 + 0.0im	-0.762275540799351 - 0.012704392644999707im
-1.49868429392999 + 0.0im	-0.7711766256862955 - 0.013306771492336741im
-1.48384583557425 + 0.0im	-0.7801943786063175 - 0.013933397977690103im
-1.46915429264777 + 0.0im	-0.7893304597621806 - 0.014585068970338472im
-1.45460821054235 + 0.0im	-0.7985864984131515 - 0.015262603081686673im
-1.44020614905183 + 0.0im	-0.8079641230079418 - 0.015966841375839796im
-1.42594668222953 + 0.0im	-0.8174650699722713 - 0.016698648122260174im
-1.41182839824706 + 0.0im	-0.8270910506533754 - 0.017458911592815454im
-1.39784989925452 + 0.0im	-0.836843848537779 - 0.018248544905571845im
-1.3840098012421 + 0.0im	-0.8467252174190775 - 0.019068486917727605im
-1.37030673390307 + 0.0im	-0.8567370313789997 - 0.019919703170118028im
-1.35673934049808 + 0.0im	-0.8668811400803912 - 0.020803186885756962im
-1.34330627772088 + 0.0im	-0.8771594235576905 - 0.02171996002490595im
-1.33000621556522 + 0.0im	-0.887573839065876 - 0.022671074399186246im
-1.31683783719329 + 0.0im	-0.898126332046661 - 0.023657612847265683im
-1.30379983880524 + 0.0im	-0.9088190955712937 - 0.02468069047466459im
-1.29089092951014 + 0.0im	-0.9196536124237031 - 0.025741455960230846im
-1.27810983119816 + 0.0im	-0.9306324805422029 - 0.02684109293183479im
-1.26545527841402 + 0.0im	-0.9417577224570804 - 0.027980821413828048im
-1.2529260182317 + 0.0im	-0.9530314079956345 - 0.029161899348797184im
-1.24052081013039 + 0.0im	-0.9644557519400526 - 0.030385624196125026im
-1.22823842587168 + 0.0im	-0.9760329901364847 - 0.03165333460984346im
-1.2160776493779 + 0.0im	-0.9877654010037737 - 0.03296641219822937im
