-2.0 + 0.0im	-0.428719716930717 - 0.0009779755184429098im
-1.98019801980198 + 0.0im	-0.43419456940211054 - 0.0010316437739918093im
-1.96059209881384 + 0.0im	-0.4378109011634057 - 0.0010878002717865376im
-1.94118029585529 + 0.0im	-0.44153901606676593 - 0.001146533282519931im
-1.92196068896563 + 0.0im	-0.44532895963192387 - 0.0012079327759688201im
-1.9029313752135 + 0.0im	-0.4491655563309493 - 0.001272090385340867im
-1.88409047050841 + 0.0im	-0.4530423735721929 - 0.00133909936825508im
-1.86543610941427 + 0.0im	-0.4569559618190629 - 0.0014090545643830534im
-1.84696644496462 + 0.0im	-0.46090451874648575 - 0.0014820523497914876im
-1.82867964847983 + 0.0im	-0.46488688370334824 - 0.0015581905880402206im
-1.81057390938597 + 0.0im	-0.46890228791728683 - 0.0016375685781042184im
-1.79264743503561 + 0.0im	-0.4729502686804743 - 0.0017202869992023599im
-1.77489845053031 + 0.0im	-0.4770305113677203 - 0.0018064478526305136im
-1.75732519854486 + 0.0im	-0.48114286144987156 - 0.0018961544007113286im
-1.73992593915333 + 0.0im	-0.4852871301712833 - 0.0019895111029880792im
-1.72269894965676 + 0.0im	-0.4894632656917706 - 0.002086623549805015im
-1.70564252441263 + 0.0im	-0.4936711970716462 - 0.002187598393431737im
-1.68875497466597 + 0.0im	-0.49791097791963806 - 0.002292543276904096im
-1.67203462838215 + 0.0im	-0.5021825641186687 - 0.002401566760768979im
-1.65547983008134 + 0.0im	-0.5064859697743559 - 0.002514778247935078im
-1.63908894067459 + 0.0im	-0.5108212523657446 - 0.002632287906846038im
-1.62286033730158 + 0.0im	-0.5151884239148283 - 0.002754206593206461im
-1.60679241316988 + 0.0im	-0.5195875909125579 - 0.002880645770504889im
-1.59088357739592 + 0.0im	-0.5240187363617982 - 0.0030117174295909333im
-1.57513225484744 + 0.0im	-0.5284819648546418 - 0.0031475340075762964im
-1.55953688598757 + 0.0im	-0.5329772592844384 - 0.003288208306341313im
-1.54409592672036 + 0.0im	-0.5375047239847914 - 0.003433853410939755im
-1.52880784823798 + 0.0im	-0.5420644312402163 - 0.0035845826082050733im
-1.51367113686929 + 0.0im	-0.5466564546262545 - 0.003740509305870578im
-1.49868429392999 + 0.0im	-0.5512807712650333 - 0.003901746952524862im
-1.48384583557425 + 0.0im	-0.5559374800020521 - 0.004068408958730931im
-1.46915429264777 + 0.0im	-0.5606266223054214 - 0.004240608619644309im
-1.45460821054235 + 0.0im	-0.5653482651444645 - 0.004418459039470479im
-1.44020614905183 + 0.0im	-0.5701024543933071 - 0.004602073058106149im
-1.42594668222953 + 0.0im	-0.5748892299590002 - 0.004791563180311794im
-1.41182839824706 + 0.0im	-0.5797086392568694 - 0.004987041507764384im
-1.39784989925452 + 0.0im	-0.5845607041441719 - 0.0051886196743394725im
-1.3840098012421 + 0.0im	-0.5894455455646094 - 0.005396408784970558im
-1.37030673390307 + 0.0im	-0.5943631217907492 - 0.005610519358431196im
-1.35673934049808 + 0.0im	-0.5993134993377748 - 0.005831061274381087im
-1.34330627772088 + 0.0im	-0.6042967161086636 - 0.006058143725011968im
-1.33000621556522 + 0.0im	-0.6093127985936808 - 0.006291875171622071im
-1.31683783719329 + 0.0im	-0.6143617997701187 - 0.006532363306439426im
-1.30379983880524 + 0.0im	-0.6194437183125174 - 0.006779715020004137im
-1.29089092951014 + 0.0im	-0.6245585828337171 - 0.007034036374408379im
-1.27810983119816 + 0.0im	-0.629706449934726 - 0.0072954325826797995im
-1.26545527841402 + 0.0im	-0.6348873248781074 - 0.00756400799457928im
-1.2529260182317 + 0.0im	-0.6401011991373062 - 0.007839866089068481im
-1.24052081013039 + 0.0im	-0.6453481947068119 - 0.008123109473684772im
-1.22823842587168 + 0.0im	-0.650628185566342 - 0.008413839891042546im
-1.2160776493779 + 0.0im	-0.6559413231022869 - 0.008712158232660007im
-1.20403727661178 + 0.0im	-0.6612875465056025 - 0.00901816456028859im
-1.19211611545721 + 0.0im	-0.6666668731171501 - 0.009331958134900196im
-1.1803129856012 + 0.0im	-0.6720793283107003 - 0.009653637453462895im
-1.16862671841703 + 0.0im	-0.6775248824538403 - 0.009983300293611438im
-1.15705615684854 + 0.0im	-0.6830036586595994 - 0.010321043766292644im
-1.14560015529559 + 0.0im	-0.6885155321357015 - 0.010666964376438774im
-1.13425757950058 + 0.0im	-0.6940606011250783 - 0.011021158091694513im
-1.12302730643622 + 0.0im	-0.6996388320595494 - 0.011383720419194455im
-1.11190822419427 + 0.0im	-0.7052501900883427 - 0.011754746490358766im
-1.10089923187552 + 0.0im	-0.7108947643207562 - 0.012134331153645032im
-1.08999923948071 + 0.0im	-0.7165725441052928 - 0.012522569075163947im
-1.07920716780269 + 0.0im	-0.7222834743391411 - 0.012919554847035894im
-1.06852194831949 + 0.0im	-0.7280276296506499 - 0.013325383103334464im
-1.0579425230886 + 0.0im	-0.7338048873745847 - 0.013740148643432095im
-1.04746784464218 + 0.0im	-0.7396153776792775 - 0.014163946562531796im
-1.03709687588335 + 0.0im	-0.7454590968634316 - 0.014596872389137679im
-1.02682858998351 + 0.0im	-0.7513359196083155 - 0.015039022229186554im
-1.01666197028071 + 0.0im	-0.7572459641101418 - 0.015490492916531698im
-1.00659601017892 + 0.0im	-0.7631891898867095 - 0.01595138216944054im
-0.996629713048433 + 0.0im	-0.7691655998206814 - 0.016421788752737095im
-0.986762092127162 + 0.0im	-0.7751751487132461 - 0.016901812645191985im
-0.976992170422933 + 0.0im	-0.7812179410706701 - 0.017391555211734074im
-0.967318980616765 + 0.0im	-0.7872938097974929 - 0.017891119380029855im
-0.957741564967094 + 0.0im	-0.7934028872451817 - 0.018400609820950334im
-0.948258975214945 + 0.0im	-0.7995451192932223 - 0.01892013313241981im
-0.938870272490044 + 0.0im	-0.8057205028376638 - 0.01944979802611545im
-0.929574527217865 + 0.0im	-0.811929111702067 - 0.01998971551646394im
-0.920370819027589 + 0.0im	-0.8181706910528929 - 0.020539999111359102im
-0.91125823666098 + 0.0im	-0.8244454793976242 - 0.021100765004003im
-0.902235877882158 + 0.0im	-0.8307533892040065 - 0.021672132265254367im
-0.893302849388275 + 0.0im	-0.837094445914004 - 0.02225422303584966im
-0.884458266721065 + 0.0im	-0.843468509372644 - 0.022847162717845537im
-0.875701254179272 + 0.0im	-0.8498757025420746 - 0.023451080164616788im
-0.867030944731952 + 0.0im	-0.8563159584698985 - 0.024066107868730428im
-0.858446479932626 + 0.0im	-0.8627892941771 - 0.02469238214700462im
-0.849947009834283 + 0.0im	-0.8692956045837683 - 0.02533004332205145im
-0.841531692905231 + 0.0im	-0.875834956153953 - 0.025979235899594093im
-0.833199695945773 + 0.0im	-0.882407298771155 - 0.02664010874084203im
-0.824950194005716 + 0.0im	-0.8890126057873963 - 0.027312815229203615im
-0.816782370302689 + 0.0im	-0.8956508974188339 - 0.027997513430611947im
-0.808695416141276 + 0.0im	-0.902321995729609 - 0.028694366246737907im
-0.800688530832947 + 0.0im	-0.9090260215635442 - 0.029403541560366262im
-0.792760921616779 + 0.0im	-0.9157629263004473 - 0.03012521237221055im
-0.784911803580969 + 0.0im	-0.9225325821850846 - 0.03085955692844868im
-0.777140399585118 + 0.0im	-0.9293350018595903 - 0.03160675883826415im
-0.769445940183285 + 0.0im	-0.9361701181737712 - 0.03236700718068789im
-0.761827663547807 + 0.0im	-0.9430378861767243 - 0.03314049660004144im
-0.754284815393868 + 0.0im	-0.9499382167107888 - 0.033927427389295474im
-0.74681664890482 + 0.0im	-0.9568710972806117 - 0.03472800556066774im
-0.739422424658238 + 0.0im	-0.9638364313522516 - 0.03554244290279946im
-0.732101410552711 + 0.0im	-0.9708341011927542 - 0.036370957023863656im
-0.724852881735357 + 0.0im	-0.9778642010658126 - 0.03721377137997584im
-0.717676120530057 + 0.0im	-0.9849263940129642 - 0.03807111528829602im
-0.710570416366393 + 0.0im	-0.9920207740551307 - 0.038943223924229574im
-0.7035350657093 + 0.0im	-0.9991471783206368 - 0.039830338302156765im
-0.696569371989405 + 0.0im	-1.006305528066545 - 0.040732705239142374im
-0.689672645534065 + 0.0im	-1.0134956653353029 - 0.04165057730109997im
