-2.0 + 0.0im	-0.016259616204765032 - 0.0004902298706863983im
-1.98019801980198 + 0.0im	-0.017312829035903525 - 0.000514561504617968im
-1.96059209881384 + 0.0im	-0.017423273634625175 - 0.0005399303345775462im
-1.94118029585529 + 0.0im	-0.017577915891579456 - 0.0005663709710238251im
-1.92196068896563 + 0.0im	-0.017751546500864794 - 0.0005939186988215463im
-1.9029313752135 + 0.0im	-0.017936470729952456 - 0.0006226094697300522im
-1.88409047050841 + 0.0im	-0.01812934826946403 - 0.0006524798941016317im
-1.86543610941427 + 0.0im	-0.018328445980665093 - 0.0006835672318154961im
-1.84696644496462 + 0.0im	-0.018532757592810357 - 0.000715909382477972im
-1.82867964847983 + 0.0im	-0.018741655353619848 - 0.0007495448749243147im
-1.81057390938597 + 0.0im	-0.01895472675855366 - 0.0007845128560624691im
-1.79264743503561 + 0.0im	-0.01917168802155171 - 0.0008208530791041214im
-1.77489845053031 + 0.0im	-0.01939234058368758 - 0.0008586058912334296im
-1.75732519854486 + 0.0im	-0.019616540264672862 - 0.0008978122207689643im
-1.73992593915333 + 0.0im	-0.019844182666029147 - 0.0009385135638794613im
-1.72269894965676 + 0.0im	-0.020075190081158475 - 0.0009807519709191688im
-1.70564252441263 + 0.0im	-0.020309505246011335 - 0.0010245700324536663im
-1.68875497466597 + 0.0im	-0.020547086519614892 - 0.0010700108650520425im
-1.67203462838215 + 0.0im	-0.020787901440514917 - 0.0011171180969264144im
-1.65547983008134 + 0.0im	-0.021031928726010354 - 0.001165935853504595im
-1.63908894067459 + 0.0im	-0.021279152570644194 - 0.0012165087430265253im
-1.62286033730158 + 0.0im	-0.02152956112971674 - 0.001268881842259796im
-1.60679241316988 + 0.0im	-0.02178315013324258 - 0.001323100682433979im
-1.59088357739592 + 0.0im	-0.022039915517791806 - 0.0013792112354979028im
-1.57513225484744 + 0.0im	-0.022299857797675977 - 0.0014372599008080082im
-1.55953688598757 + 0.0im	-0.02256298473435066 - 0.0014972934923598179im
-1.54409592672036 + 0.0im	-0.022829280097460918 - 0.0015593592266781725im
-1.52880784823798 + 0.0im	-0.02309877001761225 - 0.0016235047114851015im
-1.51367113686929 + 0.0im	-0.023371453184178187 - 0.0016897779352673425im
-1.49868429392999 + 0.0im	-0.023647337316754592 - 0.0017582272578680273im
-1.48384583557425 + 0.0im	-0.023926430440697512 - 0.0018289014022294988im
-1.46915429264777 + 0.0im	-0.024208744260425855 - 0.0019018494474161037im
-1.45460821054235 + 0.0im	-0.024494283664239364 - 0.001977120823047325im
-1.44020614905183 + 0.0im	-0.024783062742408133 - 0.002054765305272815im
-1.42594668222953 + 0.0im	-0.0250750900990365 - 0.0021348330144215066im
-1.41182839824706 + 0.0im	-0.02537037737995238 - 0.002217374414457293im
-1.39784989925452 + 0.0im	-0.02566893569214636 - 0.0023024403143734507im
-1.3840098012421 + 0.0im	-0.02597077651409557 - 0.0023900818716574204im
-1.37030673390307 + 0.0im	-0.026275912283622426 - 0.0024803505979562046im
-1.35673934049808 + 0.0im	-0.026584355228497107 - 0.002573298367071035im
-1.34330627772088 + 0.0im	-0.026896118006230173 - 0.0026689774254077658im
-1.33000621556522 + 0.0im	-0.02721121397243959 - 0.002767440405006618im
-1.31683783719329 + 0.0im	-0.027529655429607724 - 0.0028687403392717837im
-1.30379983880524 + 0.0im	-0.02785145666636883 - 0.0029729306815174878im
-1.29089092951014 + 0.0im	-0.0281766321340104 - 0.00308006532644283im
-1.27810983119816 + 0.0im	-0.028505195702884414 - 0.0031901986346429636im
-1.26545527841402 + 0.0im	-0.028837162712685268 - 0.0033033854602586405im
-1.2529260182317 + 0.0im	-0.029172546468777084 - 0.003419681181860386im
-1.24052081013039 + 0.0im	-0.02951136462949375 - 0.0035391417366570756im
-1.22823842587168 + 0.0im	-0.02985363187977893 - 0.0036618236581118274im
-1.2160776493779 + 0.0im	-0.03019936454110225 - 0.0037877841170405892im
-1.20403727661178 + 0.0im	-0.030548581368706963 - 0.003917080966260962im
-1.19211611545721 + 0.0im	-0.03090129807565574 - 0.004049772788850456im
-1.1803129856012 + 0.0im	-0.03125753281294534 - 0.004185918950064349im
-1.16862671841703 + 0.0im	-0.03161730480232585 - 0.004325579652954206im
-1.15705615684854 + 0.0im	-0.031980633534840534 - 0.0044688159977182736im
-1.14560015529559 + 0.0im	-0.032347540082304116 - 0.004615690044804856im
-1.13425757950058 + 0.0im	-0.03271803968733245 - 0.004766264881779294im
-1.12302730643622 + 0.0im	-0.03309215954865275 - 0.004920604693954171im
-1.11190822419427 + 0.0im	-0.03346991887769989 - 0.005078774838771372im
-1.10089923187552 + 0.0im	-0.03385133910114136 - 0.0052408419239127im
-1.08999923948071 + 0.0im	-0.03423644465455239 - 0.005406873889104317im
-1.07920716780269 + 0.0im	-0.034625259167470626 - 0.00557694009156781im
-1.06852194831949 + 0.0im	-0.035017806181699564 - 0.005751111395058602im
-1.0579425230886 + 0.0im	-0.03541411371526788 - 0.005929460262419665im
-1.04746784464218 + 0.0im	-0.035814205168258874 - 0.006112060851565752im
-1.03709687588335 + 0.0im	-0.03621810756626786 - 0.006298989114800503im
-1.02682858998351 + 0.0im	-0.03662585791314012 - 0.006490322901355682im
-1.01666197028071 + 0.0im	-0.037037457466810066 - 0.006686142063028554im
-1.00659601017892 + 0.0im	-0.03745296083036427 - 0.00688652856278018im
-0.996629713048433 + 0.0im	-0.037872389100976456 - 0.007091566586144077im
-0.986762092127162 + 0.0im	-0.03829577240528026 - 0.007301342655281465im
