-2.0 + 0.0im	0.29605166731543214 - 0.0004269611557074191im
-1.98019801980198 + 0.0im	0.29519368046499844 - 0.00043978991380486067im
-1.96059209881384 + 0.0im	0.29515264489781057 - 0.00045686768729563985im
-1.94118029585529 + 0.0im	0.2950740257085162 - 0.00047429266047746836im
-1.92196068896563 + 0.0im	0.29497983322452237 - 0.0004921707107165094im
-1.9029313752135 + 0.0im	0.29487685908385763 - 0.0005105409487335046im
-1.88409047050841 + 0.0im	0.2947680110939281 - 0.0005294257266531524im
-1.86543610941427 + 0.0im	0.294654889097853 - 0.0005488419364795649im
-1.84696644496462 + 0.0im	0.2945384013868706 - 0.0005688034339108289im
-1.82867964847983 + 0.0im	0.2944190840129591 - 0.0005893227191105728im
-1.81057390938597 + 0.0im	0.29429736314724353 - 0.0006104118546170157im
-1.79264743503561 + 0.0im	0.29417350160569977 - 0.0006320822674199029im
-1.77489845053031 + 0.0im	0.29404769810831904 - 0.0006543451891427478im
-1.75732519854486 + 0.0im	0.2939200665278867 - 0.0006772114969676876im
-1.73992593915333 + 0.0im	0.2937907599261569 - 0.0007006924187553011im
-1.72269894965676 + 0.0im	0.2936598425051572 - 0.0007247987803532804im
-1.70564252441263 + 0.0im	0.29352740341960565 - 0.0007495416573264199im
-1.68875497466597 + 0.0im	0.2933934610923376 - 0.0007749317425242889im
-1.67203462838215 + 0.0im	0.2932580796941556 - 0.0008009801789839628im
-1.65547983008134 + 0.0im	0.2931213011379536 - 0.0008276980330742553im
-1.63908894067459 + 0.0im	0.2929831520204574 - 0.0008550963306223552im
-1.62286033730158 + 0.0im	0.2928436516227285 - 0.0008831862354978353im
-1.60679241316988 + 0.0im	0.29270280248720704 - 0.0009119787603536091im
-1.59088357739592 + 0.0im	0.29256065644305473 - 0.0009414855079934386im
-1.57513225484744 + 0.0im	0.2924171876541293 - 0.0009717175479431224im
-1.55953688598757 + 0.0im	0.2922724509455076 - 0.0010026867517824185im
-1.54409592672036 + 0.0im	0.29212643779127523 - 0.0010344045252280664im
-1.52880784823798 + 0.0im	0.2919791441874447 - 0.0010668824723037297im
-1.51367113686929 + 0.0im	0.29183056423839276 - 0.0011001323039053542im
-1.49868429392999 + 0.0im	0.29168074825520923 - 0.0011341664556948014im
-1.48384583557425 + 0.0im	0.291529676131508 - 0.0011689968006104575im
-1.46915429264777 + 0.0im	0.2913773558300428 - 0.0012046356765454897im
-1.45460821054235 + 0.0im	0.2912237827633977 - 0.0012410954439430152im
-1.44020614905183 + 0.0im	0.2910689632219032 - 0.0012783887678802194im
-1.42594668222953 + 0.0im	0.2909128970020342 - 0.0013165284680869635im
-1.41182839824706 + 0.0im	0.2907555892457452 - 0.0013555275932534878im
-1.39784989925452 + 0.0im	0.2905970486490633 - 0.0013953995007793122im
-1.3840098012421 + 0.0im	0.2904372547166323 - 0.0014361572763709107im
-1.37030673390307 + 0.0im	0.29027621559815947 - 0.0014778148770037219im
-1.35673934049808 + 0.0im	0.2901139384731652 - 0.0015203862486434837im
-1.34330627772088 + 0.0im	0.28995041728391896 - 0.0015638855416437822im
-1.33000621556522 + 0.0im	0.289785654579552 - 0.0016083272911854808im
-1.31683783719329 + 0.0im	0.2896196392370241 - 0.0016537261069627554im
-1.30379983880524 + 0.0im	0.2894523848247521 - 0.0017000972995759786im
-1.29089092951014 + 0.0im	0.28928388882239836 - 0.0017474562515453112im
-1.27810983119816 + 0.0im	0.2891141363945579 - 0.0017958184465733582im
-1.26545527841402 + 0.0im	0.28894313404202243 - 0.0018452000861773473im
-1.2529260182317 + 0.0im	0.28877089395640293 - 0.0018956178488087904im
-1.24052081013039 + 0.0im	0.2885973685703974 - 0.0019470876577065608im
-1.22823842587168 + 0.0im	0.28842262106485245 - 0.001999627923420752im
-1.2160776493779 + 0.0im	0.2882465900590911 - 0.002053255047865306im
-1.20403727661178 + 0.0im	0.288069305416763 - 0.0021079876439811787im
-1.19211611545721 + 0.0im	0.28789076696713783 - 0.0021638441302941004im
-1.1803129856012 + 0.0im	0.28771096523640327 - 0.0022208431968121804im
-1.16862671841703 + 0.0im	0.28752991656231014 - 0.0022790045267484043im
-1.15705615684854 + 0.0im	0.2873475711956036 - 0.002338346772593048im
-1.14560015529559 + 0.0im	0.2871639843079488 - 0.002398891441394895im
-1.13425757950058 + 0.0im	0.28697911579449714 - 0.002460658332162922im
-1.12302730643622 + 0.0im	0.2867929823586963 - 0.002523669048725094im
-1.11190822419427 + 0.0im	0.2866055983266136 - 0.002587945695059282im
-1.10089923187552 + 0.0im	0.28641693164308196 - 0.002653509662379728im
-1.08999923948071 + 0.0im	0.28622698145080677 - 0.0027203837096557277im
-1.07920716780269 + 0.0im	0.28603577584662465 - 0.0027885918116388178im
-1.06852194831949 + 0.0im	0.2858432852840089 - 0.0028581569715357695im
-1.0579425230886 + 0.0im	0.2856495607238378 - 0.00292910495678254im
