-2.0 + 0.0im	0.2978539512703166 - 0.00021470721858388723im
-1.98019801980198 + 0.0im	0.29737562119866345 - 0.00022371964985398425im
-1.96059209881384 + 0.0im	0.29730950184208843 - 0.00023336784080197335im
-1.94118029585529 + 0.0im	0.297223975370887 - 0.00024334685578223167im
-1.92196068896563 + 0.0im	0.2971301365763551 - 0.0002536735188390578im
-1.9029313752135 + 0.0im	0.2970313819508367 - 0.0002643594308643558im
-1.88409047050841 + 0.0im	0.2969291914972412 - 0.00027541496590722625im
-1.86543610941427 + 0.0im	0.2968243377474213 - 0.00028685018893244im
-1.84696644496462 + 0.0im	0.29671728121574825 - 0.0002986750519765003im
-1.82867964847983 + 0.0im	0.2966082868880222 - 0.00031089949926519446im
-1.81057390938597 + 0.0im	0.29649755310786774 - 0.0003235335782305905im
-1.79264743503561 + 0.0im	0.2963852063038022 - 0.00033658739709390686im
-1.77489845053031 + 0.0im	0.29627134443600256 - 0.00035007116811030614im
-1.75732519854486 + 0.0im	0.2961560279802673 - 0.0003639951868154996im
-1.73992593915333 + 0.0im	0.2960393172819013 - 0.00037836990547107126im
-1.72269894965676 + 0.0im	0.2959212393917482 - 0.00039320584845503484im
-1.70564252441263 + 0.0im	0.2958018291200225 - 0.00040851368401481863im
-1.68875497466597 + 0.0im	0.2956811082183639 - 0.00042430415470594605im
-1.67203462838215 + 0.0im	0.2955590955715978 - 0.00044058816031409967im
-1.65547983008134 + 0.0im	0.2954358000769211 - 0.00045737670880106575im
-1.63908894067459 + 0.0im	0.29531123489709443 - 0.0004746809193970114im
-1.62286033730158 + 0.0im	0.29518540889955835 - 0.0004925120279936831im
-1.60679241316988 + 0.0im	0.29505832232914836 - 0.0005108813777733222im
-1.59088357739592 + 0.0im	0.29492998576748075 - 0.0005298004821767264im
-1.57513225484744 + 0.0im	0.29480039335122327 - 0.0005492809055550936im
-1.55953688598757 + 0.0im	0.2946695570635289 - 0.0005693344182200097im
-1.54409592672036 + 0.0im	0.2945374732627067 - 0.0005899728549281876im
-1.52880784823798 + 0.0im	0.2944041385107164 - 0.0006112081819005891im
-1.51367113686929 + 0.0im	0.29426955625139434 - 0.0006330524921722756im
-1.49868429392999 + 0.0im	0.2941337211172166 - 0.0006555180801734656im
-1.48384583557425 + 0.0im	0.2939966407973176 - 0.0006786172936312457im
-1.46915429264777 + 0.0im	0.2938583143100384 - 0.0007023626525411334im
-1.45460821054235 + 0.0im	0.2937187263870362 - 0.000726766802593123im
-1.44020614905183 + 0.0im	0.2935778757433352 - 0.0007518425497561866im
-1.42594668222953 + 0.0im	0.29343577055216474 - 0.0007776028409925718im
-1.41182839824706 + 0.0im	0.29329240329416034 - 0.0008040607854790366im
-1.39784989925452 + 0.0im	0.2931477741040291 - 0.0008312296580063114im
-1.3840098012421 + 0.0im	0.2930018729889486 - 0.0008591228497998552im
-1.37030673390307 + 0.0im	0.2928546990254071 - 0.0008877539664486954im
-1.35673934049808 + 0.0im	0.2927062518781799 - 0.0009171367887000468im
-1.34330627772088 + 0.0im	0.2925565298504896 - 0.0009472852552437679im
-1.33000621556522 + 0.0im	0.29240552294546834 - 0.000978213507541948im
-1.31683783719329 + 0.0im	0.2922532293850253 - 0.001009935854356698im
-1.30379983880524 + 0.0im	0.29209964807108607 - 0.0010424668547246753im
-1.29089092951014 + 0.0im	0.29194477193472895 - 0.0010758212456455556im
-1.27810983119816 + 0.0im	0.2917886065276981 - 0.0011100139524338852im
-1.26545527841402 + 0.0im	0.2916311372712543 - 0.0011450601706899045im
-1.2529260182317 + 0.0im	0.2914723674673955 - 0.001180975345390835im
-1.24052081013039 + 0.0im	0.2913122851478683 - 0.0012177750177783412im
-1.22823842587168 + 0.0im	0.2911508985304394 - 0.0012554752519461966im
-1.2160776493779 + 0.0im	0.2909881928639712 - 0.0012940920596788087im
-1.20403727661178 + 0.0im	0.29082417061610044 - 0.001333641954810155im
-1.19211611545721 + 0.0im	0.2906588288604994 - 0.0013741416557129633im
-1.1803129856012 + 0.0im	0.2904921620891747 - 0.0014156081430860754im
-1.16862671841703 + 0.0im	0.29032416836288605 - 0.001458058773898637im
-1.15705615684854 + 0.0im	0.29015484189227714 - 0.001501511011599492im
-1.14560015529559 + 0.0im	0.2899841804330703 - 0.0015459829662237865im
-1.13425757950058 + 0.0im	0.28981218605821624 - 0.0015914927784388164im
-1.12302730643622 + 0.0im	0.2896388422899067 - 0.001638059114278682im
