w	A_d_u-A_d_u	A_d_d-A_d_u	A_d_u-A_d_d	A_d_d-A_d_d
-2.0 + 0.0im	-0.4608534269501496 - 0.001534089687320646im	0.058131006752629645 + 0.0009917169874666238im	0.058131006752629645 + 0.0009917169874666244im	-0.5189844365956654 - 0.0025258066752557344im
-1.9801980198019802 + 0.0im	-0.46795996417087193 - 0.0016208055739539032im	0.06104941140717206 + 0.0010504759505171424im	0.06104941140717206 + 0.0010504759505171426im	-0.5290093684065396 - 0.0026712815249442003im
-1.9605920988138417 + 0.0im	-0.47214702933577557 - 0.0017117398894136665im	0.06207587109745389 + 0.0011123011607447667im	0.06207587109745389 + 0.0011123011607447667im	-0.5342228910920669 - 0.0028240410506361778im
-1.9411802958552888 + 0.0im	-0.47650611121796926 - 0.0018070577979883893im	0.06320969213456458 + 0.001177328357756844im	0.06320969213456458 + 0.001177328357756844im	-0.5397158023641634 - 0.002984386156227465im
-1.9219606889656324 + 0.0im	-0.4809591238242211 - 0.0019069289085053992im	0.06440077599618149 + 0.0012456981011172853im	0.06440077599618149 + 0.0012456981011172855im	-0.5453598867451127 - 0.0031526270101092974im
-1.9029313752134975 + 0.0im	-0.4854825621691125 - 0.002011527313609152im	0.0656341320664972 + 0.0013175559006088284im	0.0656341320664972 + 0.001317555900608829im	-0.5511166934397869 - 0.0033290832147088696im
-1.8840904705084134 + 0.0im	-0.4900664357294044 - 0.0021210316277625986im	0.06690359018361128 + 0.0013930523500780062im	0.06690359018361128 + 0.0013930523500780062im	-0.5569700226336194 - 0.003514083978335663im
-1.8654361094142706 + 0.0im	-0.49470573168627446 - 0.002235625024144103im	0.0682061503797129 + 0.001472343265113442im	0.0682061503797129 + 0.0014723432651134413im	-0.5629118713140058 - 0.003707968289756667im
-1.8469664449646244 + 0.0im	-0.4993976924032367 - 0.00235549527063754im	0.06954027631157411 + 0.0015555898248283634im	0.06954027631157411 + 0.0015555898248283634im	-0.5689379655916816 - 0.00391108509596897im
-1.828679648479826 + 0.0im	-0.5041407485599927 - 0.0024808347651389356im	0.07090520392791554 + 0.001642958718039067im	0.07090520392791554 + 0.0016429587180390674im	-0.5750459523393515 - 0.004123793483684905im
-1.8105739093859663 + 0.0im	-0.5089339968739653 - 0.0026118405704298195im	0.07230059329372647 + 0.001734622294152704im	0.07230059329372647 + 0.0017346222941527036im	-0.5812345923662031 - 0.004346462865093154im
-1.79264743503561 + 0.0im	-0.513776936309172 - 0.002748714448894793im	0.07372638075659466 + 0.0018307587191002009im	0.07372638075659466 + 0.0018307587191002002im	-0.5875033077258938 - 0.004579473168509232im
-1.774898450530307 + 0.0im	-0.5186692951840532 - 0.0028916628973888296im	0.07518267217835171 + 0.0019315521366730316im	0.07518267217835167 + 0.0019315521366730316im	-0.5938519565034887 - 0.004823215034579602im
-1.7573251985448584 + 0.0im	-0.5236110207036541 - 0.0030408971825885544im	0.07666969914723651 + 0.002037192835646359im	0.07666969914723651 + 0.0020371928356463604im	-0.600280699619898 - 0.005078090018756036im
-1.739925939153325 + 0.0im	-0.5286021411709549 - 0.0031966333771906944im	0.0781877741465859 + 0.002147877423095308im	0.0781877741465859 + 0.002147877423095309im	-0.6067899142098854 - 0.005344510800810385im
-1.7226989496567575 + 0.0im	-0.5336428331691548 - 0.0033590923973505628im	0.07973728415233142 + 0.0022638090043358666im	0.07973728415233142 + 0.0022638090043358666im	-0.6133801116188626 - 0.005622901402213976im
-1.7056425244126312 + 0.0im	-0.5387333000640271 - 0.003528500041783191im	0.08131865084029868 + 0.0023851973699474875im	0.08131865084029873 + 0.0023851973699474884im	-0.6200519413730368 - 0.005913697412261259im
-1.6887549746659716 + 0.0im	-0.5438737715199068 - 0.003705087032979721im	0.08293234731620142 + 0.0025122591903600196im	0.08293234731620144 + 0.0025122591903600205im	-0.6268061157781913 - 0.006217346223873244im
-1.6720346283821501 + 0.0im	-0.5490645601041504 - 0.0038890890610219935im	0.08457889420629505 + 0.0026452182185140176im	0.08457889420629505 + 0.002645218218514019im	-0.6336434416523319 - 0.006534307280072323im
-1.6554798300813367 + 0.0im	-0.5543059855600782 - 0.004080746830508259im	0.08625879850333523 + 0.002784305501129909im	0.08625879850333526 + 0.0027843055011299083im	-0.6405647780961942 - 0.006865052332177176im
-1.6390889406745908 + 0.0im	-0.5595984053293734 - 0.0042803061111332365im	0.0879726369303833 + 0.002929759599148433im	0.0879726369303833 + 0.0029297595991484332im	-0.6475710317866202 - 0.007210065710823254im
