w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
-2.0 + 0.0im	-0.040859546325988996 - 0.0002777810753063058im	-0.014838934266413473 + 0.00015238013218924919im	-0.014838934266413473 + 0.00015238013218924924im	-0.026020610184387852 - 0.00043016120804661436im
-1.9801980198019802 + 0.0im	-0.04170531435263403 - 0.0002910925055548309im	-0.014667437761436525 + 0.00016024217745696785im	-0.01466743776143653 + 0.00016024217745696785im	-0.027037875249995912 - 0.00045133468356700954im
-1.9605920988138417 + 0.0im	-0.04201843328577977 - 0.00030494588678365534im	-0.014789943562966344 + 0.00016845479385404357im	-0.014789943562966344 + 0.00016845479385404352im	-0.027228488009488114 - 0.0004734006811968999im
-1.9411802958552888 + 0.0im	-0.042358031255377966 - 0.0003193580500236864im	-0.01489959366940402 + 0.00017703044405052812im	-0.014899593669404024 + 0.00017703044405052818im	-0.027458436218885312 - 0.000496388494637242im
-1.9219606889656324 + 0.0im	-0.04270980029546524 - 0.0003343460919653957im	-0.015004208341115368 + 0.00018598187554241786im	-0.015004208341115368 + 0.00018598187554241778im	-0.02770559119948244 - 0.0005203279680745002im
-1.9029313752134975 + 0.0im	-0.04306936760189098 - 0.00034992736779850626im	-0.015106168923831882 + 0.00019532212078859286im	-0.015106168923831882 + 0.00019532212078859286im	-0.027963196799710113 - 0.0005452494891572762im
-1.8840904705084134 + 0.0im	-0.04343483079633607 - 0.0003661194835853255im	-0.015206507501706653 + 0.00020506449717485443im	-0.015206507501706658 + 0.00020506449717485432im	-0.02822831982703624 - 0.0005711839813336762im
-1.8654361094142706 + 0.0im	-0.0438052015421047 - 0.00038294028818109646im	-0.015305763035833286 + 0.00021522260681650193im	-0.015305763035833286 + 0.00021522260681650202im	-0.028499436872396623 - 0.0005981628955742406im
-1.8469664449646244 + 0.0im	-0.04417990421363996 - 0.0004004078647170588im	-0.015404237627889405 + 0.00022581033621254474im	-0.015404237627889405 + 0.00022581033621254485im	-0.028775664750557074 - 0.0006262182015092166im
-1.828679648479826 + 0.0im	-0.04455857561703751 - 0.0004185405216642648im	-0.015502124887263801 + 0.00023684185576631215im	-0.015502124887263801 + 0.00023684185576631215im	-0.029056450812187946 - 0.0006553823780129851im
