-2.0 + 0.0im	0.18730448634765312 - 0.000226603261557482im	0.20681462617362795 + 5.767964299422853e-5im	0.20681462617304147 + 5.767964300665996e-5im	-0.019510138141869304 - 0.0002842829021921762im
-1.98019801980198 + 0.0im	0.1868354089426587 - 0.00023600994339376537im	0.20690348127026129 + 6.023877579021896e-5im	0.20690348153645388 + 6.023877606933601e-5im	-0.020068072040524375 - 0.0002962487170089268im
-1.96059209881384 + 0.0im	0.18680157147371185 - 0.0002463346689387829im	0.20688148057599834 + 6.347699681806928e-5im	0.20688148057650885 + 6.347699683245697e-5im	-0.020079908327457506 - 0.0003098116644601567im
-1.94118029585529 + 0.0im	0.18674766970963597 - 0.0002570060869626086im	0.20686423203742157 + 6.683189123248508e-5im	0.2068642323119657 + 6.683189154294668e-5im	-0.020116560745831992 - 0.000323837982360603im
-1.92196068896563 + 0.0im	0.1866853984478764 - 0.0002680478660726849im	0.20684880162914956 + 7.03212495971888e-5im	0.20684880163014344 + 7.032124961540917e-5im	-0.020163404348043246 - 0.00033836910832892497im
-1.9029313752135 + 0.0im	0.186618339790962 - 0.00027947389963869316im	0.20683429304690387 + 7.395336089054389e-5im	0.20683429304730178 + 7.395336090663773e-5im	-0.020215951910881696 - 0.00035342725699280943im
-1.88409047050841 + 0.0im	0.18654806644828018 - 0.0002912957769959694im	0.2068203133837319 + 7.77341845492522e-5im	0.20682031338408444 + 7.773418456334249e-5im	-0.02027224340300989 - 0.000369029964933244im
-1.86543610941427 + 0.0im	0.18647539313280106 - 0.0003035242800741238im	0.20680664976447072 + 8.16688540475186e-5im	0.20680664976509683 + 8.166885406575623e-5im	-0.020331256377784223 - 0.00038519312929387653im
-1.84696644496462 + 0.0im	0.18640080094885492 - 0.00031616984724955967im	0.2067931861614297 + 8.57620890247938e-5im	0.20679318616207248 + 8.576208904389495e-5im	-0.020392384372419893 - 0.0004019319294489517im
-1.82867964847983 + 0.0im	0.18632459779736155 - 0.00032924279262426265im	0.2067798407674457 + 9.001841599973485e-5im	0.2067798410649983 + 9.001841642852193e-5im	-0.020455243819759206 - 0.0004192612032852743im
-1.81057390938597 + 0.0im	0.1862469777143499 - 0.0003427533756880239im	0.20676655987315137 + 9.444225432251791e-5im	0.20676656016594788 + 9.444225475921383e-5im	-0.020519580944685433 - 0.0004371956289599616im
-1.79264743503561 + 0.0im	0.18616808975583232 - 0.00035671183602159495im	0.20675330209890747 + 9.903790791852726e-5im	0.2067533020996125 + 9.903790793757729e-5im	-0.020585211594406724 - 0.00045574974284889305im
-1.77489845053031 + 0.0im	0.18608803909434007 - 0.0003711284244490153im	0.20674003937302354 + 0.00010380960625997821im	0.20674003937407934 + 0.00010380960627997591im	-0.020652000340484603 - 0.00047493803032150437im
-1.75732519854486 + 0.0im	0.186006902791087 - 0.00038601339401252784im	0.20672674922104153 + 0.00010876151186460726im	0.2067267492218831 + 0.00010876151188140274im	-0.020719844714781367 - 0.000494774917216763im
-1.73992593915333 + 0.0im	0.18592474240536727 - 0.000401377031982971im	0.20671341012123792 + 0.00011389772975316194im	0.20671341043046998 + 0.00011389773028459588im	-0.020788666215328364 - 0.0005152747651106505im
-1.72269894965676 + 0.0im	0.1858416017862733 - 0.0004172296058694104im	0.20670000332021743 + 0.00011922228424986379im	0.20670000381436282 + 0.00011922228512033066im	-0.02085840266689201 - 0.0005364518907912106im
