w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-2.0 + 0.0im	-0.04751725062630735 - 0.00010459503152488124im	5.539251790680178e-6 + 4.15112704824616e-6im	-5.539213669752004e-6 - 4.151217071621355e-6im	0.053738749319753046 + 0.00018685151338705339im
-1.9801980198019802 + 0.0im	-0.048159222475675396 - 0.0001111592272585039im	1.3159583956901357e-5 + 4.412955477916181e-6im	-1.3159704080903115e-5 - 4.4130506459159405e-6im	0.05465550196204154 + 0.00019862872155383747im
-1.9605920988138417 + 0.0im	-0.048603292384955546 - 0.0001180726213365467im	1.2764922571211888e-5 + 4.688952816059494e-6im	-1.2765027024929333e-5 - 4.689053366434247e-6im	0.05521804199701184 + 0.00021103919280871842im
-1.9411802958552888 + 0.0im	-0.049060389605792634 - 0.0001253494465594693im	1.2726145556985132e-5 + 4.979729505685641e-6im	-1.2726241821532059e-5 - 4.979835683547387e-6im	0.05580324301210781 + 0.00022410955125629116im
-1.9219606889656324 + 0.0im	-0.04952523477735877 - 0.00013300423961773913im	1.2832229344661057e-5 + 5.2859131147102045e-6im	-1.2832320291337201e-5 - 5.286025172541849e-6im	0.056401692547909256 + 0.00023786708475214858im
-1.9029313752134975 + 0.0im	-0.049996234367940644 - 0.0001410518306392269im	1.301903384806068e-5 + 5.608148364279538e-6im	-1.3019120935821953e-5 - 5.608266561929534e-6im	0.05701058015867863 + 0.00025233973616675903im
-1.8840904705084134 + 0.0im	-0.050472725505023054 - 0.00014950733155089856im	1.3258762545723809e-5 + 5.947097139647042e-6im	-1.3258846614314585e-5 - 5.947221744308577e-6im	0.057628751695672574 + 0.00026755609317437534im
-1.8654361094142706 + 0.0im	-0.05095436463242585 - 0.00015838612323909864im	1.3536980985409618e-5 + 6.303438484256609e-6im	-1.3537062545790498e-5 - 6.303569770430623e-6im	0.05825563138525443 + 0.00028354537656735847im
-1.8469664449646244 + 0.0im	-0.051440978501142466 - 0.00016770384149719214im	1.3845287263110596e-5 + 6.67786857786894e-6im	-1.3845366629616759e-5 - 6.678006827310341e-6im	0.0588909393729871 + 0.00030033742710456376im
-1.828679648479826 + 0.0im	-0.05193245803274979 - 0.00017747636175412563im	1.4178369473251367e-5 + 7.071100699753736e-6im	-1.4178446831591966e-5 - 7.07124620140006e-6im	0.05953452275552522 + 0.0003179626909112029im
-1.8105739093859663 + 0.0im	-0.05242875034510853 - 0.00018771978258256752im	1.4532700840966859e-5 + 7.483865178165415e-6im	-1.4532776286394391e-5 - 7.484018228047423e-6im	0.06018631421906948 + 0.00033645220345682387im
-1.79264743503561 + 0.0im	-0.05292981738371743 - 0.00019845040799068613im	1.4905803323271077e-5 + 7.916909327521088e-6im	-1.4905876883012286e-5 - 7.917070228654578e-6im	0.06084629153038941 + 0.00035583757214773795im
-1.774898450530307 + 0.0im	-0.0534356445166801 - 0.00020968472850731493im	1.529588550099275e-5 + 8.37099737490585e-6im	-1.5295957149361378e-5 - 8.371166437164091e-6im	0.061514469252892334 + 0.0003761509575803112im
-1.7573251985448584 + 0.0im	-0.05394622565188153 - 0.00022143940107620586im	1.570156085366702e-5 + 8.846910377742099e-6im	-1.5701630520655636e-5 - 8.847087917708466e-6im	0.062190880440167406 + 0.00039742505351203966im
-1.739925939153325 + 0.0im	-0.05446156464085983 - 0.00023373122778127885im	1.6121805333903314e-5 + 9.345446134673966e-6im	-1.612187291167453e-5 - 9.345632475474076e-6im	0.0628755703439396 + 0.00041969306561812807im
-1.7226989496567575 + 0.0im	-0.05498167355220871 - 0.0002465771334312145im	1.6555786648758096e-5 + 9.867419091935369e-6im	-1.6555852001996555e-5 - 9.867614563048365e-6im	0.06356860363886488 + 0.0004429886891124525im
-1.7056425244126312 + 0.0im	-0.05550656499979301 - 0.00025999414203837785im	1.700279446392793e-5 + 1.0413660247688762e-5im	-1.7002857421634775e-5 - 1.04138651847373e-5im	0.0642700478152126 + 0.0004673460853231667im
