w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-2.0 + 0.0im	-0.4751725062645805 - 0.0010459503156217903im	5.539251775028848e-5 + 4.1511270497565566e-5im	5.5392136966144875e-5 + 4.151217083176234e-5im	-0.5373874931990824 - 0.0018685151341280145im
-1.9801980198019802 + 0.0im	-0.481592224758923 - 0.001111592272968478im	0.00013159583943768636 + 4.4129554795128855e-5im	0.00013159704128209304 + 4.4130506579012976e-5im	-0.5465550196224317 - 0.001986287215803677im
-1.9605920988138417 + 0.0im	-0.48603292385166974 - 0.0011807262137596094im	0.00012764922557675768 + 4.688952817744174e-5im	0.00012765027070447602 + 4.689053378860984e-5im	-0.5521804199721048 - 0.002110391928360551im
-1.9411802958552888 + 0.0im	-0.49060389606001864 - 0.0012534944659997908im	0.00012726145543167007 + 4.979729507459869e-5im	0.0001272624186625798 + 4.979835696426491e-5im	-0.5580324301230567 - 0.00224109551284459im
-1.9219606889656324 + 0.0im	-0.4952523477756718 - 0.0013300423965937063im	0.00012832229330605929 + 5.285913116575432e-5im	0.000128323203356653 + 5.286025185884391e-5im	-0.5640169254810733 - 0.0023786708478117395im
-1.9029313752134975 + 0.0im	-0.499962343681489 - 0.0014105183068200671im	0.0001301903383378977 + 5.608148366237093e-5im	0.00013019120979960994 + 5.6082665757466737e-5im	-0.5701058015887737 - 0.00252339736196669im
-1.8840904705084134 + 0.0im	-0.5047272550523161 - 0.0014950733159485433im	0.00013258762531247054 + 5.94709714169811e-5im	0.00013258846658391885 + 5.947221758611541e-5im	-0.5762875169587237 - 0.0026755609320519786im
-1.8654361094142706 + 0.0im	-0.5095436463263502 - 0.0015838612328425868im	0.00013536980970733242 + 6.303438486402244e-5im	0.00013537062589891722 + 6.303569785230716e-5im	-0.5825563138545545 - 0.0028354537659912317im
-1.8469664449646244 + 0.0im	-0.5144097850135247 - 0.0016770384154358546im	0.000138452872482361 + 6.677868580110036e-5im	0.00013845366673801443 + 6.678006842618913e-5im	-0.5889093937318951 - 0.0030033742713730122im
-1.828679648479826 + 0.0im	-0.5193245803296084 - 0.0017747636180178272im	0.00014178369458179443 + 7.071100702091019e-5im	0.0001417844687590346 + 7.071246217228556e-5im	-0.5953452275572917 - 0.003179626909449441im
-1.8105739093859663 + 0.0im	-0.5242875034532073 - 0.0018771978263151907im	0.00014532700825696017 + 7.483865180599453e-5im	0.000145327763308656 + 7.484018244407326e-5im	-0.6018631421927509 - 0.003364522034916026im
-1.79264743503561 + 0.0im	-0.529298173839309 - 0.001984504080409643im	0.00014905803307798825 + 7.916909330052257e-5im	0.00014905876927668704 + 7.917070245557404e-5im	-0.6084629153059682 - 0.003558375721835871im
-1.774898450530307 + 0.0im	-0.5343564451689494 - 0.0020968472855895297im	0.00015295885485316611 + 8.370997377534337e-5im	0.0001529595719422222 + 8.371166454621414e-5im	-0.6151446925310153 - 0.003761509576172675im
-1.7573251985448584 + 0.0im	-0.539462256520978 - 0.0022143940112923748im	0.0001570156083778304 + 8.846910380467899e-5im	0.00015701630565735357 + 8.847087935731893e-5im	-0.6219088044037852 - 0.00397425053550139im
-1.739925939153325 + 0.0im	-0.5446156464107763 - 0.002337312278357393im	0.00016121805317807176 + 9.345446137496864e-5im	0.00016121872956985201 + 9.345632494075244e-5im	-0.6287557034415263 - 0.004196930656574087im
-1.7226989496567575 + 0.0im	-0.5498167355242806 - 0.0024657713348714im	0.00016555786632445378 + 9.867419094854946e-5im	0.0001655585204754683 + 9.867614582238947e-5im	-0.6356860363907998 - 0.004429886891529548im
-1.7056425244126312 + 0.0im	-0.5550656500001401 - 0.0025999414209580524im	0.00017002794447393748 + 0.00010413660250704355im	0.0001700285746743162 + 0.00010413865204528953im	-0.6427004781542972 - 0.004673460853649304im
-1.6887549746659716 + 0.0im	-0.5603624838789535 - 0.0027399935229284445im	0.00017462272315481474 + 0.00010985017060151023im	0.00017462332743752035 + 0.0001098523182196318im	-0.6497997315361558 - 0.004927998573678604im
-1.6720346283821501 + 0.0im	-0.5657074370425497 - 0.0028860991172808765im	0.0001793373026540678 + 0.00011582353343858645im	0.00017933787878975622 + 0.00011582578260863423im	-0.6569846081776377 - 0.0051938502478483676im
-1.6554798300813367 + 0.0im	-0.5711006873199336 - 0.003038429905108375im	0.00018416728633462778 + 0.00012206549203398904im	0.00018416783184278956 + 0.00012206784628183307im	-0.6642559415385643 - 0.005471369978852407im
-1.6390889406745908 + 0.0im	-0.5765424344774296 - 0.0031971575375442647im	0.00018910875487298463 + 0.00012858500946684936im	0.0001891092669449828 + 0.00012858747236919044im	-0.6716146001297845 - 0.0057609155111530645im
-1.622860337301575 + 0.0im	-0.5820328833065596 - 0.0033624533329481947im	0.0001941583313879887 + 0.0001353912102703914im	0.00019415880721296882 + 0.00013539378545154385im	-0.6790614782105572 - 0.0060628479621063535im
-1.6067924131698763 + 0.0im	-0.5875722256785876 - 0.003534487986607138im	0.00019931237159420708 + 0.0001424933799964315im	0.00019931280788230738 + 0.00014249607112487738im	-0.6865975065431891 - 0.006377531550515083im
-1.5908835773959171 + 0.0im	-0.5931606685524106 - 0.003713431273797522im	0.0002045678829650265 + 0.00014990096499305593im	0.00020456827618382605 + 0.00014990377577776742im	-0.6942236364105134 - 0.006705333324333457im
-1.5751322548474427 + 0.0im	-0.5987984204529699 - 0.003899451747125887im	0.00020992176911853873 + 0.00015762357243659074im	0.0002099221156556821 + 0.0001576265066231227im	-0.7019408209287836 - 0.007046622889359576im
-1.559536885987567 + 0.0im	-0.6044857344364923 - 0.004092716429134586im	0.00021537236052362256 + 0.00016567097066063166im	0.00021537265654356745 + 0.00016567403202698172im	-0.7097501083755484 - 0.007401772140861224im
