w	self_d-self_d	selfc_d-self_d	self_d-selfc_d	selfc_d-selfc_d
-2.0 + 0.0im	-0.004751725062494852 - 1.04595031402599e-5im	-5.539251931112488e-7 - 4.151127040141819e-7im	-5.53921351199303e-7 - 4.1512170944358097e-7im	-0.005373874931835585 - 1.8685151313860057e-5im
-1.9801980198019802 + 0.0im	-0.004815922247408588 - 1.1115922713098473e-5im	-1.3159584085632166e-6 - 4.412955470018445e-7im	-1.3159703960076268e-6 - 4.4130506691426626e-7im	-0.005465550196019454 - 1.9862872129588888e-5im
-1.9605920988138417 + 0.0im	-0.004860329238337055 - 1.1807262120354643e-5im	-1.2764922703669873e-6 - 4.688952808394556e-7im	-1.2765026897253767e-6 - 4.689053390065172e-7im	-0.005521804199519288 - 2.1103919254095164e-5im
-1.9411802958552888 + 0.0im	-0.0049060389604201355 - 1.2534944642073327e-5im	-1.2726145692434916e-6 - 4.979729498280712e-7im	-1.272624168897783e-6 - 4.979835707573358e-7im	-0.005580324301029524 - 2.2410955097837404e-5im
-1.9219606889656324 + 0.0im	-0.004952523477575683 - 1.330042394730015e-5im	-1.2832229482814005e-6 - 5.285913107593482e-7im	-1.2832320154664033e-6 - 5.28602519695259e-7im	-0.005640169254609442 - 2.3786708446374087e-5im
-1.9029313752134975 + 0.0im	-0.004999623436632555 - 1.4105183048820938e-5im	-1.301903398876891e-6 - 5.608148357480195e-7im	-1.3019120795413526e-6 - 5.608266586713595e-7im	-0.0057010580156856856 - 2.5233973586751e-5im
-1.8840904705084134 + 0.0im	-0.005047272550339311 - 1.4950733139331166e-5im	-1.3258762688901412e-6 - 5.947097133195241e-7im	-1.32588464703886e-6 - 5.947221769453281e-7im	-0.0057628751693840925 - 2.6755609286392542e-5im
-1.8654361094142706 + 0.0im	-0.005095436463077993 - 1.5838612307463992e-5im	-1.3536981131004806e-6 - 6.303438478183481e-7im	-1.353706239847652e-6 - 6.30356979592201e-7im	-0.005825563138341075 - 2.835453762453371e-5im
-1.8469664449646244 + 0.0im	-0.005144097849947968 - 1.6770384132554653e-5im	-1.3845287411090263e-6 - 6.677868572206575e-7im	-1.384536647899187e-6 - 6.678006853133101e-7im	-0.005889093937112997 - 3.003374267705914e-5im
-1.828679648479826 + 0.0im	-0.005193245803106932 - 1.7747636157496538e-5im	-1.4178369623595505e-6 - 7.071100694535153e-7im	-1.417844667769896e-6 - 7.071246227537528e-7im	-0.005953452275365346 - 3.179626905648897e-5im
-1.8105739093859663 + 0.0im	-0.005242875034340976 - 1.877197823955511e-5im	-1.4532700993663074e-6 - 7.483865173424581e-7im	-1.4532776129252598e-6 - 7.484018254481491e-7im	-0.006018631421718218 - 3.364522030977704e-5im
-1.79264743503561 + 0.0im	-0.0052929817381999825 - 1.984504077954587e-5im	-1.490580347831296e-6 - 7.916909323292853e-7im	-1.4905876722625636e-6 - 7.917070255365605e-7im	-0.006084629152848582 - 3.55837571775533e-5im
-1.774898450530307 + 0.0im	-0.0053435644514943145 - 2.09684728303508e-5im	-1.5295885658377896e-6 - 8.37099737122595e-7im	-1.5295956985720657e-6 - 8.371166464130923e-7im	-0.006151446925097179 - 3.7615095719453554e-5im
