-2.0 + 0.0im	0.09999999999968263 - 7.778764002201317e-14im	3.290242562995274e-14 - 3.2203955485383268e-15im	4.9982516362552173e-14 + 2.1295538235924748e-14im	-0.09999999999971104 + 4.691060407873328e-14im
-1.98019801980198 + 0.0im	0.0999999999995494 - 7.856506930944422e-14im	2.7299932876378302e-14 - 3.3318278149473135e-15im	8.647778470421454e-14 + 2.1559248391525218e-14im	-0.09999999999963091 + 4.720053311392564e-14im
-1.96059209881384 + 0.0im	0.09999999999956483 - 8.002288929426496e-14im	2.7873330135956206e-14 - 3.4865993691355138e-15im	8.237262597281941e-14 + 2.2134480324466875e-14im	-0.09999999999964007 + 4.813240324087778e-14im
-1.94118029585529 + 0.0im	0.09999999999957335 - 8.146702928587878e-14im	2.818506875373189e-14 - 3.639753090394458e-15im	8.009869487514767e-14 + 2.2701058968819382e-14im	-0.09999999999964516 + 4.90533635826421e-14im
-1.92196068896563 + 0.0im	0.099999999999579 - 8.291602383507155e-14im	2.8396904917576613e-14 - 3.792088577826355e-15im	7.855186024753082e-14 + 2.3266572045724243e-14im	-0.0999999999996486 + 4.998130743891411e-14im
-1.9029313752135 + 0.0im	0.0999999999995832 - 8.437537772459505e-14im	2.8559609782348797e-14 - 3.943663429671618e-15im	7.738949726280447e-14 + 2.3833182877328746e-14im	-0.09999999999965116 + 5.092136818256029e-14im
-1.88409047050841 + 0.0im	0.09999999999958652 - 8.584793785203735e-14im	2.869672747585032e-14 - 4.09429129868185e-15im	7.646023435703073e-14 + 2.4401623300099318e-14im	-0.09999999999965306 + 5.187561415967718e-14im
-1.86543610941427 + 0.0im	0.09999999999958925 - 8.733558392330192e-14im	2.8816345468661575e-14 - 4.243792613872234e-15im	7.568680518476104e-14 + 2.4972177917106236e-14im	-0.09999999999965468 + 5.284721605364155e-14im
-1.84696644496462 + 0.0im	0.09999999999959146 - 8.883905932891398e-14im	2.8928485854614466e-14 - 4.3918963246996484e-15im	7.50207154156992e-14 + 2.5544855198678974e-14im	-0.09999999999965599 + 5.383729127048285e-14im
-1.82867964847983 + 0.0im	0.09999999999959332 - 9.036007442939893e-14im	2.903414474445497e-14 - 4.5382737823805586e-15im	7.443172936176003e-14 + 2.6119614487236063e-14im	-0.09999999999965714 + 5.484564905325284e-14im
-1.81057390938597 + 0.0im	0.09999999999959493 - 9.189947694839984e-14im	2.913824848180431e-14 - 4.682694593953311e-15im	7.39005719411958e-14 + 2.6696282988056264e-14im	-0.09999999999965807 + 5.587568321068108e-14im
-1.79264743503561 + 0.0im	0.09999999999959636 - 9.345837126550588e-14im	2.924242336992122e-14 - 4.824794535250587e-15im	7.341320612400462e-14 + 2.7274664189495812e-14im	-0.09999999999965879 + 5.692448522105106e-14im
-1.77489845053031 + 0.0im	0.09999999999959756 - 9.503731947310432e-14im	2.934664569188318e-14 - 4.9643110260587375e-15im	7.295891186120604e-14 + 2.7854544639252e-14im	-0.09999999999965954 + 5.799765759850394e-14im
-1.75732519854486 + 0.0im	0.09999999999959872 - 9.663718250904853e-14im	2.9453703880152546e-14 - 5.100886618474021e-15im	7.252865639345053e-14 + 2.8435693944363176e-14im	-0.09999999999966017 + 5.909253704646042e-14im
-1.73992593915333 + 0.0im	0.09999999999959967 - 9.825888619854782e-14im	2.9563814775163816e-14 - 5.234240097557949e-15im	7.211815034589321e-14 + 2.90178461364839e-14im	-0.09999999999966076 + 6.021189235515204e-14im
-1.72269894965676 + 0.0im	0.09999999999960064 - 9.990359905002272e-14im	2.967740189339062e-14 - 5.364019097604464e-15im	7.172156613185696e-14 + 2.960079623364094e-14im	-0.09999999999966121 + 6.13558073626426e-14im
-1.70564252441263 + 0.0im	0.0999999999996014 - 1.0157083753835487e-13im	2.979495990207415e-14 - 5.489918686752554e-15im	7.13358103870184e-14 + 3.018416137694213e-14im	-0.09999999999966172 + 6.252472005114028e-14im
-1.68875497466597 + 0.0im	0.09999999999960209 - 1.0326332095694231e-13im	2.9916112718585824e-14 - 5.6115627823736386e-15im	7.095728152728582e-14 + 3.0767770465732133e-14im	-0.09999999999966211 + 6.371923521044123e-14im
-1.67203462838215 + 0.0im	0.09999999999960274 - 1.049798279703019e-13im	3.004181240795836e-14 - 5.728673557661018e-15im	7.058362480106585e-14 + 3.1351308403754566e-14im	-0.09999999999966241 + 6.494143832665145e-14im
