-2.0 + 0.0im	0.10000000000012081 + 8.498449272325952e-15im	-1.2480867212191532e-14 + 6.593919089709825e-16im	1.3092443528954858e-14 - 3.436928668894252e-15im	-0.0999999999998758 + 2.2270491792939287e-14im
-1.98019801980198 + 0.0im	0.10000000000013726 + 8.917528987375384e-15im	-1.156261573473209e-14 + 6.301000802868303e-16im	7.354896983533996e-15 - 3.5212031531901345e-15im	-0.09999999999983547 + 2.314185830270231e-14im
-1.96059209881384 + 0.0im	0.10000000000013737 + 9.358601065867327e-15im	-1.1895020050596648e-14 + 5.980225719973955e-16im	8.21859297468492e-15 - 3.605761022946433e-15im	-0.09999999999983797 + 2.4043026819681526e-14im
-1.94118029585529 + 0.0im	0.10000000000013821 + 9.82263112536165e-15im	-1.2166023159872977e-14 + 5.630668457531907e-16im	8.7857196493543e-15 - 3.690502116517134e-15im	-0.09999999999983854 + 2.4974949408909652e-14im
-1.92196068896563 + 0.0im	0.10000000000013935 + 1.0310618664736114e-14im	-1.2412671954333378e-14 + 5.251462394957997e-16im	9.237429191114336e-15 - 3.775322513547522e-15im	-0.09999999999983833 + 2.5938256262899445e-14im
-1.9029313752135 + 0.0im	0.10000000000014068 + 1.082376647077582e-14im	-1.2646649771177565e-14 + 4.841751499579908e-16im	9.62988369601625e-15 - 3.860114111457703e-15im	-0.0999999999998377 + 2.693392993986972e-14im
-1.88409047050841 + 0.0im	0.10000000000014214 + 1.1363113005874101e-14im	-1.2873037537539643e-14 + 4.400692973615121e-16im	9.987847866338917e-15 - 3.944760231459194e-15im	-0.09999999999983682 + 2.7962753098263737e-14im
-1.86543610941427 + 0.0im	0.10000000000014368 + 1.1929869527145531e-14im	-1.3094869537194913e-14 + 3.927450372028223e-16im	1.0324286176614773e-14 - 4.0291407007526014e-15im	-0.09999999999983575 + 2.902570152003674e-14im
-1.84696644496462 + 0.0im	0.10000000000014528 + 1.2525221880716267e-14im	-1.3313523892748559e-14 + 3.4212179547281384e-16im	1.0647057398528443e-14 - 4.11312634681347e-15im	-0.09999999999983454 + 3.01235205941823e-14im
-1.82867964847983 + 0.0im	0.10000000000014696 + 1.3150328807658151e-14im	-1.35302673419732e-14 + 2.881254567886019e-16im	1.0961221071632116e-14 - 4.196589055908528e-15im	-0.09999999999983322 + 3.1257236924632503e-14im
-1.81057390938597 + 0.0im	0.10000000000014865 + 1.3806487962446379e-14im	-1.3745611492768975e-14 + 2.3067438834989493e-16im	1.127015918672594e-14 - 4.279388855843241e-15im	-0.09999999999983183 + 3.2427497644559045e-14im
