w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-2.0 + 0.0im	0.02011055883680869 + 0.0008642596765288316im	0.0014653161535919822 - 3.621078888506498e-5im	0.001465316153592031 - 3.621078888506367e-5im	0.020110558836808793 + 0.000864259676528836im
-1.9801980198019802 + 0.0im	0.022080125730095962 + 0.000915512961521787im	0.0014139393202770567 - 3.83466757512854e-5im	0.0014139393202771083 - 3.834667575128406e-5im	0.022080125730096073 + 0.0009155129615217918im
-1.9605920988138417 + 0.0im	0.022390356062442433 + 0.0009694840245509397im	0.001432563597913804 - 4.0597629799531365e-5im	0.0014325635979138553 - 4.059762979952995e-5im	0.02239035606244255 + 0.0009694840245509448im
-1.9411802958552888 + 0.0im	0.02278343253156206 + 0.0010262967555699199im	0.001448206905551676 - 4.296925128551399e-5im	0.0014482069055517274 - 4.2969251285512494e-5im	0.022783432531562186 + 0.001026296755569925im
-1.9219606889656324 + 0.0im	0.023215463500847484 + 0.0010860796509759678im	0.0014627179206850804 - 4.546738458109466e-5im	0.0014627179206851337 - 4.5467384581093144e-5im	0.02321546350084762 + 0.0010860796509759745im
-1.9029313752134975 + 0.0im	0.023673229968425847 + 0.0011489659514563396im	0.0014766599424002865 - 4.809812755545892e-5im	0.0014766599424003402 - 4.8098127555457305e-5im	0.023673229968425975 + 0.0011489659514563465im
-1.8840904705084134 + 0.0im	0.02415111954311646 + 0.0012150937848153652im	0.0014902778346093603 - 5.086784123473116e-5im	0.001490277834609414 - 5.086784123472942e-5im	0.024151119543116578 + 0.001215093784815372im
-1.8654361094142706 + 0.0im	0.024646318268362336 + 0.0012846063141685514im	0.0015036991131928818 - 5.3783159738394546e-5im	0.0015036991131929364 - 5.378315973839277e-5im	0.024646318268362465 + 0.0012846063141685581im
-1.8469664449646244 + 0.0im	0.025157284403941483 + 0.0013576518919165617im	0.0015169983357745528 - 5.68510004893964e-5im	0.0015169983357746079 - 5.685100048939452e-5im	0.025157284403941615 + 0.0013576518919165685im
-1.828679648479826 + 0.0im	0.025683131221895892 + 0.0014343842199383717im	0.0015302228703961403 - 6.007857469317313e-5im	0.0015302228703961964 - 6.007857469317131e-5im	0.025683131221896024 + 0.0014343842199383793im
-1.8105739093859663 + 0.0im	0.026223352326532858 + 0.0015149625164693657im	0.0015434043270437954 - 6.347339807900317e-5im	0.0015434043270438516 - 6.347339807900118e-5im	0.02622335232653299 + 0.0015149625164693728im
-1.79264743503561 + 0.0im	0.026777667686993217 + 0.001599551690156433im	0.0015565651819500312 - 6.704330189508674e-5im	0.001556565181950088 - 6.704330189508463e-5im	0.026777667686993366 + 0.0015995516901564412im
-1.774898450530307 + 0.0im	0.027345946017015146 + 0.0016883225218080223im	0.0015697215986861938 - 7.079644414654686e-5im	0.0015697215986862512 - 7.079644414654465e-5im	0.0273459460170153 + 0.0016883225218080303im
-1.7573251985448584 + 0.0im	0.027928158639401606 + 0.0017814518543823386im	0.0015828866668136004 - 7.474132106313737e-5im	0.0015828866668136583 - 7.47413210631351e-5im	0.02792815863940175 + 0.001781451854382348im
-1.739925939153325 + 0.0im	0.02852434672329584 + 0.0018791227917814178im	0.0015960702038928843 - 7.88867787808144e-5im	0.0015960702038929438 - 7.888677878081198e-5im	0.028524346723295988 + 0.0018791227917814273im
-1.7226989496567575 + 0.0im	0.02913460341138943 + 0.0019815249070421095im	0.0016092795722047284 - 8.324202521850083e-5im	0.001609279572204788 - 8.324202521849834e-5im	0.029134603411389584 + 0.0019815249070421186im
-1.7056425244126312 + 0.0im	0.02975906552573284 + 0.0020888544605371672im	0.00162252208590865 - 8.78166421282807e-5im	0.0016225220859087102 - 8.781664212827807e-5im	0.029759065525732993 + 0.0020888544605371755im
-1.6887549746659716 + 0.0im	0.030397887492524794 + 0.0022013146288201463im	0.0016358032157894875 - 9.26205972939741e-5im	0.0016358032157895496 - 9.26205972939714e-5im	0.030397887492524957 + 0.0022013146288201563im
-1.6720346283821501 + 0.0im	0.031051263972647 + 0.002319115744766539im	0.00164912844949211 - 9.766425684947728e-5im	0.0016491284494921713 - 9.766425684947452e-5im	0.03105126397264716 + 0.002319115744766552im
-1.6554798300813367 + 0.0im	0.03171940146774175 + 0.002442475549680128im	0.0016625023154230895 - 0.00010295839768446821im	0.001662502315423152 - 0.00010295839768446527im	0.03171940146774191 + 0.002442475549680138im
