w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-2.0 + 0.0im	-0.5184156107302123 - 0.002783845030753529im	-0.0007517144810111681 + 9.411506275042866e-5im	-0.0007517144810111732 + 9.411506275042815e-5im	-0.5184156107302123 - 0.0027838450307535313im
-1.9801980198019802 + 0.0im	-0.5289713946840082 - 0.002959969870337887im	-0.0005969018025692646 + 0.00010013375452567214im	-0.0005969018025692709 + 0.00010013375452567166im	-0.528971394684008 - 0.0029599698703378884im
-1.9605920988138417 + 0.0im	-0.5342159687762031 - 0.003145905837580928im	-0.000624183167184549 + 0.00010649991164323308im	-0.000624183167184555 + 0.00010649991164323255im	-0.5342159687762028 - 0.00314590583758093im
-1.9411802958552888 + 0.0im	-0.5397640426865228 - 0.0033421137478664258im	-0.0006437633020138329 + 0.00011323122746660987im	-0.0006437633020138385 + 0.00011323122746660932im	-0.5397640426865224 - 0.003342113747866426im
-1.9219606889656324 + 0.0im	-0.5454750833247873 - 0.0035490714617991874im	-0.0006604317754500989 + 0.0001203461635074768im	-0.0006604317754501056 + 0.00012034616350747621im	-0.545475083324787 - 0.003549071461799188im
-1.9029313752134975 + 0.0im	-0.551307065472925 - 0.003767274348248375im	-0.0006756489507576436 + 0.00012786397604792866im	-0.0006756489507576489 + 0.00012786397604792795im	-0.5513070654729247 - 0.0037672743482483773im
-1.8840904705084134 + 0.0im	-0.5572423910516336 - 0.0039972357616711im	-0.0006900510417747375 + 0.0001358047433170208im	-0.0006900510417747425 + 0.00013580474331702013im	-0.5572423910516336 - 0.003997235761671103im
-1.8654361094142706 + 0.0im	-0.5632723913277095 - 0.004239487535095493im	-0.0007039737110605832 + 0.00014418939320029827im	-0.0007039737110605889 + 0.00014418939320029751im	-0.5632723913277098 - 0.004239487535095495im
-1.8469664449646244 + 0.0im	-0.5693924999827127 - 0.00449458049026197im	-0.0007176149252938782 + 0.00015303973145617706im	-0.0007176149252938832 + 0.0001530397314561763im	-0.5693924999827127 - 0.004494580490261973im
-1.828679648479826 + 0.0im	-0.5756002388115522 - 0.004763084966543454im	-0.0007311026176473 + 0.00016237847040769115im	-0.000731102617647305 + 0.0001623784704076903im	-0.5756002388115519 - 0.004763084966543453im
-1.8105739093859663 + 0.0im	-0.5818943495233863 - 0.005045591370389587im	-0.0007445258913506776 + 0.00017222925807222004im	-0.0007445258913506836 + 0.00017222925807221907im	-0.5818943495233863 - 0.005045591370389588im
-1.79264743503561 + 0.0im	-0.5882742971913579 - 0.005342710747165731im	-0.0007579497186210811 + 0.00018261670768534248im	-0.0007579497186210867 + 0.00018261670768534156im	-0.5882742971913579 - 0.00534271074716573im
-1.774898450530307 + 0.0im	-0.5947400508971136 - 0.0056550753773841516im	-0.0007714246217413857 + 0.0001935664275678527im	-0.0007714246217413915 + 0.00019356642756785173im	-0.5947400508971136 - 0.0056550753773841516im
-1.7573251985448584 + 0.0im	-0.6012917998278516 - 0.005983339399451691im	-0.0007849905083738868 + 0.00020510505127725918im	-0.0007849905083738927 + 0.0002051050512772582im	-0.6012917998278513 - 0.005983339399451688im
-1.739925939153325 + 0.0im	-0.6079301227938176 - 0.0063281794611839215im	-0.0007986817886440013 + 0.0002172602679766197im	-0.0007986817886440076 + 0.0002172602679766186im	-0.6079301227938173 - 0.006328179461183924im
-1.7226989496567575 + 0.0im	-0.6146556911778635 - 0.0066902954024604545im	-0.00081252848643048 + 0.00023006085294448628im	-0.0008125284864304854 + 0.00023006085294448515im	-0.6146556911778635 - 0.006690295402460454im
-1.7056425244126312 + 0.0im	-0.6214692567828409 - 0.0070704109715177465im	-0.0008265577065873892 + 0.0002435366981397948im	-0.0008265577065873957 + 0.00024353669813979357im	-0.6214692567828409 - 0.007070410971517742im
-1.6887549746659716 + 0.0im	-0.628371733947111 - 0.007469274577494226im	-0.0008407950351810933 + 0.00025771884272492455im	-0.0008407950351810989 + 0.0002577188427249233im	-0.628371733947111 - 0.007469274577494224im
-1.6720346283821501 + 0.0im	-0.6353641105832174 - 0.007887660081956209im	-0.0008552639235157335 + 0.00027263950343868096im	-0.0008552639235157402 + 0.00027263950343867955im	-0.6353641105832174 - 0.00788766008195621im
-1.6554798300813367 + 0.0im	-0.6424474004634184 - 0.008326367632241287im	-0.0008699882492403445 + 0.00028833210469867505im	-0.0008699882492403502 + 0.00028833210469867386im	-0.6424474004634181 - 0.00832636763224128im
-1.6390889406745908 + 0.0im	-0.6496227356475603 - 0.00878622453955719im	-0.0008849912614915705 + 0.00030483130829946173im	-0.0008849912614915757 + 0.0003048313082994601im	-0.6496227356475603 - 0.008786224539557195im
-1.622860337301575 + 0.0im	-0.6568912642111766 - 0.009268086204867325im	-0.0009002973322970802 + 0.0003221730425588048im	-0.0009002973322970862 + 0.0003221730425588033im	-0.6568912642111763 - 0.009268086204867323im
-1.6067924131698763 + 0.0im	-0.6642541732230298 - 0.009772837095678315im	-0.0009159302156209826 + 0.0003403945307495556im	-0.0009159302156209885 + 0.00034039453074955384im	-0.6642541732230295 - 0.009772837095678315im
-1.5908835773959171 + 0.0im	-0.6717126764556972 - 0.010301391776918464im	-0.0009319148268215396 + 0.0003595343186388958im	-0.0009319148268215454 + 0.0003595343186388943im	-0.671712676455697 - 0.01030139177691846im
-1.5751322548474427 + 0.0im	-0.6792680719824513 - 0.010854695999157954im	-0.0009482767951403419 + 0.00037963230093999577im	-0.0009482767951403471 + 0.0003796323009399938im	-0.6792680719824513 - 0.010854695999157954im
-1.559536885987567 + 0.0im	-0.6869218023629893 - 0.011433727847470045im	-0.0009650383298222401 + 0.0004007297464636296im	-0.000965038329822243 + 0.0004007297464636279im	-0.686921802362989 - 0.01143372784747005im
-1.5440959267203633 + 0.0im	-0.6946747431479245 - 0.01203949895426698im	-0.0009822438676366982 + 0.0004228693217387528im	-0.0009822438676367043 + 0.0004228693217387509im	-0.6946747431479245 - 0.012039498954266986im
-1.5288078482379834 + 0.0im	-0.7025287450175477 - 0.01267305577946282im	-0.0009999069680563613 + 0.00044609511285180204im	-0.0009999069680563665 + 0.0004460951128518001im	-0.7025287450175474 - 0.01267305577946282im
-1.5136711368692906 + 0.0im	-0.7104850130824856 - 0.013335480961316468im	-0.001018065553545651 + 0.0004704526452341455im	-0.001018065553545656 + 0.0004704526452341432im	-0.7104850130824856 - 0.013335480961316471im
-1.4986842939299907 + 0.0im	-0.7185450005750815 - 0.014027894741291513im	-0.001036751448865705 + 0.0004959889011061485im	-0.0010367514488657087 + 0.0004959889011061461im	-0.7185450005750812 - 0.014027894741291513im
-1.483845835574248 + 0.0im	-0.7267101323421011 - 0.014751456466232164im	-0.0010560006391528312 + 0.0005227523342643591im	-0.0010560006391528364 + 0.0005227523342643565im	-0.7267101323421011 - 0.01475145646623216im
-1.4691542926477703 + 0.0im	-0.7349819316261405 - 0.015507366171096737im	-0.0010758503402006443 + 0.0005507928818756996im	-0.0010758503402006484 + 0.000550792881875697im	-0.7349819316261408 - 0.015507366171096739im
-1.4546082105423468 + 0.0im	-0.7433618838636712 - 0.016296866245410147im	-0.0010963399875743218 + 0.0005801619729191511im	-0.0010963399875743257 + 0.0005801619729191485im	-0.7433618838636709 - 0.01629686624541015im
-1.4402061490518285 + 0.0im	-0.7518514896586322 - 0.017121243186492094im	-0.0011175119882033979 + 0.000610912532891343im	-0.0011175119882034026 + 0.0006109125328913403im	-0.7518514896586322 - 0.017121243186492097im
-1.4259466822295332 + 0.0im	-0.760452355323345 - 0.01798182944239024im	-0.0011394109572512108 + 0.0006430989843677887im	-0.0011394109572512158 + 0.0006430989843677854im	-0.760452355323345 - 0.017981829442390247im
-1.4118283982470625 + 0.0im	-0.7691660507103463 - 0.01888000534729169im	-0.0011620840761344586 + 0.0006767772429863533im	-0.0011620840761344627 + 0.0006767772429863505im	-0.7691660507103463 - 0.018880005347291715im
-1.3978498992545174 + 0.0im	-0.7779942152525234 - 0.01981720115200607im	-0.0011855811822816657 + 0.0007120047083938096im	-0.0011855811822816704 + 0.0007120047083938064im	-0.7779942152525239 - 0.01981720115200608im
-1.3840098012420965 + 0.0im	-0.7869384130925549 - 0.020794899151903173im	-0.0012099572148088107 + 0.000748840249670428im	-0.0012099572148088142 + 0.0007488402496704244im	-0.7869384130925549 - 0.020794899151903173im
-1.370306733903066 + 0.0im	-0.7960003872222059 - 0.02181463591445078im	-0.0012352670413837805 + 0.0007873441847213049im	-0.0012352670413837848 + 0.0007873441847213009im	-0.7960003872222059 - 0.0218146359144508im
-1.356739340498085 + 0.0im	-0.8051818224418058 - 0.022878004608230605im	-0.0012615709474818756 + 0.0008275782530967713im	-0.0012615709474818797 + 0.0008275782530967669im	-0.8051818224418057 - 0.022878004608230623im
-1.3433062777208762 + 0.0im	-0.8144843866723354 - 0.023986657435011965im	-0.001288934117222241 + 0.0008696055816779078im	-0.0012889341172222437 + 0.0008696055816779039im	-0.8144843866723355 - 0.023986657435011986im
-1.330006215565224 + 0.0im	-0.8239098990193582 - 0.02514230816613619im	-0.0013174224178540295 + 0.0009134906426370866im	-0.0013174224178540321 + 0.0009134906426370825im	-0.8239098990193582 - 0.02514230816613621im
-1.316837837193291 + 0.0im	-0.8334600719556998 - 0.026346734784102908im	-0.0013471077002177568 + 0.0009592992030575441im	-0.0013471077002177587 + 0.00095929920305754im	-0.8334600719557002 - 0.02634673478410294im
-1.3037998388052385 + 0.0im	-0.8431366365180102 - 0.027601782229860473im	-0.0013780566394696844 + 0.0010070982655707023im	-0.0013780566394696872 + 0.0010070982655706986im	-0.8431366365180102 - 0.02760178222986051im
-1.2908909295101372 + 0.0im	-0.8529415375093675 - 0.028909365255879716im	-0.0014103787509210125 + 0.0010569559993452453im	-0.0014103787509210167 + 0.0010569559993452407im	-0.8529415375093675 - 0.02890936525587976im
-1.2781098311981556 + 0.0im	-0.8628765006052047 - 0.030271471384635283im	-0.00144412883896657 + 0.001108941660738162im	-0.0014441288389665738 + 0.0011089416607381576im	-0.8628765006052047 - 0.03027147138463535im
-1.2654552784140154 + 0.0im	-0.8729434902052342 - 0.031690163971635536im	-0.0014794076139080332 + 0.0011631255028951885im	-0.0014794076139080345 + 0.0011631255028951833im	-0.8729434902052347 - 0.031690163971635585im
-1.2529260182316984 + 0.0im	-0.8831443495494137 - 0.03316758537162366im	-0.0015163078779902694 + 0.0012195786735666905im	-0.0015163078779902703 + 0.0012195786735666857im	-0.8831443495494137 - 0.03316758537162372im
-1.2405208101303944 + 0.0im	-0.8934809432218104 - 0.03470596020602715im	-0.0015549325795635202 + 0.001278373100385im	-0.0015549325795635237 + 0.001278373100384995im	-0.8934809432218104 - 0.03470596020602721im
-1.2282384258716776 + 0.0im	-0.9039552206278201 - 0.036307598729155434im	-0.0015953865591863976 + 0.0013395813628310793im	-0.001595386559186397 + 0.0013395813628310732im	-0.9039552206278203 - 0.03630759872915551im
-1.2160776493778986 + 0.0im	-0.9145691204845353 - 0.037974900290039915im	-0.0016377817356435873 + 0.0014032765501022907im	-0.0016377817356435858 + 0.001403276550102285im	-0.9145691204845353 - 0.037974900290040005im
-1.2040372766117808 + 0.0im	-0.9253246055985695 - 0.03971035688617683im	-0.001682235798635459 + 0.001469532104078868im	-0.0016822357986354614 + 0.0014695321040788633im	-0.9253246055985705 - 0.039710356886176926im
-1.1921161154572086 + 0.0im	-0.9362236279625532 - 0.04151655680477306im	-0.0017288713470958645 + 0.0015384216465757384im	-0.0017288713470958645 + 0.001538421646575732im	-0.9362236279625532 - 0.041516556804773154im
-1.1803129856011967 + 0.0im	-0.947268243628044 - 0.04339618834640857im	-0.0017778245579561634 + 0.001610018790057334im	-0.0017778245579561636 + 0.0016100187900573279im	-0.9472682436280444 - 0.043396188346408654im
-1.1686267184170265 + 0.0im	-0.9584603365267383 - 0.045352043625320054im	-0.0018292273551905756 + 0.0016843969309879026im	-0.0018292273551905758 + 0.0016843969309878965im	-0.9584603365267387 - 0.0453520436253202im
-1.1570561568485411 + 0.0im	-0.9698019760537517 - 0.047387022439777916im	-0.0018832274294238545 + 0.001761629024987629im	-0.001883227429423852 + 0.0017616290249876218im	-0.969801976053752 - 0.04738702243977805im
-1.1456001552955852 + 0.0im	-0.9812952124792714 - 0.04950413620527602im	-0.0019399744394006852 + 0.0018417873429664453im	-0.0019399744394006813 + 0.0018417873429664392im	-0.9812952124792718 - 0.04950413620527617im
-1.1342575795005794 + 0.0im	-0.9929420104331683 - 0.051706511942485045im	-0.001999635143997158 + 0.0019249432074132232im	-0.0019996351439971576 + 0.0019249432074132154im	-0.9929420104331685 - 0.05170651194248522im
-1.1230273064362173 + 0.0im	-1.0047443920849255 - 0.053997396311131304im	-0.002062369858786873 + 0.0020111667080276348im	-0.0020623698587868716 + 0.002011166708027627im	-1.0047443920849262 - 0.053997396311131464im
-1.1119082241942746 + 0.0im	-1.0167044067031317 - 0.056380159680166374im	-0.0021283580630690347 + 0.002100526395896778im	-0.0021283580630690286 + 0.00210052639589677im	-1.0167044067031323 - 0.056380159680166554im
-1.1008992318755193 + 0.0im	-1.0288240031061828 - 0.05885830022377934im	-0.00219778340722118 + 0.00219308895543781im	-0.0021977834072211735 + 0.0021930889554378032im	-1.028824003106184 - 0.05885830022377949im
-1.089999239480712 + 0.0im	-1.0411052251993227 - 0.06143544803198575im	-0.0022708408338273593 + 0.002288918853352616im	-0.0022708408338273527 + 0.0022889188533526095im	-1.0411052251993234 - 0.06143544803198596im
-1.0792071678026853 + 0.0im	-1.0535501538740921 - 0.06411536922370345im	-0.0023477315815710487 + 0.0023880779638703344im	-0.002347731581571041 + 0.002388077963870326im	-1.0535501538740928 - 0.06411536922370373im
-1.0685219483194903 + 0.0im	-1.0661605639039244 - 0.06690197004939738im	-0.0024286666193246895 + 0.002490625169589666im	-0.0024286666193246813 + 0.002490625169589657im	-1.0661605639039253 - 0.06690197004939762im
-1.0579425230886044 + 0.0im	-1.0789385109504832 - 0.06979930096955109im	-0.002513869463686435 + 0.0025966159372747483im	-0.0025138694636864245 + 0.0025966159372747405im	-1.0789385109504848 - 0.06979930096955138im
-1.0474678446421826 + 0.0im	-1.0918859224311837 - 0.07281156069439804im	-0.002603568262740467 + 0.0027061018680062375im	-0.0026035682627404575 + 0.002706101868006228im	-1.091885922431184 - 0.0728115606943984im
-1.037096875883349 + 0.0im	-1.1050046736022279 - 0.07594310016953351im	-0.002698004342277781 + 0.0028191302211446586im	-0.0026980043422777694 + 0.0028191302211446503im	-1.1050046736022283 - 0.07594310016953383im
-1.026828589983514 + 0.0im	-1.1182969790847281 - 0.07919842649122043im	-0.0027974291114578856 + 0.002935743411623767im	-0.002797429111457872 + 0.0029357434116237587im	-1.1182969790847288 - 0.07919842649122077im
-1.016661970280707 + 0.0im	-1.1317636043364827 - 0.08258220673441544im	-0.00290210362719225 + 0.0030559784801613052im	-0.002902103627192242 + 0.0030559784801612957im	-1.1317636043364832 - 0.08258220673441587im
-1.0065960101789178 + 0.0im	-1.14540731420814 - 0.08609927167576449im	-0.003012299005062187 + 0.003179866536049226im	-0.0030122990050621733 + 0.003179866536049216im	-1.1454073142081402 - 0.08609927167576495im
-0.9966297130484334 + 0.0im	-1.1592295203846066 - 0.08975461939306947im	-0.0031282985248436883 + 0.003307432172269641im	-0.003128298524843674 + 0.0033074321722696316im	-1.1592295203846068 - 0.08975461939306996im
-0.9867620921271618 + 0.0im	-1.173231835509778 - 0.09355341872199643im	-0.003250393688287086 + 0.003438692852772539im	-0.003250393688287067 + 0.00343869285277253im	-1.1732318355097784 - 0.09355341872199698im
-0.9769921704229325 + 0.0im	-1.1874159699974252 - 0.09750101255010267im	-0.0033788923852807605 + 0.0035736582718506153im	-0.0033788923852807423 + 0.003573658271850607im	-1.1874159699974267 - 0.09750101255010325im
-0.9673189806167649 + 0.0im	-1.2017831591945956 - 0.10160292092758655im	-0.003514107458017675 + 0.003712329685651526im	-0.0035141074580176557 + 0.0037123296856515185im	-1.2017831591945964 - 0.10160292092758716im
-0.957741564967094 + 0.0im	-1.2163349837227386 - 0.10586484397353967im	-0.0036563616785264654 + 0.0038546992159828003im	-0.0036563616785264463 + 0.0038546992159827938im	-1.2163349837227397 - 0.1058648439735403im
-0.9482589752149445 + 0.0im	-1.2310727209039434 - 0.11029266455588646im	-0.003806005120762076 + 0.004000749126685402im	-0.003806005120762057 + 0.004000749126685392im	-1.2310727209039438 - 0.11029266455588722im
-0.9388702724900441 + 0.0im	-1.2459975368428895 - 0.1148924507226477im	-0.003963371221759563 + 0.004150451072981649im	-0.0039633712217595415 + 0.004150451072981642im	-1.2459975368428902 - 0.11489245072264842im
-0.9295745272178654 + 0.0im	-1.2611106970719395 - 0.11967045786166622im	-0.004128833745070365 + 0.004303765324340266im	-0.004128833745070349 + 0.004303765324340259im	-1.2611106970719406 - 0.11967045786166698im
-0.9203708190275894 + 0.0im	-1.2764129717445367 - 0.12463313056547752im	-0.004302754920716138 + 0.004460639961545729im	-0.004302754920716121 + 0.00446063996154572im	-1.2764129717445378 - 0.12463313056547835im
-0.9112582366609796 + 0.0im	-1.291905419411208 - 0.12978710417761596im	-0.004485520231690351 + 0.004621010048810864im	-0.004485520231690328 + 0.004621010048810852im	-1.2919054194112096 - 0.129787104177617im
-0.902235877882158 + 0.0im	-1.3075886393948444 - 0.13513920599630241im	-0.004677522384773453 + 0.004784796781931154im	-0.0046775223847734275 + 0.004784796781931147im	-1.3075886393948462 - 0.13513920599630333im
-0.8933028493882752 + 0.0im	-1.3234632491159681 - 0.1406964561111838im	-0.00487916819894381 + 0.00495190661364481im	-0.004879168198943791 + 0.0049519066136448im	-1.3234632491159697 - 0.1406964561111848im
-0.8844582667210645 + 0.0im	-1.3395295960410434 - 0.14646606784857952im	-0.005090870801001312 + 0.005122230357535277im	-0.00509087080100129 + 0.005122230357535266im	-1.3395295960410454 - 0.14646606784858066im
-0.8757012541792718 + 0.0im	-1.355787998120094 - 0.1524554478005397im	-0.0053130544312285834 + 0.005295642271991425im	-0.005313054431228555 + 0.005295642271991414im	-1.3557879981200955 - 0.15245544780054096im
-0.8670309447319523 + 0.0im	-1.3722383937632083 - 0.15867219541294747im	-0.005546153621681567 + 0.005471999125925419im	-0.005546153621681536 + 0.005471999125925411im	-1.37223839376321 - 0.15867219541294877im
