w	self_d-self_d	selfc_d-self_d	self_d-selfc_d	selfc_d-selfc_d
-2.0 + 0.0im	-0.032838280561545294 - 0.0005608743531929528im	0.00012312109378985063 + 2.676657236111083e-5im	0.00012312109378985163 + 2.676657236111082e-5im	-0.03283828056154533 - 0.0005608743531929499im
-1.9801980198019802 + 0.0im	-0.034193802204680435 - 0.0005910528979611367im	0.0001732832216214123 + 2.8201839576566896e-5im	0.00017328322162141332 + 2.8201839576566923e-5im	-0.03419380220468047 - 0.0005910528979611335im
-1.9605920988138417 + 0.0im	-0.03447175839246181 - 0.0006226748039835645im	0.00017186679458462383 + 2.970544508910239e-5im	0.0001718667945846248 + 2.97054450891024e-5im	-0.03447175839246184 - 0.0006226748039835615im
-1.9411802958552888 + 0.0im	-0.03480193686830555 - 0.000655797551676869im	0.00017278557055163356 + 3.128018022725945e-5im	0.00017278557055163448 + 3.128018022725947e-5im	-0.03480193686830555 - 0.0006557975516768656im
-1.9219606889656324 + 0.0im	-0.0351556319820173 - 0.0006904802581253643im	0.00017466744312088014 + 3.2928929330790464e-5im	0.00017466744312088115 + 3.292892933079049e-5im	-0.035155631982017335 - 0.0006904802581253609im
-1.9029313752134975 + 0.0im	-0.03552411895257148 - 0.0007267836946924757im	0.00017709396754562502 + 3.46546721425416e-5im	0.00017709396754562605 + 3.465467214254161e-5im	-0.035524118952571515 - 0.0007267836946924721im
-1.8840904705084134 + 0.0im	-0.03590363445331113 - 0.0007647703042200807im	0.00017988355485880795 + 3.6460486250326455e-5im	0.00017988355485880903 + 3.646048625032647e-5im	-0.035903634453311156 - 0.000764770304220077im
-1.8654361094142706 + 0.0im	-0.03629224338098988 - 0.0008045042178994807im	0.0001829417409111868 + 3.8349549579473816e-5im	0.00018294174091118787 + 3.8349549579473844e-5im	-0.036292243380989915 - 0.0008045042178994774im
-1.8469664449646244 + 0.0im	-0.03668883999066377 - 0.0008460512719106442im	0.00018621355931916804 + 4.032514293653823e-5im	0.0001862135593191691 + 4.032514293653825e-5im	-0.03668883999066382 - 0.0008460512719106406im
-1.828679648479826 + 0.0im	-0.0370927461308202 - 0.0008894790239396475im	0.00018966467234814063 + 4.239065260441969e-5im	0.00018966467234814163 + 4.2390652604419735e-5im	-0.03709274613082023 - 0.0008894790239396431im
