-2.0 + 0.0im	-0.03879618350978619 - 0.0014594038833703126im	-0.002769579048222225 + 7.979431307005481e-5im	-0.0027695790482223197 + 7.979431307005289e-5im	-0.0387961835097864 - 0.0014594038833703202im
-1.98019801980198 + 0.0im	-0.04174705915042967 - 0.001497725831132311im	-0.0026251528873458023 + 8.096988818018199e-5im	-0.0026251528873459007 + 8.096988818018014e-5im	-0.0417470591504299 - 0.0014977258311323197im
-1.96059209881384 + 0.0im	-0.04191873360522492 - 0.0015685509427497085im	-0.002631827494795547 + 8.496906794658847e-5im	-0.002631827494795645 + 8.496906794658655e-5im	-0.04191873360522517 - 0.0015685509427497174im
-1.94118029585529 + 0.0im	-0.0422170240318702 - 0.001640639033337989im	-0.0026317905436524574 + 8.900350633630234e-5im	-0.0026317905436525546 + 8.900350633630035e-5im	-0.042217024031870456 - 0.001640639033337998im
-1.92196068896563 + 0.0im	-0.04256807519639872 - 0.0017147995332317501im	-0.002629025067748306 + 9.314373385160068e-5im	-0.0026290250677484055 + 9.31437338515987e-5im	-0.04256807519639899 - 0.0017147995332317614im
-1.9029313752135 + 0.0im	-0.04294923623915759 - 0.001791317192099331im	-0.0026247537843002667 + 9.741383702203644e-5im	-0.002624753784300365 + 9.741383702203436e-5im	-0.04294923623915785 - 0.0017913171920993431im
-1.88409047050841 + 0.0im	-0.043350617944318715 - 0.001870347928948208im	-0.002619511171788647 + 0.00010182653343351528im	-0.0026195111717887435 + 0.00010182653343351298im	-0.04335061794431893 - 0.0018703479289482183im
-1.86543610941427 + 0.0im	-0.043767046960316455 - 0.0019520008919624802im	-0.0026135769950728534 + 0.00010639044469815753im	-0.002613576995072949 + 0.00010639044469815516im	-0.043767046960316656 - 0.001952000891962489im
-1.84696644496462 + 0.0im	-0.04419549450774458 - 0.0020363640418697886im	-0.002607115375145355 + 0.00011111236802565344im	-0.0026071153751454517 + 0.00011111236802565104im	-0.044195494507744806 - 0.002036364041869798im
-1.82867964847983 + 0.0im	-0.044634038991360425 - 0.0021235146296027575im	-0.0026002308275169454 + 0.0001159982061854253im	-0.0026002308275170443 + 0.00011599820618542316im	-0.04463403899136068 - 0.0021235146296027696im
-1.81057390938597 + 0.0im	-0.045081398680670515 - 0.00221352367147625im	-0.0025929931101213166 + 0.00012105336928174069im	-0.0025929931101214125 + 0.00012105336928173823im	-0.045081398680670744 - 0.0022135236714762602im
-1.79264743503561 + 0.0im	-0.04553667222041 - 0.0023064585541415507im	-0.0025854517015097 + 0.00012628300317384108im	-0.0025854517015097968 + 0.00012628300317383854im	-0.04553667222041025 - 0.0023064585541415624im
-1.77489845053031 + 0.0im	-0.04599920364212272 - 0.00240238418655437im	-0.0025776419941446822 + 0.00013169209067662646im	-0.0025776419941447785 + 0.0001316920906766238im	-0.045999203642122975 - 0.0024023841865543805im
-1.75732519854486 + 0.0im	-0.04646851364104934 - 0.00250136418052495im	-0.0025695924284119278 + 0.00013728556579483328im	-0.002569592428412025 + 0.00013728556579483065im	-0.0464685136410496 - 0.002501364180524964im
-1.73992593915333 + 0.0im	-0.04694422305977388 - 0.0026034605032901im	-0.002561323512699059 + 0.0001430682777111428im	-0.0025613235126991573 + 0.00014306827771114013im	-0.04694422305977415 - 0.002603460503290114im
-1.72269894965676 + 0.0im	-0.0474260404475546 - 0.0027087345402594825im	-0.002552850736681805 + 0.00014904506822141514im	-0.002552850736681902 + 0.00014904506822141235im	-0.04742604044755485 - 0.0027087345402594947im
-1.70564252441263 + 0.0im	-0.04791374501497234 - 0.0028172471530200855im	-0.0025441886552649362 + 0.00015522081349394272im	-0.0025441886552650334 + 0.00015522081349393977im	-0.047913745014972586 - 0.0028172471530200963im
-1.68875497466597 + 0.0im	-0.04840713503330782 - 0.0029290587497591207im	-0.0025353476925488723 + 0.0001616003825559137im	-0.002535347692548971 + 0.00016160038255591078im	-0.04840713503330808 - 0.0029290587497591337im
-1.67203462838215 + 0.0im	-0.0489060689279628 - 0.003044229112151063im	-0.0025263376294288034 + 0.00016818866619875268im	-0.0025263376294288997 + 0.00016818866619874978im	-0.04890606892796305 - 0.00304422911215108im
-1.65547983008134 + 0.0im	-0.0494104214308124 - 0.0031628180518633673im	-0.0025171661527754003 + 0.00017499059396493532im	-0.002517166152775499 + 0.0001749905939649323im	-0.04941042143081267 - 0.0031628180518633807im
