-2.0 + 0.0im	-0.0320552829012352 - 0.0004982070032684929im	0.0002357873794062902 + 2.8293788028370112e-5im	0.00023578737940629138 + 2.829378802837012e-5im	-0.03205528290123548 - 0.0004982070032684893im
-1.98019801980198 + 0.0im	-0.03326968459497845 - 0.0005199721039140747im	0.0002904129655178934 + 2.9339730506387712e-5im	0.0002904129655178946 + 2.9339730506387753e-5im	-0.03326968459497873 - 0.0005199721039140708im
-1.96059209881384 + 0.0im	-0.03353093856470244 - 0.0005471372957430613im	0.00029099742539302244 + 3.090556061074842e-5im	0.0002909974253930235 + 3.0905560610748446e-5im	-0.03353093856470271 - 0.0005471372957430574im
-1.94118029585529 + 0.0im	-0.0338379670114329 - 0.0005753266747315054im	0.000294052904917933 + 3.252152368004752e-5im	0.0002940529049179341 + 3.2521523680047564e-5im	-0.03383796701143314 - 0.0005753266747315012im
-1.92196068896563 + 0.0im	-0.03416541892380274 - 0.0006046874090951855im	0.0002981506475052978 + 3.4201279666134137e-5im	0.000298150647505299 + 3.4201279666134184e-5im	-0.03416541892380301 - 0.0006046874090951809im
-1.9029313752135 + 0.0im	-0.03450556289984277 - 0.0006352937014495496im	0.00030285456118628665 + 3.595070743329636e-5im	0.00030285456118628784 + 3.5950707433296384e-5im	-0.03450556289984305 - 0.000635293701449545im
-1.88409047050841 + 0.0im	-0.03485504729474239 - 0.0006672024535965198im	0.00030797548460257773 + 3.777382279994553e-5im	0.00030797548460257903 + 3.777382279994556e-5im	-0.03485504729474266 - 0.0006672024535965152im
-1.86543610941427 + 0.0im	-0.0352121354551571 - 0.00070046474163942im	0.00031341517547535467 + 3.967400015608958e-5im	0.000313415175475356 + 3.967400015608962e-5im	-0.035212135455157376 - 0.0007004647416394157im
-1.84696644496462 + 0.0im	-0.035575823392292025 - 0.0007351294234164308im	0.00031911667204560204 + 4.165435927758396e-5im	0.00031911667204560334 + 4.1654359277584e-5im	-0.03557582339229232 - 0.0007351294234164261im
-1.82867964847983 + 0.0im	-0.035945484871664705 - 0.0007712445686537859im	0.0003250445841365795 + 4.371792030287733e-5im	0.0003250445841365807 + 4.371792030287739e-5im	-0.035945484871664976 - 0.0007712445686537802im
-1.81057390938597 + 0.0im	-0.03632071059870731 - 0.0008088580679221145im	0.000331175491827321 + 4.586767044698176e-5im	0.0003311754918273222 + 4.5867670446981827e-5im	-0.03632071059870759 - 0.0008088580679221093im
-1.79264743503561 + 0.0im	-0.03670122104582328 - 0.000848017972772628im	0.0003374934158717433 + 4.810660416384692e-5im	0.00033749341587174456 + 4.810660416384696e-5im	-0.03670122104582358 - 0.0008480179727726215im
-1.77489845053031 + 0.0im	-0.037086818325442354 - 0.0008887726494325141im	0.00034398704072523734 + 5.043773977365778e-5im	0.00034398704072523853 + 5.043773977365788e-5im	-0.03708681832544266 - 0.0008887726494325076im
-1.75732519854486 + 0.0im	-0.037477363424617945 - 0.0009311708221120702im	0.00035064841619431074 + 5.2864136643609006e-5im	0.00035064841619431193 + 5.286413664360905e-5im	-0.037477363424618215 - 0.0009311708221120633im
-1.73992593915333 + 0.0im	-0.03787275313340579 - 0.0009752616823385962im	0.0003574715454929952 + 5.5388896094602044e-5im	0.0003574715454929966 + 5.5388896094602105e-5im	-0.03787275313340606 - 0.0009752616823385891im
-1.72269894965676 + 0.0im	-0.03827291335637603 - 0.0010210948440294997im	0.0003644519611398444 + 5.801516539513912e-5im	0.0003644519611398457 + 5.80151653951392e-5im	-0.03827291335637633 - 0.0010210948440294936im
-1.70564252441263 + 0.0im	-0.0386777883699253 - 0.0010687203178823012im	0.00037158660302845717 + 6.07461491613713e-5im	0.0003715866030284586 + 6.074614916137138e-5im	-0.038677788369925574 - 0.0010687203178822934im
-1.68875497466597 + 0.0im	-0.03908733810910559 - 0.0011181886208043823im	0.00037887287232825037 + 6.358510520963481e-5im	0.00037887287232825167 + 6.358510520963494e-5im	-0.039087338109105856 - 0.0011181886208043751im
-1.67203462838215 + 0.0im	-0.039501529918814685 - 0.0011695505780762992im	0.0003863090989746251 + 6.653534609144931e-5im	0.0003863090989746266 + 6.653534609144938e-5im	-0.039501529918814955 - 0.001169550578076291im
-1.65547983008134 + 0.0im	-0.039920342862516216 - 0.0012228574195424474im	0.0003938938353681489 + 6.960024003863559e-5im	0.0003938938353681504 + 6.96002400386357e-5im	-0.03992034286251648 - 0.0012228574195424383im
