w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-2.0 + 0.0im	-0.026823911125988455 + 0.0003585711262702983im	0.0015966398616098366 - 4.707532970074158e-5im	0.0016046157429508144 - 3.436051508504473e-5im	0.07450979132720142 + 0.002251313364453945im
-1.9801980198019802 + 0.0im	-0.026288926300926527 + 0.00037847375123094344im	0.001527230570201378 - 4.990062453977529e-5im	0.0015582084565402654 - 3.6365240073903846e-5im	0.07968537509695967 + 0.0023949433606011484im
-1.9605920988138417 + 0.0im	-0.026443878675986496 + 0.0003993461534845389im	0.0015488389313730974 - 5.287961088794443e-5im	0.0015782482921596738 - 3.847761371763869e-5im	0.08053309777781016 + 0.002546990356091137im
-1.9411802958552888 + 0.0im	-0.026566314926950163 + 0.0004212270515697606im	0.0015665748573145191 - 5.601964829927178e-5im	0.0015954883361626435 - 4.07028886601089e-5im	0.0815935316952056 + 0.002707898019554363im
-1.9219606889656324 + 0.0im	-0.026674516799264837 + 0.00044415624208240747im	0.001582840558159396 - 5.9328388523132346e-5im	0.0016116847029511233 - 4.304654374386432e-5im	0.08275271743424269 + 0.0028781304394462333im
-1.9029313752134975 + 0.0im	-0.026774011632994827 + 0.0004681746099903273im	0.0015983688987074092 - 6.281378342747477e-5im	0.0016273731381688831 - 4.5514291741094375e-5im	0.08397636693504243 + 0.003058172902606237im
-1.8840904705084134 + 0.0im	-0.026867164092978898 + 0.0004933241387497im	0.001613479145472196 - 6.648409287547463e-5im	0.0016427866348319208 - 4.811208717643613e-5im	0.08524992215304622 + 0.003248532693708584im
-1.8654361094142706 + 0.0im	-0.02695518502669256 + 0.0005196479202974134im	0.0016283381171275394 - 7.034789252849655e-5im	0.001658048453933303 - 5.084613422434788e-5im	0.08656605931462501 + 0.003449739915542884im
-1.8469664449646244 + 0.0im	-0.027038723143031785 + 0.0005471901650042262im	0.0016430444047757806 - 7.441408154579277e-5im	0.001673228981900246 - 5.372289466165237e-5im	0.08792076658701867 + 0.003662348329993288im
-1.828679648479826 + 0.0im	-0.027118178308843048 + 0.000575996211683613im	0.0016576611805160346 - 7.869189014878228e-5im	0.0016883747517796798 - 5.674909585361988e-5im	0.08931165126386022 + 0.0038869362195072645im
-1.8105739093859663 + 0.0im	-0.027193784151468118 + 0.000606112537761696im	0.0016722313346157337 - 8.319088701503942e-5im	0.0017035166369012802 - 5.9931738749606714e-5im	0.09073737537267562 + 0.004124107268760386im
-1.79264743503561 + 0.0im	-0.027265685987507785 + 0.0006375867697243614im	0.0016867860469482775 - 8.792098646428616e-5im	0.0017186773039658855 - 6.327810586178464e-5im	0.0921971518505239 + 0.004374491466131142im
-1.774898450530307 + 0.0im	-0.027333960315479817 + 0.0006704676939685646im	0.0017013486249480838 - 9.289245539570787e-5im	0.0017338729063545151 - 6.679576919789237e-5im	0.09369056054207707 + 0.004638746024498829im
-1.7573251985448584 + 0.0im	-0.027398643307334814 + 0.0007048052681957889im	0.001715937918621024 - 9.811591993282442e-5im	0.0017491169113256373 - 7.04925981162157e-5im	0.09521745941411257 + 0.00491755632076875im
-1.739925939153325 + 0.0im	-0.027459743879658383 + 0.0007406506334967278im	0.0017305685455964953 - 0.00010360237172893414im	0.0017644197432561065 - 7.437676706816338e-5im	0.09677785241948873 + 0.0052116368534106im
-1.7226989496567575 + 0.0im	-0.02751724879472572 + 0.0007780561272872627im	0.0017452545561343889 - 0.00010936317388281879im	0.0017797905399340582 - 7.845676319084404e-5im	0.09837187899659908 + 0.005521732217169055im
-1.7056425244126312 + 0.0im	-0.027571127729309752 + 0.0008170752972668507im	0.0017600063883747284 - 0.00011541006641096005im	0.001795236527472927 - 8.274139370898912e-5im	0.09999979590124763 + 0.005848618093969129im
-1.6887549746659716 + 0.0im	-0.027621340907619498 + 0.0008577629165812572im	0.00177483455517737 - 0.00012175517121897455im	0.0018107648117794636 - 8.723979310239564e-5im	0.1016618936228093 + 0.0061931022588927465im
-1.6720346283821501 + 0.0im	-0.02766783603812523 + 0.0009001750003822634im	0.001789749063030358 - 0.00012841099651134325im	0.001826381741888766 - 9.196142999179911e-5im	0.10335853086297928 + 0.006556025599947454im
-1.6554798300813367 + 0.0im	-0.027710555623185917 + 0.0009443688239872995im	0.0018047590063820468 - 0.0001353904405747879im	0.0018420933614160331 - 9.691611369273728e-5im	0.10509010251000246 + 0.006938263150182291im
-1.6390889406745908 + 0.0im	-0.027749430998825694 + 0.0009904029428520437im	0.0018198734984779111 - 0.00014270679486685993im	0.0018579054997151074 - 0.00010211400038353739im	0.10685704679430419 + 0.007340725130530557im
-1.622860337301575 + 0.0im	-0.02778439141896546 + 0.0010383372145785464im	0.0018351015891093078 - 0.0001503737463374551im	0.0018738239541838868 - 0.00010756559883006234im	0.10865976454925023 + 0.007764358001573362im
-1.6067924131698763 + 0.0im	-0.027815362481230118 + 0.0010882328231905875im	0.0018504528672025299 - 0.00015840537890707764im	0.0018898542816930303 - 0.00011328177560630989im	0.11049877276969874 + 0.008210145522222476im
-1.5908835773959171 + 0.0im	-0.02784226402031005 + 0.0011401523059163651im	0.0018659364010328752 - 0.00016681617402175013im	0.001906002901932851 - 0.00011927375974636575im	0.11237454188254989 + 0.008679109813115286im
-1.5751322548474427 + 0.0im	-0.027865010644926903 + 0.001194159582726514im	0.0018815619060187614 - 0.0001756210102005457im	0.001922275784463133 - 0.0001255531467596033im	0.11428752840099937 + 0.00917231242229998im
