w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-2.0 + 0.0im	-0.026823966748590066 + 0.0003584948224280522im	0.0016041366326938519 - 3.3794331302970953e-5im	0.0015976030338062254 - 4.7091870935827716e-5im	0.07450928675372769 + 0.0022518044134458848im
-1.9801980198019802 + 0.0im	-0.02628911893225823 + 0.00037839248212551607im	0.0015587130256954208 - 3.577042091893961e-5im	0.0015281971572049255 - 4.991472408987918e-5im	0.07968570665295542 + 0.002395452195604972im
-1.9605920988138417 + 0.0im	-0.026444060695404017 + 0.0003992596993961729im	0.0015786435430451718 - 3.785316585297724e-5im	0.0015498406784918148 - 5.289096103824356e-5im	0.08053331969185433 + 0.002547517173760355im
-1.9411802958552888 + 0.0im	-0.026566492595981123 + 0.000421135188382392im	0.001595821340441934 - 4.00478128346609e-5im	0.00156761103472871 - 5.602791656562803e-5im	0.08159368518217028 + 0.0027084429848316734im
-1.9219606889656324 + 0.0im	-0.026674692530517276 + 0.0004440587414806733im	0.0016119733511260836 - 4.2359836781864196e-5im	0.0015839114695586805 - 5.933321595366969e-5im	0.08275281810330959 + 0.0028786936827922085im
-1.9029313752134975 + 0.0im	-0.026774186647101128 + 0.00046807123967322904im	0.0016276263674967902 - 4.479494866252104e-5im	0.001599475209893109 - 6.281478280148688e-5im	0.08397642249241356 + 0.003058754517140943im
-1.8840904705084134 + 0.0im	-0.026867339093150318 + 0.0004932146626607969im	0.001643009448194724 - 4.7359103449493104e-5im	0.0016146217076727968 - 6.648084679510557e-5im	0.08524993682234301 + 0.00324913273226979im
-1.8654361094142706 + 0.0im	-0.026955360440502518 + 0.0005195320988713543im	0.001658243765862186 - 5.005850815091541e-5im	0.0016295179004702726 - 7.033995139863936e-5im	0.08656603547217695 + 0.003450358387664913im
-1.8469664449646244 + 0.0im	-0.027038899236932916 + 0.0005470677554293477im	0.0016733984919091631 - 5.289962989627484e-5im	0.0016442624666721435 - 7.440096143767445e-5im	0.08792070550598492 + 0.003662985198811177im
-1.828679648479826 + 0.0im	-0.02711835524151285 + 0.0005758669681802624im	0.0016885192813185707 - 5.5889204056231066e-5im	0.001658918648572574 - 7.867307054275408e-5im	0.08931155350279193 + 0.0038875913985913805im
-1.8105739093859663 + 0.0im	-0.02719396200400108 + 0.0006059762118758681im	0.001703636516286779 - 5.9034242371817716e-5im	0.0016735293982782118 - 8.316580841817392e-5im	0.09073724099582896 + 0.004124780618887194im
-1.79264743503561 + 0.0im	-0.02726586479343878 + 0.0006374431106361721im	0.0017187722626375483 - 6.23420410661745e-5im	0.0016881259513912127 - 8.788904789849441e-5im	0.09219698056167987 + 0.004375182791996304im
-1.774898450530307 + 0.0im	-0.027334140056440064 + 0.0006703164488149929im	0.0017339426140154672 - 6.582018890934302e-5im	0.0017027316679827048 - 9.285301175223809e-5im	0.09369035177795083 + 0.004639455071379483im
-1.7573251985448584 + 0.0im	-0.02739882393240155 + 0.0007046461824070801im	0.0017491605824948406 - 6.947657520392695e-5im	0.0017173654464070704 - 9.806827918918907e-5im	0.09521721239494925 + 0.004918282771142186im
-1.739925939153325 + 0.0im	-0.027459925308927456 + 0.0007404834511457542im	0.0017644361468277712 - 7.331939765656823e-5im	0.0017320418806805794 - 0.00010354579202453482im	0.09677756619715454 + 0.005212380323537236im
-1.7226989496567575 + 0.0im	-0.027517430919931946 + 0.0007778805914510945im	0.0017797790398245766 - 7.73571700972271e-5im	0.0017467752865211834 - 0.00010929686044980622im	0.09837155248357463 + 0.005522492253648126im
-1.7056425244126312 + 0.0im	-0.02757131041783036 + 0.0008168911503997113im	0.0017951955930413644 - 8.159873000518238e-5im	0.0017615759305933136 - 0.00011533316835717701im	0.09999942789090557 + 0.005849394170275964im
-1.6887549746659716 + 0.0im	-0.027621524011210128 + 0.0008575699008980018im	0.001810692985048521 - 8.60532457975012e-5im	0.0017764544440908487 - 0.00012166677816018764im	0.10166148281287227 + 0.006193893771907146im
-1.6720346283821501 + 0.0im	-0.027668019383004092 + 0.0008999728582514344im	0.0018262774285216958 - 9.073022383245715e-5im	0.0017914208788361128 - 0.00012831013505037564im	0.1033580758652112 + 0.006556831866483083im
-1.6554798300813367 + 0.0im	-0.027710739018432348 + 0.0009441572983327976im	0.001841954835955661 - 9.563951507702817e-5im	0.00180648437406063 - 0.00013527607062562672im	0.10508960186480726 + 0.006939083403527635im
-1.6390889406745908 + 0.0im	-0.0277496142341101 + 0.0009901817775623833im	0.0018577308397648242 - 0.00010079132138417947im	0.0018216540873166182 - 0.00014257780582232026im	0.10685649897277984 + 0.0073415585170124075im
-1.622860337301575 + 0.0im	-0.02778457427077279 + 0.0010381061549226565im	0.0018736113626623215 - 0.00010619620132214301im	0.0018369391138703087 - 0.0001502289530795555im	0.10865916798182064 + 0.007765203577154159im
-1.6067924131698763 + 0.0im	-0.02781554470450991 + 0.001087991616239042im	0.0018896016145604085 - 0.00011186507549436686im	0.001852349081427717 - 0.00015824351765990428im	0.11049812582840535 + 0.0082110022491436im
-1.5908835773959171 + 0.0im	-0.027842445357230596 + 0.0011399007009669795im	0.0019057080563409628 - 0.00011780923128522224im	0.0018678931034458624 - 0.0001666358980472731im	0.11237384290065904 + 0.008679976556598476im
-1.5751322548474427 + 0.0im	-0.02786519081884515 + 0.0011938973317331444im	0.001921936341477355 - 0.00012404032696295547im	0.0018835809365701996 - 0.0001754208853385944im	0.11428677568749225 + 0.009173187947319628im
-1.559536885987567 + 0.0im	-0.027883687613129593 + 0.0012500468468858452im	0.0019382915043681486 - 0.00013057039506776048im	0.0018994209841265118 - 0.00018461366154220226im	0.11623741632122332 + 0.009691738358703255im
-1.5440959267203633 + 0.0im	-0.027897865729611285 + 0.0013084160363157783im	0.0019547840336324347 - 0.00013741184500924751im	0.0019154288044204249 - 0.00019422979669192744im	0.11822628929149906 + 0.010236771279929342im
-1.5288078482379834 + 0.0im	-0.02790760974846534 + 0.0013690731808136175im	0.00197141644094255 - 0.00014457746479401839im	0.0019316108574219967 - 0.0002042852446821787im	0.1202538397269769 + 0.01080947280780336im
-1.5136711368692906 + 0.0im	-0.02791283104364209 + 0.0014320880952352149im	0.00198819906271708 - 0.00015208042180054007im	0.0019479806846127116 - 0.00021479633772558833im	0.1223205622175473 + 0.01141107269287747im
-1.4986842939299907 + 0.0im	-0.027913428817136328 + 0.0014975321757483876im	0.00200513793554305 - 0.0001599342625150688im	0.001964550562179697 - 0.0002257797793312276im	0.12442695504246741 + 0.012042845372219516im
