w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-2.0 + 0.0im	-0.4888312330033453 - 0.0018130123212399963im	-0.0009301198785730605 + 0.0001029120228125428im	-0.0009315596933579233 + 0.00010341794584116374im	-0.554009114444687 - 0.005361276900817017im
-1.9801980198019802 + 0.0im	-0.49700023916054364 - 0.0019253970969476538im	-0.000763406932996776 + 0.00010951384726880429im	-0.0007640178314484826 + 0.00011003907083407555im	-0.5700606720003879 - 0.005719566904892623im
-1.9605920988138417 + 0.0im	-0.5017191404354286 - 0.002043783274155092im	-0.0007958929271467637 + 0.00011649651264050632im	-0.0007966510782765101 + 0.00011704119362736831im	-0.5758384853402233 - 0.006099628211374695im
-1.9411802958552888 + 0.0im	-0.5066440128225802 - 0.0021684264219876638im	-0.0008200405517844057 + 0.000123879097850487im	-0.0008209052987834834 + 0.00012444333872561747im	-0.5821598410105581 - 0.00650263904740495im
-1.9219606889656324 + 0.0im	-0.5116831789740168 - 0.002299589132970463im	-0.0008410889346302636 + 0.00013168145368705334im	-0.0008420457920069093 + 0.00013226529672723223im	-0.5887545854434848 - 0.006929832797526273im
-1.9029313752134975 + 0.0im	-0.5168091697408559 - 0.0024375410203011866im	-0.0008606380360666416 + 0.00013992422256044442im	-0.0008616807051051433 + 0.0001405276437481703im	-0.5955418555783107 - 0.007382500129827241im
-1.8840904705084134 + 0.0im	-0.5220104193125104 - 0.0025825587066584804im	-0.0008793875349724453 + 0.00014862885796978733im	-0.0008805138078746038 + 0.0001492517605476521im	-0.6024876450251052 - 0.007861991180897842im
-1.8654361094142706 + 0.0im	-0.5272812100713109 - 0.002734925804761619im	-0.0008977081443579435 + 0.0001578176436000582im	-0.0008989168694497084 + 0.00015845985127585648im	-0.6095750923550982 - 0.008369717799738748im
-1.8469664449646244 + 0.0im	-0.5326184750693432 - 0.00289493288997476im	-0.0009158197741738855 + 0.00016751371196208463im	-0.0009171120410827276 + 0.00016817496175716506im	-0.6167951478307491 - 0.008907155850607529im
-1.828679648479826 + 0.0im	-0.5380205054684992 - 0.003062877465330294im	-0.0009338673445888221 + 0.0001777410624818115im	-0.0009352449058288652 + 0.00017842099721577273im	-0.624142842202506 - 0.009475847574607635im
-1.8105739093859663 + 0.0im	-0.543486402056132 - 0.0032390639194309176im	-0.0009519524739108917 + 0.00018852457893790754im	-0.0009534171294106552 + 0.00018922273934342262im	-0.6316153775118036 - 0.010077404009630218im
-1.79264743503561 + 0.0im	-0.5490157011385353 - 0.003423803477779138im	-0.0009701510310409341 + 0.00019989004613933553im	-0.0009717053314316044 + 0.00020060586260162722im	-0.6392114360062983 - 0.010713507468042791im
-1.774898450530307 + 0.0im	-0.5546082682786823 - 0.0036174141481748853im	-0.0009885228768425713 + 0.0002118641657267116im	-0.0009901696235001156 + 0.00021259694964302745im	-0.6469306041385107 - 0.011385914071281844im
