w	self_d-self_d	selfc_d-self_d	self_d-selfc_d	selfc_d-selfc_d
-2.0 + 0.0im	-0.031170665936697022 - 0.0003040033047304247im	0.00011866561770070022 + 2.8970119065051372e-5im	0.00011862670761763471 + 2.905968092519614e-5im	-0.04477485600572286 - 0.0013366096000779878im
-1.9801980198019802 + 0.0im	-0.03199426693408741 - 0.0003197307380536003im	0.0001726228768116271 + 3.05237888999817e-5im	0.00017274092469256967 + 3.0618681291387906e-5im	-0.047741151032898214 - 0.0014142971559008145im
-1.9605920988138417 + 0.0im	-0.03223405441065299 - 0.00033616701019605294im	0.0001707469907087432 + 3.21518615607803e-5im	0.0001708487973062253 + 3.2252308079643464e-5im	-0.04813667670194387 - 0.0014961324343329982im
-1.9411802958552888 + 0.0im	-0.032502222071929945 - 0.00035333721213689795im	0.00017138980206754222 + 3.3857409460719404e-5im	0.00017148269002512673 + 3.396363710638512e-5im	-0.04865522836259711 - 0.0015823131302620664im
-1.9219606889656324 + 0.0im	-0.0327831653290741 - 0.00037126690349691826im	0.0001730658476656016 + 3.5643607120925105e-5im	0.00017315256137092206 + 3.5755845910297103e-5im	-0.049228678991730994 - 0.001673044976725193im
-1.9029313752134975 + 0.0im	-0.03307212230807341 - 0.0003899820969899395im	0.00017532187990872735 + 3.7513733373174056e-5im	0.00017540375986338996 + 3.763221591723091e-5im	-0.04983640520633928 - 0.0017685420012562003im
-1.8840904705084134 + 0.0im	-0.033367027407030805 - 0.0004095092413813199im	0.00017796104615701059 + 3.947117354481965e-5im	0.00017803881293183038 + 3.9596134585874866e-5im	-0.05046954065118577 - 0.001869026787185775im
-1.8654361094142706 + 0.0im	-0.03366680580599886 - 0.0004298752029536821im	0.00018088062388438655 + 4.1519421619872465e-5im	0.00018095466959477678 + 4.1651097528244464e-5im	-0.05112355449069975 - 0.0019747307398090895im
-1.8469664449646244 + 0.0im	-0.03397083480599364 - 0.00045110724548707025im	0.00018402085500263173 + 4.366208236973319e-5im	0.0001840913716026343 + 4.3800710598527266e-5im	-0.051795881786874845 - 0.0020858943573145734im
-1.828679648479826 + 0.0im	-0.034278722772637195 - 0.00047323300876818544im	0.00018734395590690425 + 4.590287344650834e-5im	0.00018741100228235067 + 4.604869194325695e-5im	-0.052484968733328974 - 0.002202767506344611im
-1.8105739093859663 + 0.0im	-0.034590211480265594 - 0.0004962804856511879im	0.00019082478263852127 + 4.824562743124163e-5im	0.0001908883235919502 + 4.8398874005197236e-5im	-0.05318984476866013 - 0.0023256097020338063im
-1.79264743503561 + 0.0im	-0.034905121267854756 - 0.000520277997700749im	0.00019444572221525118 + 5.069429382875956e-5im	0.0001945056490924601 + 5.085520547269021e-5im	-0.0539098853072705 - 0.0024546903923428716im
-1.774898450530307 + 0.0im	-0.035223324730899286 - 0.0005452541694565676im	0.00019819393373202748 + 5.325294100015867e-5im	0.0001982500799963492 + 5.3421753165557504e-5im	-0.05464468789034757 - 0.0025902892464759186im
