-2.0 + 0.0im	0.05487574660390536 - 0.0009378790051173451im	-0.0030093999276583 + 8.440118864096882e-5im	-0.0029874741289390872 + 0.00010275285533896735im	-0.13451368588597823 - 0.0027626586968843934im
-1.98019801980198 + 0.0im	0.05289573429309887 - 0.0009672127614616132im	-0.0028572014636893033 + 8.496537281186642e-5im	-0.002803076681530753 + 0.00010342265804065713im	-0.13980829634132927 - 0.0027991402547953874im
-1.96059209881384 + 0.0im	0.05270685318937792 - 0.0010114856244841804im	-0.0028641195585484436 + 8.925156485681799e-5im	-0.0028123436573775215 + 0.00010872239377384302im	-0.13988084210910304 - 0.0029421019796164478im
-1.94118029585529 + 0.0im	0.05243586340970768 - 0.001056703220519794im	-0.002864004282322445 + 9.35463827665283e-5im	-0.0028130765032097394 + 0.00011403750702316936im	-0.1401870343710211 - 0.0030863440043731698im
-1.92196068896563 + 0.0im	0.052130554481381715 - 0.0011032327978524952im	-0.002861030346485358 + 9.794156987813831e-5im	-0.002810351112419663 + 0.00011948245429690659im	-0.14058953915852454 - 0.0032345044495516494im
-1.9029313752135 + 0.0im	0.051805587639222196 - 0.0011512046243207941im	-0.0028564806558680203 + 0.00010246758495480387im	-0.0028057267571442077 + 0.0001250955867643617im	-0.14104622081395055 - 0.0033874846059533843im
-1.88409047050841 + 0.0im	0.051467374930435066 - 0.00120069041789355im	-0.002850916465059936 + 0.0001071398486000864im	-0.0027998848939830984 + 0.0001308965901338038im	-0.14153867770060422 - 0.0035457601793628894im
-1.86543610941427 + 0.0im	0.051119302101894915 - 0.0012517402762002216im	-0.0028446310118565277 + 0.00011196831896040013im	-0.00279318549339773 + 0.00013689843478157794im	-0.1420572621911238 - 0.003709653097669911im
-1.84696644496462 + 0.0im	0.05076330549394448 - 0.001304393838975646im	-0.002837797538344719 + 0.0001169604874649351im	-0.0027858366725516635 + 0.0001431109966493765im	-0.14259635237075846 - 0.003879415907336643im
-1.82867964847983 + 0.0im	0.05040065243779916 - 0.0013586854772482334im	-0.0028305261936286117 + 0.00012212265813122818im	-0.002777973448415125 + 0.00014954267011576687im	-0.14315225118153838 - 0.004055268083051831im
-1.81057390938597 + 0.0im	0.05003217942890326 - 0.0014146459081803254im	-0.0028228903748187236 + 0.00012746036675184287im	-0.0027696861923076554 + 0.00015620100885734071im	-0.14372260936791031 - 0.004237408147552969im
-1.79264743503561 + 0.0im	0.04965849078154903 - 0.0014723036348921327im	-0.0028149426274223445 + 0.0001329787705580369im	-0.0027610395766733075 + 0.0001630930671510186im	-0.1443057121252662 - 0.004426023835628404im
-1.77489845053031 + 0.0im	0.04928001540601187 - 0.001531685166748482im	-0.0028067209017530823 + 0.00013868276167780739im	-0.0027520798430289346 + 0.00017022555770588983im	-0.1449002844757572 - 0.004621296066669916im
-1.75732519854486 + 0.0im	0.04889707882876726 - 0.0015928155454369493im	-0.0027982545197507073 + 0.00014457704773368775im	-0.0027428439585255797 + 0.0001776050536120539im	-0.14550541540221362 - 0.004823400759687828im
-1.73992593915333 + 0.0im	0.04850993421598379 - 0.0016557184351296884im	-0.002789565123088309 + 0.0001506662210434557im	-0.002733359477344033 + 0.00018523792247319496im	-0.1461203257519054 - 0.005032511011603285im
-1.72269894965676 + 0.0im	0.048118781919565284 - 0.0017204163421973054im	-0.0027806725197043135 + 0.00015695480738717535im	-0.0027236495388202175 + 0.00019313048220802464im	-0.1467444213716364 - 0.005248797678583341im
-1.70564252441263 + 0.0im	0.04772378017770263 - 0.0017869305561090114im	-0.002771589237078962 + 0.00016344721211119175im	-0.002713732485775985 + 0.0002012889856134403im	-0.14737727053277364 - 0.005472429343107802im
-1.68875497466597 + 0.0im	0.04732506461498789 - 0.001855281367527588im	-0.0027623277724970483 + 0.00017014783892383117im	-0.002703624124835628 + 0.00020971959515073623im	-0.14801843668377712 - 0.005703573671200774im
-1.67203462838215 + 0.0im	0.04692274240297449 - 0.0019254878951923053im	-0.0027528986834505745 + 0.0001770610298645368im	-0.0026933380616955237 + 0.00021842844511946158im	-0.14866758561109092 - 0.005942396814231842im
-1.65547983008134 + 0.0im	0.046516908496350325 - 0.001997568262308887im	-0.002743310439670869 + 0.00018419108031919644im	-0.0026828861757759504 + 0.00022742161790131646im	-0.14932442022383505 - 0.006189063736044898im
-1.63908894067459 + 0.0im	0.04610763649151735 - 0.0020715394909390453im	-0.0027335706231105877 + 0.0001915422501095406im	-0.0026722788986979764 + 0.00023670512831479575im	-0.14998868666810655 - 0.006443737514194438im
-1.62286033730158 + 0.0im	0.045694995042497855 - 0.002147417635178083im	-0.0027236859725195965 + 0.00019911879048955438im	-0.0026615265755270397 + 0.00024628504402686246im	-0.1506601208981003 - 0.006706582933578791im
-1.60679241316988 + 0.0im	0.04527904480907095 - 0.0022252177051363823im	-0.0027136631049653123 + 0.00020692488467082993im	-0.0026506368445218566 + 0.0002561671856069491im	-0.15133852607723192 - 0.006977758223131055im
-1.59088357739592 + 0.0im	0.04485983968263781 - 0.0023049538831601797im	-0.002703507103398829 + 0.00021496467977318013im	-0.00263961942108624 + 0.00026635754276041305im	-0.15202373447387602 - 0.007257423886182417im
-1.57513225484744 + 0.0im	0.04443742096976326 - 0.0023866391076112184im	-0.0026932230702200457 + 0.00022324232389287749im	-0.002628481816628675 + 0.00027686190961468375im	-0.15271550799561287 - 0.007545738807256428im
-1.55953688598757 + 0.0im	0.044011817652189075 - 0.0024702852601900718im	-0.0026828140768099832 + 0.0002317618141820582im	-0.0026172292971033714 + 0.00028768594620101775im	-0.15341367100358902 - 0.007842859131516645im
-1.54409592672036 + 0.0im	0.043583110067195646 - 0.0025559047217980297im	-0.002672289598568945 + 0.00024052745979023283im	-0.0026058756316588 + 0.00029883562942701323im	-0.15411810169671905 - 0.008148937884931377im
