-2.0 + 0.0im	0.061083083044968206 - 0.0003490994003221025im	0.00025384352482877036 + 3.219882998906705e-5im	0.00025382716071352797 + 3.221340631107809e-5im	-0.12553106548694565 - 0.0008281439173502469im
-1.98019801980198 + 0.0im	0.060177625982378954 - 0.00036543473104248646im	0.0003155628570102303 + 3.320065201254335e-5im	0.00031556698227919156 + 3.3210377667962674e-5im	-0.12738008238353152 - 0.0008566140565060038im
-1.96059209881384 + 0.0im	0.059941071701373035 - 0.00038423660981876426im	0.0003159770298819972 + 3.500516045008645e-5im	0.00031597941365304067 + 3.5016384234899226e-5im	-0.12765198013252685 - 0.0009031361592313229im
-1.94118029585529 + 0.0im	0.05967216565076147 - 0.0004037873386846356im	0.0003191797116094665 + 3.685981124061792e-5im	0.000319180999490576 + 3.68723257893763e-5im	-0.12799803755676578 - 0.0009511054679336719im
-1.92196068896563 + 0.0im	0.05938874759283763 - 0.0004241559761315835im	0.0003235558383140759 + 3.8785218963162315e-5im	0.0003235562643621372 + 3.879897262601898e-5im	-0.12837659493045114 - 0.001000991285022062im
-1.9029313752135 + 0.0im	0.05909626355016579 - 0.00044538266136032374im	0.0003286121860357785 + 4.078965710346209e-5im	0.0003286118516162473 + 4.08046454570251e-5im	-0.12877495838663142 - 0.0010529907213337095im
-1.88409047050841 + 0.0im	0.05879707700752959 - 0.0004675007263217807im	0.0003341346584785068 + 4.2878422586534076e-5im	0.00033413360576537354 + 4.2894661682958336e-5im	-0.12918761309588744 - 0.0011072355269747375im
-1.86543610941427 + 0.0im	0.05849241917787163 - 0.0004905412652652107im	0.0003400120098990269 + 4.5055779640902945e-5im	0.00034001024227492784 + 4.5073296174493215e-5im	-0.12961170378415554 - 0.0011638348576240199im
-1.84696644496462 + 0.0im	0.05818300090874888 - 0.0005145344381140535im	0.00034617965929455066 + 4.732554719851894e-5im	0.0003461771609881443 + 4.734437387100146e-5im	-0.13004557390489874 - 0.0012228884942566843im
-1.82867964847983 + 0.0im	0.0578692710663984 - 0.0005395101595221416im	0.00035259704946214365 + 4.9691378581983514e-5im	0.00035259379707698515 + 4.971155220422777e-5im	-0.13048820917327916 - 0.0012844930313365133im
-1.81057390938597 + 0.0im	0.05755152494166044 - 0.0005654982393581206im	0.0003592376847092524 + 5.2156832116427846e-5im	0.00035923362903655443 + 5.2178391511768806e-5im	-0.1309389276752101 - 0.0013487428207659242im
-1.79264743503561 + 0.0im	0.057229968508518095 - 0.0005925285410606166im	0.0003660832262366064 + 5.472545516293302e-5im	0.0003660783356233648 + 5.4748441423960344e-5im	-0.13139726990451706 - 0.001415732377867647im
-1.77489845053031 + 0.0im	0.056904747302669124 - 0.000620630975015011im	0.00037312054545608417 + 5.7400804303720846e-5im	0.0003731147411880116 + 5.742525825552356e-5im	-0.1318629145051111 - 0.00148555678468316im
-1.75732519854486 + 0.0im	0.056575969071226466 - 0.0006498355371447695im	0.0003803403819728203 + 6.018646301017526e-5im	0.0003803336057157739 + 6.021242667924734e-5im	-0.13233562496088258 - 0.0015583116064857472im
-1.73992593915333 + 0.0im	0.056243714455662834 - 0.0006801722982728668im	0.0003877356068359357 + 6.308605652523066e-5im	0.00038772782323239906 + 6.311357304197293e-5im	-0.13281523632166303 - 0.0016340939158906089im
-1.72269894965676 + 0.0im	0.055908044028877106 - 0.0007116713835464446im	0.00039530106507031223 + 6.61032632755923e-5im	0.0003952921384651647 + 6.613237189628769e-5im	-0.13330162477491442 - 0.0017130017414045534im
-1.70564252441263 + 0.0im	0.05556900528041267 - 0.0007443629386302039im	0.0004030326212259384 + 6.924178987730049e-5im	0.00040302249147621417 + 6.927253249444862e-5im	-0.13379469155329832 - 0.0017951339224236004im
-1.68875497466597 + 0.0im	0.05522663909842595 - 0.0007782771194258278im	0.0004109272749880506 + 7.250541381682756e-5im	0.00041091585334144794 + 7.253783049204896e-5im	-0.13429438123723622 - 0.001880591108318569im
-1.67203462838215 + 0.0im	0.054880975081974016 - 0.0008134440324015707im	0.0004189825788259526 + 7.589795848588473e-5im	0.00041896977150121084 + 7.593208814500088e-5im	-0.1348006303252636 - 0.0019694748707498504im
-1.65547983008134 + 0.0im	0.05453203808906061 - 0.0008498937221224024im	0.0004271967474242486 + 7.942330088925045e-5im	0.0004271824530104844 + 7.945918110886297e-5im	-0.13531340643321035 - 0.002061888031937357im
-1.63908894067459 + 0.0im	0.054179849692878104 - 0.0008876561042426649im	0.00043556828612165973 + 8.308536749298718e-5im	0.0004355524096010135 + 8.312303472251445e-5im	-0.13583267865467533 - 0.002157934489242098im
-1.62286033730158 + 0.0im	0.053824429290980795 - 0.0009267609581893855im	0.00044409596186575163 + 8.688814987989541e-5im	0.00044407836694562253 + 8.69276372082722e-5im	-0.1363584293761271 - 0.0022577195854436563im
-1.60679241316988 + 0.0im	0.05346578707105073 - 0.0009672378754222243im	0.00045277881588962234 + 9.08356716750565e-5im	0.00045275939926259814 + 9.087701157532307e-5im	-0.1368906396317288 - 0.002361349291098883im
-1.59088357739592 + 0.0im	0.053103944070508474 - 0.0010091162202493975im	0.00046161623510641327 + 9.49320180282422e-5im	0.0004615948609275342 + 9.497523958864517e-5im	-0.13742929268732756 - 0.0024689303812977315im
-1.57513225484744 + 0.0im	0.0527389082300773 - 0.0010524250664248396im	0.0004706074638310532 + 9.918132677828203e-5im	0.00047058399665055457 + 9.922645810486168e-5im	-0.13797439138146209 - 0.0025805714067484347im
-1.55953688598757 + 0.0im	0.05237069275811282 - 0.0010971931495410226im	0.0004797525271520881 + 0.00010358776196856348im	0.0004797268735153577 + 0.00010363482613388205im	-0.1385259232085234 - 0.002696381239218719im
-1.54409592672036 + 0.0im	0.05199930961950204 - 0.0011434490307827133im	0.0004890492052519637 + 0.00010815558929883122im	0.0004890211861734875 + 0.00010820460762780857im	-0.1390838763061888 - 0.0028164689223828835im
-1.52880784823798 + 0.0im	0.0516247671838897 - 0.0011912205847017397im	0.0004984987571062227 + 0.00011288903713127952im	0.0004984682602863662 + 0.00011294002814133305im	-0.13964825675113368 - 0.0029409454595366587im
-1.51367113686929 + 0.0im	0.051247077672325454 - 0.0012405354613998331im	0.0005081004060546176 + 0.0001177924469424323im	0.0005080672700206658 + 0.00011784542302078715im	-0.14021905473256197 - 0.00306992157017374im
-1.49868429392999 + 0.0im	0.05086625157631748 - 0.0012914207658547383im	0.0005178535341553109 + 0.0001228701529973802im	0.0005178176112837808 + 0.0001229251255039697im	-0.14079626543267526 - 0.0032035086729768967im
-1.48384583557425 + 0.0im	0.05048229417843644 - 0.0013439031144264959im	0.0005277578550972586 + 0.00012812654820726813im	0.0005277189600339908 + 0.00012818352140027626im	-0.14137988262923415 - 0.003341818278664232im
-1.46915429264777 + 0.0im	0.050095220124645956 - 0.0013980085468691338im	0.0005378130558179618 + 0.000133566062690956im	0.000537771031912812 + 0.00013362503832956872im	-0.1419699074635788 - 0.0034849629254032973im
-1.45460821054235 + 0.0im	0.04970504080987772 - 0.0014537625392783918im	0.0005480185154916497 + 0.00013919315703192638im	0.0005479732167148028 + 0.00013925413331598844im	-0.14256632763636165 - 0.0036330548111653573im
-1.44020614905183 + 0.0im	0.049311759263518135 - 0.0015111899131660628im	0.0005583739331680025 + 0.00014501232410514835im	0.0005583251304522366 + 0.0001450752907014942im	-0.14316913693904865 - 0.003786206665017457im
-1.42594668222953 + 0.0im	0.04891539361605614 - 0.0015703149172771834im	0.0005688787797379752 + 0.00015102809433953064im	0.0005688262903755163 + 0.00015109303620234623im	-0.14377832627694243 - 0.003944530948723284im
-1.41182839824706 + 0.0im	0.04851595060565077 - 0.0016311610003321114im	0.0005795325256208779 + 0.00015724501453810415im	0.000579476186240503 + 0.00015731191112941588im	-0.14439388701499087 - 0.004108140278844457im
-1.39784989925452 + 0.0im	0.04811344284214831 - 0.0016937509755361887im	0.0005903346196656145 + 0.00016366765921524648im	0.0005902742742048704 + 0.00016373648212031513im	-0.1450158064357885 - 0.0042771467471661466im
-1.3840098012421 + 0.0im	0.04770788081465728 - 0.0017581068802287535im	0.0006012844920347375 + 0.00017030062765696697im	0.0006012198717216424 + 0.00017037134631955243im	-0.14564407045906644 - 0.004451662903560148im
-1.37030673390307 + 0.0im	0.04729927158194925 - 0.0018242500126800661im	0.0006123814777571719 + 0.0001771485279430807im	0.0006123124590864941 + 0.00017722110608791398im	-0.14627866569639122 - 0.004631799622948073im
-1.35673934049808 + 0.0im	0.046887634015476146 - 0.0018922008619876253im	0.0006236250298055014 + 0.00018421603259286882im	0.0006235512786504744 + 0.00018429041184163364im	-0.1469195799351041 - 0.004817668884549907im
-1.34330627772088 + 0.0im	0.04647297105475962 - 0.001961979123722047im	0.000635014146422878 + 0.00019150776522042874im	0.0006349355737502367 + 0.00019158390257735807im	-0.147566789346939 - 0.005009381370677444im
-1.33000621556522 + 0.0im	0.046055300519880965 - 0.0020336036703054593im	0.0006465482735721115 + 0.00019902841653733286im	0.0006464645856822374 + 0.00019910624332434827im	-0.14822028177841373 - 0.005207046975780873im
-1.31683783719329 + 0.0im	0.04563463210630525 - 0.002107092533224272im	0.0006582264254611436 + 0.0002067826719959338im	0.0006581373278653842 + 0.00020686211007825818im	-0.1488800298613748 - 0.005410775378263065im
-1.30379983880524 + 0.0im	0.04521097475679108 - 0.002182462894042185im	0.000670047696463231 + 0.00021477519755629866im	0.0006699530142397637 + 0.00021485617116692856im	-0.1495461142636713 - 0.0056206750401274165im
-1.29089092951014 + 0.0im	0.044784347453771724 - 0.0022597310326159794im	0.0006820114351365461 + 0.00022301075029407635im	0.0006819109363177504 + 0.0002230931704257522im	-0.15021821841479727 - 0.005836853213496574im
