w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-2.0 + 0.0im	-0.03136893785158486 - 2.3643411552867615e-5im	-2.6982375411176775e-8 - 1.9168278768395903e-8im	1.2979593004971498e-8 + 9.231671260766164e-9im	0.07378422358963126 + 8.992296518192197e-5im
-1.9801980198019802 + 0.0im	-0.031714732616948994 - 2.5135559718899825e-5im	-6.227337896478215e-8 - 2.0391904751004968e-8im	2.9975793954036164e-8 + 9.8209805443411e-9im	0.07475582839492875 + 9.563995724898323e-5im
-1.9605920988138417 + 0.0im	-0.03201768594744405 - 2.670770135081755e-5im	-6.055493598793199e-8 - 2.168287215251763e-8im	2.914774690015956e-8 + 1.044272158985326e-8im	0.07556342659611161 + 0.00010166838493019174im
-1.9411802958552888 + 0.0im	-0.032325498777582874 - 2.8363140295155453e-5im	-6.048311976134723e-8 - 2.304416674577141e-8im	2.911277079051607e-8 + 1.1098332297418101e-8im	0.07638849587764904 + 0.00010802167384645703im
-1.9219606889656324 + 0.0im	-0.03263699426696808 - 3.010525410179996e-5im	-6.108565604156058e-8 - 2.447886454913528e-8im	2.9402510087934978e-8 + 1.1789294022218692e-8im	0.07722659377241495 + 0.00011471361346479297im
-1.9029313752134975 + 0.0im	-0.03295182968834361 - 3.193749183620012e-5im	-6.206547375135413e-8 - 2.5990132547209974e-8im	2.987398845038976e-8 + 1.2517131920940912e-8im	0.07807648138460893 + 0.00012175835557485773im
-1.8840904705084134 + 0.0im	-0.03326987243595249 - 3.3863371623288814e-5im	-6.329628122548124e-8 - 2.7581229357314768e-8im	3.046628357465625e-8 + 1.328341527205698e-8im	0.07893768557946139 + 0.0001291704122026149im
-1.8654361094142706 + 0.0im	-0.0335910625850497 - 3.588647791920488e-5im	-6.47099134529091e-8 - 2.925550584618334e-8im	3.1146665157402025e-8 + 1.408975777208466e-8im	0.07981004675867037 + 0.0001369646529703791im
-1.8469664449646244 + 0.0im	-0.03391537823963931 - 3.801045850791786e-5im	-6.626940695889829e-8 - 3.101640570223246e-8im	3.1897255734338333e-8 + 1.493781781040417e-8im	0.08069351471370426 + 0.00014515630191723496im
-1.828679648479826 + 0.0im	-0.03424281306159291 - 4.023902122094246e-5im	-6.795011979071046e-8 - 3.286746596975876e-8im	3.270621185400815e-8 + 1.582929872569121e-8im	0.08158813542453032 + 0.00015376093379884472im
-1.8105739093859663 + 0.0im	-0.03457337161899482 - 4.25759303794879e-5im	-6.973615746670828e-8 - 3.481231755244754e-8im	3.356587796609806e-8 + 1.6765949047520394e-8im	0.08249398256581847 + 0.0001627944698909853im
-1.79264743503561 + 0.0im	-0.034907064339967174 - 4.502500295961727e-5im	-7.161625052032063e-8 - 3.685468569464846e-8im	3.4470820728236994e-8 + 1.7749562727209426e-8im	0.08341114343957884 + 0.0001722731733267701im
-1.774898450530307 + 0.0im	-0.03524390595541113 - 4.7590104482287836e-5im	-7.358268603621968e-8 - 3.899839044997805e-8im	3.5417340668788536e-8 + 1.8781979362505755e-8im	0.08433973534697031 + 0.00018221364400341619im
-1.7573251985448584 + 0.0im	-0.03558391350904175 - 5.0275144631504224e-5im	-7.562928129963856e-8 - 4.1247347147944733e-8im	3.6402443713571494e-8 + 1.9865084421265252e-8im	0.08527989563299583 + 0.0001926328131005869im
-1.739925939153325 + 0.0im	-0.035927106114381546 - 5.3084072605238555e-5im	-7.77513190855897e-8 - 4.360556687045438e-8im	3.7423963591241256e-8 + 2.10008094698319e-8im	0.08623175749283736 + 0.00020354793725878596im
-1.7226989496567575 + 0.0im	-0.03627350378243706 - 5.6020872205245944e-5im	-7.994621548992955e-8 - 4.607715695123917e-8im	3.848034743945977e-8 + 2.2191132412398047e-8im	0.08719546536737881 + 0.00021497659247295763im
-1.7056425244126312 + 0.0im	-0.03662312931239933 - 5.9089556673431394e-5im	-8.221055917443226e-8 - 4.866632151245308e-8im	3.9570268852239674e-8 + 2.343807774820282e-8im	0.08817117935725684 + 0.0002269366677633786im
-1.6887549746659716 + 0.0im	-0.036976003476604326 - 6.229416328399301e-5im	-8.454202229441084e-8 - 5.1377362053885345e-8im	4.069248589057586e-8 + 2.4743716854009205e-8im	0.089159042989485 + 0.0002394463586930611im
-1.6720346283821501 + 0.0im	-0.03733214975391455 - 6.5638747702174e-5im	-8.693939719191593e-8 - 5.421467811146171e-8im	4.184643547146577e-8 + 2.611016829988517e-8im	0.09015922032911329 + 0.00025252416080823506im
-1.6554798300813367 + 0.0im	-0.03769159035943733 - 6.912737812209084e-5im	-8.93999489071685e-8 - 5.718276800290999e-8im	4.303078511801563e-8 + 2.753959820689751e-8im	0.09117188888137953 + 0.0002661888630859911im
-1.6390889406745908 + 0.0im	-0.03805434977983306 - 7.276412919776491e-5im	-9.192334880367836e-8 - 6.028622967967164e-8im	4.424538054783354e-8 + 2.903422065590629e-8im	0.09219720772033958 + 0.00028045954148086193im
-1.622860337301575 + 0.0im	-0.03842045153184139 - 7.655307578315434e-5im	-9.450817660339676e-8 - 6.352976170532404e-8im	4.5489536905299215e-8 + 3.059629815721809e-8im	0.09323534969498148 + 0.0002953555526699316im
-1.6067924131698763 + 0.0im	-0.03878991961801502 - 8.049828649865848e-5im	-9.715318259411568e-8 - 6.691816438193853e-8im	4.676265148325959e-8 + 3.222814219141487e-8im	0.09428650338751474 + 0.0003108965281040114im
-1.5908835773959171 + 0.0im	-0.0391627783370582 - 8.4603817143235e-5im	-9.985747000845485e-8 - 7.045634104692561e-8im	4.806429148562093e-8 + 3.3932113832217966e-8im	0.09535084573754411 + 0.00032710236848045515im
-1.5751322548474427 + 0.0im	-0.0395390528078716 - 8.887370397292341e-5im	-1.0262001286791278e-7 - 7.414929956400733e-8im	4.9393961885996684e-8 + 3.571062446277165e-8im	0.09642856781541777 + 0.0003439932387612881im
-1.559536885987567 + 0.0im	-0.03991876622461824 - 9.331195686819345e-5im	-1.0544104069556359e-7 - 7.800215403299286e-8im	5.0751772176271914e-8 + 3.756613659722831e-8im	0.09751984672814938 + 0.0003615895638684922im
-1.5440959267203633 + 0.0im	-0.04030194398831414 - 9.792255241412222e-5im	-1.0831698304903967e-7 - 8.202012674401486e-8im	5.2136002043411363e-8 + 3.950116481999208e-8im	0.09862488531325427 + 0.0003799120251964549im
-1.5288078482379834 + 0.0im	-0.04068860971369408 - 0.00010270942691894485im	-1.1124984841192071e-7 - 8.620855040280151e-8im	5.354761755584615e-8 + 4.151827685541816e-8im	0.09974387532619822 + 0.0003989815580897855im
-1.5136711368692906 + 0.0im	-0.04107879133741436 - 0.00010767646939799255im	-1.142373402427433e-7 - 9.057287065439934e-8im	5.4985511757312445e-8 + 4.3620094781170246e-8im	0.10087703151385753 + 0.0004188193504428578im
-1.4986842939299907 + 0.0im	-0.04147251146261241 - 0.00011282751455144205im	-1.1727970729737071e-7 - 9.51186489335251e-8im	5.6449803320271223e-8 + 4.580929639880688e-8im	0.10202453600635844 + 0.00043944684258556736im
-1.483845835574248 + 0.0im	-0.04186979547407746 - 0.00011816633576560306im	-1.2037503471847149e-7 - 9.985156567039538e-8im	5.7939568987397764e-8 + 4.8088616775489585e-8im	0.10318661950221143 + 0.00046088572862785im
-1.4691542926477703 + 0.0im	-0.042270669365880816 - 0.00012369663816869892im	-1.2352367381803334e-7 - 1.0477742388146028e-7im	5.9454976765492696e-8 + 5.0460849970984565e-8im	0.10436348652999464 + 0.00048315795944351277im
