w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-2.0 + 0.0im	-0.06266257305057699 - 4.1284722289859575e-5im	-1.2069525630655046e-8 - 7.498691870674116e-9im	2.5097823160856454e-8 + 1.5578104576522823e-8im	0.03392521825375848 + 3.425453924823714e-5im
-1.9801980198019802 + 0.0im	-0.0633197767145778 - 4.388799372300476e-5im	-2.5914713038873884e-8 - 7.975284792691533e-9im	5.3860808413406315e-8 + 1.6568179822378257e-8im	0.03434178113239637 + 3.6423073769116467e-5im
-1.9605920988138417 + 0.0im	-0.06390225503577958 - 4.663055383973471e-5im	-2.528265987807702e-8 - 8.47786658221907e-9im	5.25481646071023e-8 + 1.7612243241544343e-8im	0.03469605069366227 + 3.870867111840989e-5im
-1.9411802958552888 + 0.0im	-0.06449329377346832 - 4.951812417716759e-5im	-2.529607203203278e-8 - 9.007563337404474e-9im	5.257644557969016e-8 + 1.871263408479857e-8im	0.03505714808638479 + 4.11162587780955e-5im
-1.9219606889656324 + 0.0im	-0.06509082975794984 - 5.255655034053029e-5im	-2.5573899873174765e-8 - 9.565532441080603e-9im	5.31540418751575e-8 + 1.9871756588795894e-8im	0.03542337942333158 + 4.3650884707877566e-5im
-1.9029313752134975 + 0.0im	-0.06569425925494028 - 5.575179781171123e-5im	-2.600018481020751e-8 - 1.0152962520611605e-8im	5.4040055772259275e-8 + 2.109207989266697e-8im	0.03579425964457698 + 4.631771527499766e-5im
-1.8840904705084134 + 0.0im	-0.06630334100140994 - 5.910994726579259e-5im	-2.6525249156511063e-8 - 1.077107336529531e-8im	5.5131284542017604e-8 + 2.237613786646412e-8im	0.03616960833499448 + 4.912203286580404e-5im
-1.8654361094142706 + 0.0im	-0.06691796307497598 - 6.263718938773254e-5im	-2.7122660061740815e-8 - 1.1421115801972955e-8im	5.637281540995743e-8 + 2.3726528852809262e-8im	0.03654935127093373 + 5.206923317655242e-5im
-1.8469664449646244 + 0.0im	-0.06753808435061406 - 6.633981918313273e-5im	-2.7777817306081884e-8 - 1.210437152983207e-8im	5.773431714572236e-8 + 2.5145915323792666e-8im	0.03693346841922215 + 5.5164822182413896e-5im
-1.828679648479826 + 0.0im	-0.06816368033373607 - 7.022422977892276e-5im	-2.8480927975514983e-8 - 1.2822152915740492e-8im	5.9195445690427747e-8 + 2.6637023455904174e-8im	0.03732196398532241 + 5.841441278525843e-5im
-1.8105739093859663 + 0.0im	-0.06879475248868414 - 7.429690571182141e-5im	-2.922569420662858e-8 - 1.3575802751818142e-8im	6.074311523480671e-8 + 2.8202642626542012e-8im	0.03771485755611866 + 6.182372114248138e-5im
-1.79264743503561 + 0.0im	-0.06943131094975592 - 7.856441570458938e-5im	-3.000796318108215e-8 - 1.4366693977336602e-8im	6.23687056435826e-8 + 2.984562483644319e-8im	0.03811217893150396 + 6.539856268092093e-5im
-1.774898450530307 + 0.0im	-0.07007337247006132 - 8.30334049323709e-5im	-3.082433380430799e-8 - 1.5196229367433793e-8im	6.406514435144312e-8 + 3.156888406320369e-8im	0.03851396330697788 + 6.914484780179029e-5im
-1.7573251985448584 + 0.0im	-0.07072095892859745 - 8.771058678381633e-5im	-3.1672874234027376e-8 - 1.6065841191540462e-8im	6.582842029194629e-8 + 3.3375395551906376e-8im	0.03892025019953434 + 7.306857728450037e-5im
-1.739925939153325 + 0.0im	-0.07137409433989994 - 9.260273412418481e-5im	-3.255149126468689e-8 - 1.697699084483426e-8im	6.765418538412951e-8 + 3.5268195049746465e-8im	0.03933108292031493 + 7.717583739927696e-5im
-1.7226989496567575 + 0.0im	-0.07203280577409676 - 9.771667007023968e-5im	-3.3458490509274826e-8 - 1.7931168456465173e-8im	6.953891937010108e-8 + 3.7250377992432066e-8im	0.03974650615217409 + 8.147279474057009e-5im
-1.7056425244126312 + 0.0im	-0.07269712068290014 - 0.00010305925828944814im	-3.439320188780103e-8 - 1.892989247872914e-8im	7.148123056984417e-8 + 3.9325098651037346e-8im	0.04016656703782936 + 8.596569079540651e-5im
-1.6887549746659716 + 0.0im	-0.07336706760867087 - 0.00010863739283878771im	-3.535453703509537e-8 - 1.9974709261803973e-8im	7.347885798579526e-8 + 4.149556924889537e-8im	0.04059131535695405 + 9.06608362630365e-5im
-1.6720346283821501 + 0.0im	-0.07404267698477274 - 0.00011445798756131874im	-3.6341811464277404e-8 - 2.1067192619099896e-8im	7.553037974044318e-8 + 4.376505905902492e-8im	0.041020801343370966 + 9.556460514446691e-5im
-1.6554798300813367 + 0.0im	-0.07472397969037066 - 0.00012052796506159828im	-3.735405788052656e-8 - 2.220894338871271e-8im	7.763378649734185e-8 + 4.613689349349385e-8im	0.041455075052636986 + 0.0001006834286227359im
-1.6390889406745908 + 0.0im	-0.07541100560881624 - 0.00012685424528397822im	-3.839098398277154e-8 - 2.340158899690007e-8im	7.978847110784279e-8 + 4.86144531970172e-8im	0.04189419036919645 + 0.0001060237887570692im
-1.622860337301575 + 0.0im	-0.07610378526377347 - 0.00013344373372081836im	-3.945194317145425e-8 - 2.4646783029924406e-8im	8.199309045249317e-8 + 5.120117315796887e-8im	0.04233820032720411 + 0.00011159221201633862im
-1.6067924131698763 + 0.0im	-0.07680235154503415 - 0.00014030330928066118im	-4.053646601702178e-8 - 2.5946204821019895e-8im	8.424666945895148e-8 + 5.390054185084386e-8im	0.04278715934603297 + 0.00011739526267951533im
-1.5908835773959171 + 0.0im	-0.077506734986273 - 0.0001474398118494134im	-4.164409052902819e-8 - 2.730155905963911e-8im	8.654824852081396e-8 + 5.671610042503477e-8im	0.04324112278165239 + 0.0001234395361330564im
-1.5751322548474427 + 0.0im	-0.07821696822641569 - 0.00015486002958057504im	-4.2774380995505076e-8 - 2.87145754305165e-8im	8.889692262807673e-8 + 5.965144195558249e-8im	0.04370014677041115 + 0.0001297316520973682im
-1.559536885987567 + 0.0im	-0.07893307989390184 - 0.00016257068595349863im	-4.3927212190183204e-8 - 3.0187008290446665e-8im	9.129243175129198e-8 + 6.2710210772303e-8im	0.04416428960581201 + 0.0001362782478166351im
-1.5440959267203633 + 0.0im	-0.07965510287200042 - 0.00017057842664155504im	-4.510159999270442e-8 - 3.172063639100991e-8im	9.373273168723165e-8 + 6.589610188439487e-8im	0.04463360681533752 + 0.00014308597124837867im
-1.5288078482379834 + 0.0im	-0.0803830684131006 - 0.00017888980623489672im	-4.62973248261127e-8 - 3.331726265578675e-8im	9.621736654723398e-8 + 6.921286051826827e-8im	0.04510815765837679 + 0.00015016147429110105im
-1.5136711368692906 + 0.0im	-0.08111700395626556 - 0.00018751127486521714im	-4.751409358174277e-8 - 3.497871402087718e-8im	9.874572720273078e-8 + 7.266428178690833e-8im	0.04558800248147725 + 0.00015751140609023651im
-1.4986842939299907 + 0.0im	-0.08185695113595537 - 0.00019644916478250707im	-4.875178853043215e-8 - 3.6706841347782905e-8im	1.0131756973456703e-7 + 7.625421050958817e-8im	0.04607320226592747 + 0.00016514240646440436im
-1.483845835574248 + 0.0im	-0.08260293198758684 - 0.00020570967693625284im	-5.0009633423223514e-8 - 3.8503519417911115e-8im	1.0393128134592311e-7 + 7.998654120116356e-8im	0.04656381708095841 + 0.00017306109949555992im
-1.4691542926477703 + 0.0im	-0.08335497616004679 - 0.0002152988676158162im	-5.128719525024633e-8 - 4.037064701811999e-8im	1.065859626875052e-7 + 8.386521825051374e-8im	0.04705990918096313 + 0.00018127408732810895im
-1.4546082105423468 + 0.0im	-0.08411311956540583 - 0.00022522263520683295im	-5.258424842950377e-8 - 4.231014712683874e-8im	1.0928114569203479e-7 + 8.789423630793219e-8im	0.04756154134384033 + 0.00018978794422332915im
-1.4402061490518285 + 0.0im	-0.08487739071083349 - 0.0002354867071223649im	-5.390041534418164e-8 - 4.432396721036255e-8im	1.1201604574470773e-7 + 9.207764090140427e-8im	0.04806877785334618 + 0.0001986092109165418im
-1.4259466822295332 + 0.0im	-0.08564782001619956 - 0.00024609662696920725im	-5.5235195103408426e-8 - 4.641407963893624e-8im	1.1478962254723985e-7 + 9.641952930174205e-8im	0.048581682916364305 + 0.00020774438932535835im
