w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-2.0 + 0.0im	-0.48259904387360375 - 0.00036374479354220633im	1.998692655332124e-7 + 1.4198723165586188e-7im	1.9968661166891372e-7 + 1.4202576503688368e-7im	-0.5465498043691619 - 0.0006660960386019022im
-1.9801980198019802 + 0.0im	-0.48791896334151197 - 0.00038670091918857944im	4.612840715812709e-7 + 1.510511266820751e-7im	4.611663623796674e-7 + 1.5109206379045314e-7im	-0.5537468770013909 - 0.0007084441279956377im
-1.9605920988138417 + 0.0im	-0.49257978381062484 - 0.0004108877135413839im	4.4855486495146776e-7 + 1.6061384698128106e-7im	4.484275372618631e-7 + 1.6065731279016024e-7im	-0.5597290858990205 - 0.0007530991478648069im
-1.9411802958552888 + 0.0im	-0.49731536581275604 - 0.0004363560050088593im	4.480228919441288e-7 + 1.7069750938790163e-7im	4.4788907350815597e-7 + 1.7074363357736498e-7im	-0.5658407102067027 - 0.0008001605472531939im
-1.9219606889656324 + 0.0im	-0.5021076041110002 - 0.0004631577558969683im	4.524861220667622e-7 + 1.8132489922179224e-7im	4.5234697597878986e-7 + 1.813738162329238e-7im	-0.5720488427605286 - 0.0008497304703609077im
-1.9029313752134975 + 0.0im	-0.5069512259783349 - 0.0004913460287510977im	4.5974402910922894e-7 + 1.9251947562676288e-7im	4.596001142620571e-7 + 1.9257132470695987e-7im	-0.578344306554567 - 0.0009019137452594983im
-1.8840904705084134 + 0.0im	-0.5118441913261869 - 0.0005209749485702321im	4.688611193794364e-7 + 2.0430537650752419e-7im	4.687127315968866e-7 + 2.0436030174630156e-7im	-0.5847235968868191 - 0.0009568178684375954im
-1.8654361094142706 + 0.0im	-0.5167855782354014 - 0.0005520996608334484im	4.793324669363614e-7 + 2.1670742309780553e-7im	4.791797583588297e-7 + 2.1676557345231478e-7im	-0.5911855315476398 - 0.0010145529852456834im
-1.8469664449646244 + 0.0im	-0.5217750498445028 - 0.0005847762852941415im	4.908842683016991e-7 + 2.297511241993892e-7im	4.907273074263072e-7 + 2.2981265350885568e-7im	-0.59772973862198 - 0.0010752318663436583im
-1.828679648479826 + 0.0im	-0.5268125086438207 - 0.0006190618655140947im	5.033339905176367e-7 + 2.4346268013912444e-7im	5.031727881443878e-7 + 2.4352774712738935e-7im	-0.6043565587021887 - 0.0011389698802919909im
-1.8105739093859663 + 0.0im	-0.5318980249115756 - 0.0006550143141273157im	5.165638967004738e-7 + 2.578689864986258e-7im	5.163984227658888e-7 + 2.579377547639699e-7im	-0.6110665375265619 - 0.0012058849624668143im
-1.79264743503561 + 0.0im	-0.5370317590804162 - 0.0006926923538424868im	5.304905093327453e-7 + 2.729976376792859e-7im	5.303206213725929e-7 + 2.7307027567068216e-7im	-0.6178603217766561 - 0.0012760975805208318im
-1.774898450530307 + 0.0im	-0.5422139377795905 - 0.0007321554542128149im	5.450566957179566e-7 + 2.88876930373405e-7im	5.448824689900347e-7 + 2.889536113523627e-7im	-0.6247387803499447 - 0.001349730696655656im
-1.7573251985448584 + 0.0im	-0.5474448232200986 - 0.0007734637642230071im	5.602166579767218e-7 + 3.0553586702067884e-7im	5.600379029184439e-7 + 3.05616769007806e-7im	-0.631702930616819 - 0.0014269097270169545im
-1.739925939153325 + 0.0im	-0.5527247094561341 - 0.0008166780407649633im	5.759354537080611e-7 + 3.2300415933787183e-7im	5.75753595890671e-7 + 3.230894650432988e-7im	-0.6387537592082566 - 0.0015077624985714282im
-1.7226989496567575 + 0.0im	-0.5580539043493352 - 0.0008618595730964715im	5.921939428867005e-7 + 3.413122320182965e-7im	5.920056577044123e-7 + 3.414021287550817e-7im	-0.6458923360567315 - 0.001592419203874228im
