w	self_d-self_d	selfc_d-self_d	self_d-selfc_d	selfc_d-selfc_d
-2.0 + 0.0im	-0.008459447361680215 - 5.573437499719779e-6im	-1.629302835635594e-9 - 1.0123234623438684e-9im	-1.631270823315717e-9 - 1.012576460415488e-9im	-0.0022051391863527913 - 2.2265450464660057e-6im
-1.9801980198019802 + 0.0im	-0.008548169856302107 - 5.924879142772939e-6im	-3.4983822549890265e-9 - 1.0766635127498633e-9im	-3.5008432224457542e-9 - 1.0769313363588292e-9im	-0.0022322157734542174 - 2.3674997900366855e-6im
-1.9605920988138417 + 0.0im	-0.00862680442966423 - 6.295124758090854e-6im	-3.4130774390255764e-9 - 1.1445120606251702e-9im	-3.415543738257083e-9 - 1.1447954429314793e-9im	-0.002255243294935456 - 2.516063617436472e-6im
-1.9411802958552888 + 0.0im	-0.008706594659251271 - 6.684946753183651e-6im	-3.4148775116830685e-9 - 1.2160211292305142e-9im	-3.417371403580557e-9 - 1.216320831407993e-9im	-0.002278714625460958 - 2.672556814993002e-6im
-1.9219606889656324 + 0.0im	-0.008787262017154988 - 7.095134284756114e-6im	-3.452374507610539e-9 - 1.2913469652588105e-9im	-3.4549053524214784e-9 - 1.2916637771440915e-9im	-0.0023025196623608496 - 2.8373075000860713e-6im
-1.9029313752134975 + 0.0im	-0.008868724999247212 - 7.52649269286232e-6im	-3.5099337072785322e-9 - 1.3706500334143432e-9im	-3.512506937740551e-9 - 1.3709847741555396e-9im	-0.0023266268767400417 - 3.010651486585387e-6im
-1.8840904705084134 + 0.0im	-0.008950951035019005 - 7.97984286863748e-6im	-3.580807728354915e-9 - 1.4540950052620357e-9im	-3.583427080830275e-9 - 1.4544485239671455e-9im	-0.002351024541615339 - 3.1929321296025474e-6im
-1.8654361094142706 + 0.0im	-0.009033925014948714 - 8.456020554550029e-6im	-3.661472986168191e-9 - 1.5418507424347052e-9im	-3.6641413134810738e-9 - 1.5422239188198715e-9im	-0.0023757078324494908 - 3.3845001493931067e-6im
-1.8469664449646244 + 0.0im	-0.009117641387158077 - 8.955875576355244e-6im	-3.749884454572813e-9 - 1.6340902743313957e-9im	-3.75260409827863e-9 - 1.6344840193692773e-9im	-0.002400675447086281 - 3.5857134343420747e-6im
-1.828679648479826 + 0.0im	-0.009202096844877702 - 9.48027100618769e-6im	-3.844808104934554e-9 - 1.7309907704874083e-9im	-3.847581096501418e-9 - 1.7314060270560485e-9im	-0.002425927658880791 - 3.7969368230698915e-6im
-1.8105739093859663 + 0.0im	-0.009287291585793792 - 1.0030082256503398e-5im	-3.945368763705274e-9 - 1.8327335078464426e-9im	-3.9481969198936796e-9 - 1.8331712513790786e-9im	-0.0024514657409805004 - 4.018541865806082e-6im
