-2.0 + 0.0im	0.06500000000012657 + 7.229629916239268e-15im	-8.50126088609071e-14 - 4.226881970002855e-18im	-8.597177975165674e-14 - 1.6597465679404696e-16im	-0.13499999999987303 + 9.388426790006045e-15im
-1.98019801980198 + 0.0im	0.06500000000014082 + 7.60457730891262e-15im	-9.378687080084262e-14 + 4.041266156063559e-18im	-9.50656381370327e-14 - 1.7225641381071884e-16im	-0.13499999999985496 + 9.819847775096972e-15im
-1.96059209881384 + 0.0im	0.06500000000014115 + 7.997439236662163e-15im	-9.100914913710113e-14 + 1.3087127426100798e-17im	-9.229353505707012e-14 - 1.786152559954697e-16im	-0.13499999999985504 + 1.027128076059973e-14im
-1.94118029585529 + 0.0im	0.06500000000014211 + 8.408953465184957e-15im	-1.0533332381104441e-13 + 2.295637006813761e-17im	-1.0663895180938028e-13 - 1.8503926078054047e-16im	-0.13499999999985426 + 1.0743533815945998e-14im
-1.92196068896563 + 0.0im	0.06500000000014335 + 8.839855642595691e-15im	-9.276502793591499e-14 + 3.369638698177991e-17im	-9.409287056443269e-14 - 1.9151537008598628e-16im	-0.13499999999985313 + 1.123749124353271e-14im
-1.9029313752135 + 0.0im	0.06500000000014472 + 9.290907886788657e-15im	-1.1566206159247454e-13 + 4.535633792442204e-17im	-1.170217298585754e-13 - 1.980293462723087e-16im	-0.13499999999985182 + 1.175402209916375e-14im
-1.88409047050841 + 0.0im	0.0650000000001462 + 9.762886079943542e-15im	-9.863702935140539e-14 + 5.798712862493627e-17im	-1.0002324328183018e-13 - 2.0456572064846267e-16im	-0.13499999999985038 + 1.2294012379301944e-14im
-1.86543610941427 + 0.0im	0.06500000000014775 + 1.0256595750393182e-14im	-1.2725207991507638e-13 + 7.164146144848534e-17im	-1.2867471392958377e-13 - 2.1110775356039196e-16im	-0.13499999999984882 + 1.2858390432057484e-14im
-1.84696644496462 + 0.0im	0.06500000000014935 + 1.0772849202733996e-14im	-1.0139279941847369e-13 + 8.637379383069669e-17im	-1.028423758205714e-13 - 2.1763741019599623e-16im	-0.13499999999984724 + 1.3448111710594873e-14im
-1.82867964847983 + 0.0im	0.065000000000151 + 1.1312476105737818e-14im	-1.0885672911093106e-13 + 1.0224039555991985e-16im	-1.1034131566196702e-13 - 2.241352791078407e-16im	-0.13499999999984558 + 1.406407745796999e-14im
-1.81057390938597 + 0.0im	0.06500000000015271 + 1.1876316292571852e-14im	-1.0965920337962461e-13 + 1.1929932148026624e-16im	-1.1117932581491664e-13 - 2.305805769694447e-16im	-0.13499999999984386 + 1.4707290561192382e-14im
-1.79264743503561 + 0.0im	0.06500000000015446 + 1.2465231195743455e-14im	-1.1293908120725176e-13 + 1.3761039701594845e-16im	-1.1520571239548587e-13 - 2.369510687523524e-16im	-0.13499999999984208 + 1.537868953276761e-14im
-1.77489845053031 + 0.0im	0.06500000000015624 + 1.3080113164462559e-14im	-9.661643413343025e-14 + 1.5723523181976035e-16im	-9.820585239783006e-14 - 2.432230689669041e-16im	-0.13499999999984028 + 1.6079436501899302e-14im
-1.75732519854486 + 0.0im	0.06500000000015804 + 1.3721826595851838e-14im	-9.754943736878141e-14 + 1.782372148099934e-16im	-9.917575215509868e-14 - 2.493713750741964e-16im	-0.13499999999983844 + 1.6810310738898937e-14im
-1.73992593915333 + 0.0im	0.06500000000015987 + 1.4391282473846063e-14im	-1.1830824394965156e-13 + 2.0068145668138412e-16im	-1.0634274153726106e-13 - 2.553692484609286e-16im	-0.13499999999983658 + 1.7572643779559596e-14im
-1.72269894965676 + 0.0im	0.06500000000016175 + 1.5089415922819004e-14im	-9.686048091546858e-14 + 2.246348076894972e-16im	-9.920353359251616e-14 - 2.611883739075524e-16im	-0.13499999999983467 + 1.836726910430138e-14im
-1.70564252441263 + 0.0im	0.06500000000016362 + 1.581711209220054e-14im	-1.1075905273549647e-13 + 2.501658117422015e-16im	-1.125012331611502e-13 - 2.6679885503877855e-16im	-0.13499999999983275 + 1.9195243810242457e-14im
