-2.0 + 0.0im	0.06499999999958682 - 5.641435226712488e-14im	5.090380424798673e-14 + 5.131387315375138e-15im	6.72538958113391e-14 + 6.2606623311368076e-15im	-0.13499999999962378 + 5.3214307810410284e-14im
-1.98019801980198 + 0.0im	0.06499999999948904 - 5.771499624116048e-14im	6.005833233270237e-14 + 5.3816230826089235e-15im	3.540424734881067e-14 + 6.459363935571539e-15im	-0.13499999999953213 + 5.4350506569455653e-14im
-1.96059209881384 + 0.0im	0.0649999999994994 - 5.921209850266339e-14im	5.932440779771078e-14 + 5.655464638996172e-15im	7.687040696477441e-14 + 6.580878557574425e-15im	-0.13499999999954226 + 5.576360303053257e-14im
-1.94118029585529 + 0.0im	0.06499999999950476 - 6.073469917777312e-14im	5.902024252798627e-14 + 5.937386757351328e-15im	3.3565556719547264e-14 + 6.8184224890056704e-15im	-0.13499999999954782 + 5.71933544965012e-14im
-1.92196068896563 + 0.0im	0.06499999999950816 - 6.228779478987234e-14im	5.88830444457641e-14 + 6.2278065352264665e-15im	7.579137770190712e-14 + 6.93717289839453e-15im	-0.13499999999955167 + 5.864645170960357e-14im
-1.9029313752135 + 0.0im	0.06499999999951045 - 6.387336102955964e-14im	5.883210631953595e-14 + 6.526867505001477e-15im	3.282285500416309e-14 + 7.184793587061289e-15im	-0.13499999999955445 + 6.012460371492399e-14im
-1.88409047050841 + 0.0im	0.06499999999951217 - 6.549282794227926e-14im	5.883238258462565e-14 + 6.834635113206424e-15im	7.522513634210375e-14 + 7.301476283146782e-15im	-0.13499999999955664 + 6.162960743498873e-14im
-1.86543610941427 + 0.0im	0.06499999999951347 - 6.714708553328551e-14im	5.886512260502874e-14 + 7.151140243456659e-15im	3.2381329147621993e-14 + 7.559937362338228e-15im	-0.13499999999955842 + 6.316152589787592e-14im
-1.84696644496462 + 0.0im	0.06499999999951432 - 6.883672924172267e-14im	5.891953274577746e-14 + 7.476388672781579e-15im	3.221603642514238e-14 + 7.750804491037286e-15im	-0.1349999999995598 + 6.47207889958443e-14im
-1.82867964847983 + 0.0im	0.06499999999951503 - 7.056298906474071e-14im	5.898848038065101e-14 + 7.810368225082568e-15im	3.207410877564053e-14 + 7.943827169694597e-15im	-0.1349999999995611 + 6.630888202747383e-14im
-1.81057390938597 + 0.0im	0.06499999999951563 - 7.232655045909039e-14im	5.906713654834732e-14 + 8.153050015212635e-15im	3.1949495994975443e-14 + 8.138963006958127e-15im	-0.1349999999995623 + 6.792524891658182e-14im
-1.79264743503561 + 0.0im	0.06499999999951599 - 7.412801200691385e-14im	5.915200183812391e-14 + 8.504388746761438e-15im	3.183791250009815e-14 + 8.336164287741422e-15im	-0.13499999999956333 + 6.957074401555686e-14im
-1.77489845053031 + 0.0im	0.06499999999951624 - 7.596802555915678e-14im	5.924045910346223e-14 + 8.864323750994128e-15im	3.173621224520642e-14 + 8.535377440519291e-15im	-0.1349999999995641 + 7.124431090203309e-14im
-1.75732519854486 + 0.0im	0.06499999999951644 - 7.784754627655852e-14im	5.93304428545204e-14 + 9.232778781710563e-15im	3.164200391070637e-14 + 8.736544039870709e-15im	-0.1349999999995649 + 7.29476101946089e-14im
-1.73992593915333 + 0.0im	0.0649999999995165 - 7.976698738087023e-14im	5.942031336786144e-14 + 9.609662121124424e-15im	3.1553440230236604e-14 + 8.939603426986994e-15im	-0.13499999999956572 + 7.467982586420067e-14im
-1.72269894965676 + 0.0im	0.06499999999951653 - 8.172684581195179e-14im	5.95087133525967e-14 + 9.994866460749205e-15im	3.1469069144480065e-14 + 9.144491346478165e-15im	-0.13499999999956638 + 7.644097149226022e-14im
-1.70564252441263 + 0.0im	0.06499999999951654 - 8.372828474364996e-14im	5.959449113508551e-14 + 1.0388268332297953e-14im	3.1387709922595505e-14 + 9.351139850419984e-15im	-0.1349999999995672 + 7.823274670233133e-14im
-1.68875497466597 + 0.0im	0.0649999999995165 - 8.577134917710105e-14im	5.967664507239794e-14 + 1.078972952381648e-14im	3.130839406181708e-14 + 9.559480117385486e-15im	-0.1349999999995678 + 8.005253341042821e-14im
