-2.0 + 0.0im	0.13500000000012014 + 6.946269866811919e-15im	8.407138172559559e-14 - 2.1477654649047748e-17im	8.489034539829273e-14 + 1.4241954527440264e-16im	-0.06499999999987219 + 3.5165301253596917e-15im
-1.98019801980198 + 0.0im	0.13500000000013374 + 7.264152014554038e-15im	1.050381424196719e-13 - 2.2056827282008137e-17im	1.0615737951308705e-13 + 1.4870101401863105e-16im	-0.06499999999986435 + 3.745505153859158e-15im
-1.96059209881384 + 0.0im	0.13500000000013396 + 7.59676999447954e-15im	8.268846666486594e-14 - 2.2650111202628373e-17im	8.379340421258563e-14 + 1.552589308662729e-16im	-0.06499999999986329 + 3.989590403104693e-15im
-1.94118029585529 + 0.0im	0.13500000000013476 + 7.944778563056653e-15im	9.327073758044461e-14 - 2.3255592728561316e-17im	9.43734188292618e-14 + 1.621060414297967e-16im	-0.0649999999998619 + 4.249614271318713e-15im
-1.92196068896563 + 0.0im	0.13500000000013584 + 8.308838405984235e-15im	1.0304877750705332e-13 - 2.3870979949124736e-17im	1.0415883467865694e-13 + 1.6925557336117295e-16im	-0.06499999999986038 + 4.5264674136452545e-15im
-1.9029313752135 + 0.0im	0.1350000000001371 + 8.689610208961144e-15im	9.233175238748889e-14 - 2.4493551646898484e-17im	9.34478969383846e-14 + 1.7672124007418686e-16im	-0.06499999999985875 + 4.8210163447893594e-15im
-1.88409047050841 + 0.0im	0.13500000000013843 + 9.087801244498338e-15im	1.0201407877723486e-13 - 2.512014675117169e-17im	1.0314326823687859e-13 + 1.8451723329981285e-16im	-0.06499999999985707 + 5.1341970361577435e-15im
-1.86543610941427 + 0.0im	0.13500000000013984 + 9.50408913895362e-15im	8.724550664872215e-14 - 2.5747113259539933e-17im	8.838352724120032e-14 + 1.926582193639018e-16im	-0.06499999999985534 + 5.466949694321859e-15im
-1.84696644496462 + 0.0im	0.1350000000001413 + 9.939262480000884e-15im	1.2202244217765478e-13 - 2.6370289005955998e-17im	1.2317652024544288e-13 + 2.0115931706009963e-16im	-0.06499999999985355 + 5.820297111565516e-15im
-1.82867964847983 + 0.0im	0.13500000000014278 + 1.0394003976195616e-14im	1.1833007835633865e-13 - 2.6984954718230118e-17im	1.194974036232023e-13 + 2.1003609020522184e-16im	-0.06499999999985173 + 6.195203211382689e-15im
-1.81057390938597 + 0.0im	0.13500000000014437 + 1.0869135249496654e-14im	1.0113036941751537e-13 - 2.7585832570463897e-17im	1.0215700470304152e-13 + 2.1930456707799787e-16im	-0.06499999999984987 + 6.5927369493528135e-15im
-1.79264743503561 + 0.0im	0.13500000000014592 + 1.1365405077029371e-14im	1.0230526442923145e-13 - 2.8167000363061764e-17im	1.0350365441685023e-13 + 2.2898113391956725e-16im	-0.06499999999984798 + 7.013948646330485e-15im
-1.77489845053031 + 0.0im	0.13500000000014756 + 1.188360797569829e-14im	9.242964423625239e-14 - 2.872189379747765e-17im	9.364616677397832e-14 + 2.3908261930590205e-16im	-0.06499999999984606 + 7.459946221410711e-15im
-1.75732519854486 + 0.0im	0.1350000000001492 + 1.24245808140553e-14im	1.1375332465546746e-13 - 2.9243275250146866e-17im	1.1498556480356428e-13 + 2.4962617275905204e-16im	-0.06499999999984409 + 7.931835899622607e-15im
