w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-2.0 + 0.0im	0.10347845194821922 + 0.0003380835999475572im	1.492697596932467e-5 - 4.7103204479047286e-7im	1.4932189229226446e-5 - 3.887230230462505e-7im	0.2530157578648883 + 0.002461610293935151im
-1.9801980198019802 + 0.0im	0.10527071993513469 + 0.00035855843533602757im	1.4208190984984743e-5 - 5.029204073000045e-7im	1.4361097516299108e-5 - 4.152038469505114e-7im	0.26095521501023966 + 0.0026454964034154345im
-1.9605920988138417 + 0.0im	0.10642555058708798 + 0.00038010651410288755im	1.4400373812656931e-5 - 5.36829441916999e-7im	1.454184144415216e-5 - 4.4339429737520645e-7im	0.26419427705143966 + 0.002842355881948882im
-1.9411802958552888 + 0.0im	0.10762472846645568 + 0.0004027735268747249im	1.4553164807904695e-5 - 5.728774868785023e-7im	1.4690095037081137e-5 - 4.7339791543212455e-7im	0.26770503559014996 + 0.0030530453301585913im
-1.9219606889656324 + 0.0im	0.10885127513845326 + 0.0004266065456394208im	1.4690414449706401e-5 - 6.111891034956396e-7im	1.4825515875971248e-5 - 5.05323964282634e-7im	0.27136509479151105 + 0.003278473269341713im
-1.9029313752134975 + 0.0im	0.11010018479385736 + 0.0004516540444452685im	1.4819335356182628e-5 - 6.518953473697382e-7im	1.4954045331269513e-5 - 5.392876965153234e-7im	0.27513857675184533 + 0.003519602900672909im
-1.8840904705084134 + 0.0im	0.11136944896443367 + 0.00047796592059489514im	1.4943039963756878e-5 - 6.951340465734908e-7im	1.5078235663239583e-5 - 5.754106294900569e-7im	0.27901097676855846 + 0.0037774549770834415im
-1.8654361094142706 + 0.0im	0.1126581288118568 + 0.0005055935164982389im	1.5063129009409465e-5 - 7.410500865109723e-7im	1.5199401683259486e-5 - 6.13820828453415e-7im	0.2829756148363812 + 0.0040531107893741905im
-1.8469664449646244 + 0.0im	0.1139658057690352 + 0.000534589642367975im	1.5180530525300715e-5 - 7.897957011134139e-7im	1.5318292529774202e-5 - 6.546531971784376e-7im	0.2870293836769626 + 0.004347715267839293im
-1.828679648479826 + 0.0im	0.11529231134089339 + 0.000565008599960851im	1.5295803050010718e-5 - 8.415307699664747e-7im	1.5435358319579144e-5 - 6.980497758255122e-7im	0.2911710745739007 + 0.00466248020036229im
-1.8105739093859663 + 0.0im	0.11663762997928362 + 0.0005969062075894139im	1.540934025392635e-5 - 8.964231208992588e-7im	1.5550900613258597e-5 - 7.441600456609486e-7im	0.2954004606278489 + 0.004998687567597914im
-1.79264743503561 + 0.0im	0.11800183785090132 + 0.000630339826650653im	1.552137713476404e-5 - 9.546488374953512e-7im	1.566510969086935e-5 - 7.931412402052672e-7im	0.29971804353501086 + 0.005357692995468038im
-1.774898450530307 + 0.0im	0.1193850682867647 + 0.0006653683899409944im	1.5632116595372482e-5 - 1.0163925709116822e-6im	1.5778123105408328e-5 - 8.451586623142962e-7im	0.3041247176960386 + 0.005740929324778164im
-1.7573251985448584 + 0.0im	0.12078751192897924 + 0.0007020524320509939im	1.5741665643065387e-5 - 1.0818478553119627e-6im	1.5890040013318964e-5 - 9.003860066228832e-7im	0.30862170135417727 + 0.006149910297300677im
-1.739925939153325 + 0.0im	0.12220937982628499 + 0.0007404541221578656im	1.5850156677899684e-5 - 1.1512174261377108e-6im	1.600093366328854e-5 - 9.590056867031895e-7im	0.31321041013548007 + 0.006586234357170508im
-1.7226989496567575 + 0.0im	0.12365090348918385 + 0.000780637299559703im	1.595762960048736e-5 - 1.2247135403515482e-6im	1.6110819091832097e-5 - 1.0212091662072671e-6im	0.3178924756370546 + 0.007051588565897489im
-1.7056425244126312 + 0.0im	0.12511234026430984 + 0.0008226675123218186im	1.606417258879409e-5 - 1.302558297694447e-6im	1.621975659782852e-5 - 1.0871972931767997e-6im	0.32266956471292646 + 0.007547752628716555im
-1.6887549746659716 + 0.0im	0.12659396404649062 + 0.0008666120594331018im	1.6169825828131496e-5 - 1.3849839619009619e-6im	1.6327762868292728e-5 - 1.1571806366115296e-6im	0.3275435728365686 + 0.008076603029370015im
-1.6720346283821501 + 0.0im	0.1280960613897279 + 0.0009125400368985522im	1.627464632743988e-5 - 1.4722332807143225e-6im	1.6434869901907905e-5 - 1.2313798242922237e-6im	0.33251629562558543 + 0.008640117269746941im
-1.6554798300813367 + 0.0im	0.1296189312719928 + 0.0009605223882232235im	1.6378673288238572e-5 - 1.5645598034365447e-6im	1.654108707638595e-5 - 1.3100258807537522e-6im	0.33758975442274214 + 0.009240378210089491im
-1.6390889406745908 + 0.0im	0.13116288415420382 + 0.0010106319597727102im	1.6481955986579432e-5 - 1.6622281946377867e-6im	1.6646434121913635e-5 - 1.3933605641995143e-6im	0.34276596447591046 + 0.009879578504718113im
-1.622860337301575 + 0.0im	0.13272823623696525 + 0.0010629435615258805im	1.6584523337863723e-5 - 1.7655145425339034e-6im	1.6750928560551655e-5 - 1.4816367010397732e-6im	0.3480470039869899 + 0.010560025127423472im
-1.6067924131698763 + 0.0im	0.13431532585786798 + 0.001117534033766882im	1.668643606824739e-5 - 1.8747066604219616e-6im	1.685458621294787e-5 - 1.5751185166239202e-6im	0.3534350448379025 + 0.011284143979825212im
-1.5908835773959171 + 0.0im	0.135924494201276 + 0.0011744823202954721im	1.67877435956832e-5 - 1.9901043794405034e-6im	1.6957437627727748e-5 - 1.6740819606201941e-6im	0.35893219557801953 + 0.012054484575105372im
-1.5751322548474427 + 0.0im	0.1375560909992954 + 0.001233869548767366im	1.688850092651966e-5 - 2.1120198307949057e-6im	1.705950786251402e-5 - 1.778815025376551e-6im	0.3645405910401518 + 0.01287372478858853im
-1.559536885987567 + 0.0im	0.13921047729261388 + 0.0012957791188095067im	1.698873692066838e-5 - 2.2407777154584637e-6im	1.716082329377087e-5 - 1.889618055473026e-6im	0.37026252336035426 + 0.013744675665662492im
-1.5440959267203633 + 0.0im	0.14088800527959894 + 0.0013602967985890972im	1.7088640252790106e-5 - 2.376715559227422e-6im	1.7261436230904524e-5 - 2.0068040465497198e-6im	0.3761001530103859 + 0.014670286276513832im
-1.5288078482379834 + 0.0im	0.14258907122476766 + 0.0014275108305495145im	1.718816604638011e-5 - 2.5201839508733266e-6im	1.7361378323484504e-5 - 2.1306989313657935e-6im	0.3820557680978954 + 0.01565364860609328im
-1.5136711368692906 + 0.0im	0.14431406302383887 + 0.0014975120470611645im	1.7287449966316166e-5 - 2.671546760999135e-6im	1.7460710751378022e-5 - 2.261641850913624e-6im	0.3881314997711113 + 0.016698002466628864im
-1.4986842939299907 + 0.0im	0.14606337294157393 + 0.001570393996770689im	1.738659241219199e-5 - 2.831181339067415e-6im	1.7559497870556125e-5 - 2.3999854082796267e-6im	0.39432966924963775 + 0.017806740418873285im
-1.483845835574248 + 0.0im	0.14783741377039697 + 0.0016462530824677155im	1.7485714072913974e-5 - 2.999478685929633e-6im	1.7657820594334e-5 - 2.546095902808947e-6im	0.40065243965889397 + 0.018983412687106255im
-1.4691542926477703 + 0.0im	0.14963660402688542 + 0.0017251887113245263im	1.7584923280850668e-5 - 3.176843599046176e-6im	1.775573749284687e-5 - 2.7003535419964614e-6im	0.40710214498236635 + 0.02023173205171886im
-1.4546082105423468 + 0.0im	0.1514613714541355 + 0.0018073034584006433im	1.7684374990891697e-5 - 3.3636947874476763e-6im	1.785337459850698e-5 - 2.8631526283914043e-6im	0.41368091502762316 + 0.021555578701987252im
-1.4402061490518285 + 0.0im	0.15331215282241542 + 0.001892703244341094im	1.778422993539758e-5 - 3.5604649533500544e-6im	1.795084674654866e-5 - 3.0349017186683167e-6im	0.4203909149550921 + 0.022959005030400523im
-1.4259466822295332 + 0.0im	0.15518940778264098 + 0.001981497528234495im	1.7884650920452077e-5 - 3.7676008371996085e-6im	1.8048242479490616e-5 - 3.2160237518834952e-6im	0.42723429633601895 + 0.024446240348648826im
-1.4118283982470625 + 0.0im	0.15709359280062457 + 0.002073799516634348im	1.798583243108232e-5 - 3.985563222790918e-6im	1.814573580317901e-5 - 3.4069561438045136e-6im	0.43421313583601945 + 0.0260216955041061im
-1.3978498992545174 + 0.0im	0.15902518551819353 + 0.0021697263897848024im	1.808798323127061e-5 - 4.214826898970111e-6im	1.8243472149002676e-5 - 3.608150844071176e-6im	0.44132959764218427 + 0.02768996737436247im
-1.3840098012420965 + 0.0im	0.16098466683919033 + 0.0022693995461299096im	1.8191337062423988e-5 - 4.455880574310526e-6im	1.83416271750469e-5 - 3.820074352820758e-6im	0.44858560102606004 + 0.029455843216082286im
-1.370306733903066 + 0.0im	0.16297254236515482 + 0.002372944866223478im	1.8296145070755693e-5 - 4.709226741027303e-6im	1.8440402316502652e-5 - 4.04320769328868e-6im	0.4559831091598834 + 0.031324304843186816im
-1.356739340498085 + 0.0im	0.16498932226033966 + 0.0024804929971948427im	1.8402674154297285e-5 - 4.975381484283456e-6im	1.8539980890493897e-5 - 4.278046336779789e-6im	0.46352396823172504 + 0.0333005326080991im
-1.3433062777208762 + 0.0im	0.16703554157245443 + 0.002592179658963998im	1.851123293896213e-5 - 5.254874232933405e-6im	1.864063010640039e-5 - 4.52510007629483e-6im	0.47121001207632046 + 0.03538990915854219im
-1.330006215565224 + 0.0im	0.1691117192163815 + 0.002708145973438004im	1.862214592800248e-5 - 5.548247447651572e-6im	1.8742607645129893e-5 - 4.784892844993741e-6im	0.47904294737189645 + 0.03759802294116413im
-1.316837837193291 + 0.0im	0.17121841564769333 + 0.002828538817958676im	1.873576017285443e-5 - 5.856056242305182e-6im	1.8846176902049513e-5 - 5.057962475581934e-6im	0.4870243228771417 + 0.03993067142207972im
-1.3037998388052385 + 0.0im	0.17335621292894612 + 0.0029535112043099832im	1.885236394084031e-5 - 6.178867934352246e-6im	1.8951562146099373e-5 - 5.3448603966198165e-6im	0.4951556047952382 + 0.0423938639932772im
