w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-2.0 + 0.0im	-0.1540969750098929 - 6.125444399434634e-5im	1.4464636751685017e-5 + 1.514091499435361e-8im	1.4482230434459069e-5 + 2.67669423238956e-8im	-0.0818528774410622 - 2.8695791012559973e-5im
-1.9801980198019802 + 0.0im	-0.15547582122498513 - 6.527330394173308e-5im	1.4626060296243474e-5 + 1.61237115220446e-8im	1.4665202703119444e-5 + 2.8503491303288433e-8im	-0.08264555115515525 - 3.0937042466240125e-5im
-1.9605920988138417 + 0.0im	-0.15674461851255903 - 6.951306755786898e-5im	1.4759343726453135e-5 + 1.716073316217249e-8im	1.4797587656810206e-5 + 3.033591323049995e-8im	-0.0833886774499452 - 3.331408530464636e-5im
-1.9411802958552888 + 0.0im	-0.15802694453467908 - 7.398293591207298e-5im	1.4895031729521538e-5 + 1.825429697310211e-8im	1.4933379304131778e-5 + 3.2268324586343734e-8im	-0.08414026367077736 - 3.583290706917001e-5im
-1.9219606889656324 + 0.0im	-0.15931971509736112 - 7.86923040688172e-5im	1.503236225878558e-5 + 1.940677568983778e-8im	1.5071225434579448e-5 + 3.4304943528444295e-8im	-0.08489890802908016 - 3.8499626775161644e-5im
-1.9029313752134975 + 0.0im	-0.16062201494006498 - 8.365075310712268e-5im	1.5171107709232002e-5 + 2.0620596432808514e-8im	1.5210719379274052e-5 + 3.645008791635639e-8im	-0.08566421146478478 - 4.132048970372718e-5im
-1.8840904705084134 + 0.0im	-0.16193341481480084 - 8.886804124003002e-5im	1.531117316371581e-5 + 2.1898239233891643e-8im	1.5351688863447336e-5 + 3.8708173032752233e-8im	-0.08643602301684299 - 4.430186160880111e-5im
-1.8654361094142706 + 0.0im	-0.16325377157180013 - 9.435409401721622e-5im	1.545250951490145e-5 + 2.3242235376810176e-8im	1.5494045833374555e-5 + 4.1083708996238594e-8im	-0.08721428194204998 - 4.7450222331185324e-5im
-1.8469664449646244 + 0.0im	-0.16458292468856275 - 0.00010011899359677133im	1.559509646149012e-5 + 2.4655165549748438e-8im	1.5637744287614216e-5 + 4.358129786260462e-8im	-0.08799896382279528 - 5.077215881345738e-5im
-1.828679648479826 + 0.0im	-0.16592085368913786 - 0.00010617296707533795im	1.5738921040986424e-5 + 2.6139657808792468e-8im	1.5782754886217252e-5 + 4.62056304126283e-8im	-0.08879007538518364 - 5.427435751202336e-5im
-1.8105739093859663 + 0.0im	-0.16726750668271584 - 0.00011252637386924137im	1.588397136056173e-5 + 2.7698385351618555e-8im	1.592906075427245e-5 + 4.896148262598875e-8im	-0.08958762425099287 - 5.796359620513001e-5im
-1.79264743503561 + 0.0im	-0.1686228612780423 - 0.0001191896921428972im	1.603024631817607e-5 + 2.933406410171825e-8im	1.6076651732952792e-5 + 5.1853711842334435e-8im	-0.09039162986437682 - 6.184673519834173e-5im
-1.774898450530307 + 0.0im	-0.1699869105172332 - 0.00012617350428466864im	1.6177744598239655e-5 + 3.104945010436329e-8im	1.6225521382301327e-5 + 5.488725261214404e-8im	-0.0912021148723066 - 6.593070793182998e-5im
-1.7573251985448584 + 0.0im	-0.17135963403573723 - 0.00013348848143446005im	1.6326467236864703e-5 + 3.2847336736476034e-8im	1.637566722543746e-5 + 5.8067112241680016e-8im	-0.09201910573047548 - 7.022251099680857e-5im
-1.739925939153325 + 0.0im	-0.17274103427225873 - 0.00014114536707163203im	1.6476415585528416e-5 + 3.473055173357453e-8im	1.652708754590216e-5 + 6.139836603807075e-8im	-0.09284262958179336 - 7.472919357156546e-5im
-1.7226989496567575 + 0.0im	-0.1741311095348849 - 0.00014915495967635182im	1.6627592252726203e-5 + 3.670195403800606e-8im	1.6679782823354304e-5 + 6.488615226235882e-8im	-0.09367271584301848 - 7.945784629078586e-5im
-1.7056425244126312 + 0.0im	-0.1755298703227784 - 0.0001575280944821744im	1.6779999367313882e-5 + 3.876443047376365e-8im	1.683375284834933e-5 + 6.853566680021436e-8im	-0.09450939438495311 - 8.441558956521561e-5im
-1.6887549746659716 + 0.0im	-0.17693728866182087 - 0.0001662756243425157im	1.6933640687359057e-5 + 4.0920892254291253e-8im	1.698899997178073e-5 + 7.235215756192183e-8im	-0.09535269188253284 - 8.960956137216894e-5im
-1.6720346283821501 + 0.0im	-0.1783533919906557 - 0.00017540839973868809im	1.7088518629110005e-5 + 4.317427133082301e-8im	1.714552535741231e-5 + 7.634091862520623e-8im	-0.09620264221352409 - 9.504690454092554e-5im
-1.6554798300813367 + 0.0im	-0.17977817296846368 - 0.00018493724796230437im	1.724463718128242e-5 + 4.552751658996014e-8im	1.7303331288987054e-5 + 8.050728413644641e-8im	-0.09705927746851557 - 0.00010073475356067019im
-1.6390889406745908 + 0.0im	-0.18121164089425765 - 0.0001948729515101031im	1.7401999674234863e-5 + 4.798358991036712e-8im	1.746242013475854e-5 + 8.485662198783712e-8im	-0.09792262416695818 - 0.00010668022094229394im
-1.622860337301575 + 0.0im	-0.1826537796258686 - 0.0002052262257345738im	1.7560609488350568e-5 + 5.054546208965045e-8im	1.762279567669946e-5 + 8.939432729007758e-8im	-0.09879270929660522 - 0.00011289038316907009im
-1.6067924131698763 + 0.0im	-0.18410459059869716 - 0.00021600769579914873im	1.7720469241027368e-5 + 5.321610865367319e-8im	1.778445704607766e-5 + 9.41258156621866e-8im	-0.09966957495337388 - 0.000119372266274929im
-1.5908835773959171 + 0.0im	-0.1855640874411138 - 0.00022722787299213926im	1.788158430774245e-5 + 5.599850556174088e-8im	1.794740896760967e-5 + 9.90565163620494e-8im	-0.10055324062628829 - 0.00012613283109276854im
-1.5751322548474427 + 0.0im	-0.1870322581088467 - 0.00023889713045901424im	1.80439584961614e-5 + 5.8895624822263546e-8im	1.8111652956176632e-5 + 1.0419186528328178e-7im	-0.10144374051548047 - 0.00013317895821890339im
-1.559536885987567 + 0.0im	-0.18850910309179772 - 0.00025102567841799885im	1.8207591876839454e-5 + 6.191043003465246e-8im	1.8277191538855043e-5 + 1.0953729784593713e-7im	-0.10234110472197822 - 0.000140517432743392im
-1.5440959267203633 + 0.0im	-0.18999461851180438 - 0.00026362353892930065im	1.8372489271184463e-5 + 6.504587187433134e-8im	1.8444026844552394e-5 + 1.150982418104664e-7im	-0.10324536230004895 - 0.0001481549287995235im
