w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-2.0 + 0.0im	0.1034784985974217 + 0.00033810630333236993im	1.4959255822171427e-5 - 3.879815327657919e-7im	1.4892440312731294e-5 - 4.7404152224311777e-7im	0.253015923643926 + 0.0024619313717047977im
-1.9801980198019802 + 0.0im	0.10527080700082667 + 0.0003585818472553988im	1.4390368746944481e-5 - 4.1434455316979717e-7im	1.416723148587692e-5 - 5.06180691459998e-7im	0.2609559472623985 + 0.0026458323332827736im
-1.9605920988138417 + 0.0im	0.10642563445693 + 0.00038013064406697186im	1.4571885290915833e-5 - 4.4240499739593116e-7im	1.4358798230619194e-5 - 5.403602508821179e-7im	0.26419495684578254 + 0.0028427071536509755im
-1.9411802958552888 + 0.0im	0.10762481113171558 + 0.00040279838396759795im	1.4720995952647381e-5 - 4.722654169904508e-7im	1.4510697039457986e-5 - 5.766999151739286e-7im	0.2677056901360518 + 0.003053412438666808im
-1.9219606889656324 + 0.0im	0.10885135740169016 + 0.00042663213850317885im	1.4857325605521727e-5 - 5.0403402282337e-7im	1.464691859837652e-5 - 6.153257000072869e-7im	0.27136573471357806 + 0.003278856714341672im
-1.9029313752134975 + 0.0im	0.11010026709440027 + 0.0004516803812662798im	1.498680653498553e-5 - 5.378249498142735e-7im	1.4774724863511824e-5 - 6.56370196046581e-7im	0.2751392075839116 + 0.003520003186020572im
-1.8840904705084134 + 0.0im	0.1113695315794799 + 0.0004779930090924734im	1.5111986888166004e-5 - 5.737585296233493e-7im	1.489724548918712e-5 - 6.999728498511396e-7im	0.27901160181422785 + 0.003777872610238529im
-1.8654361094142706 + 0.0im	0.11265821193761516 + 0.0005056213639160228im	1.5234176920681832e-5 - 6.11961571124466e-7im	1.5016095274966905e-5 - 7.462802513920189e-7im	0.2829762362247616 + 0.004053546280812328im
-1.8469664449646244 + 0.0im	0.11396588955081155 + 0.00053461825546831im	1.5354127527681153e-5 - 6.525676484261693e-7im	1.5132199475634895e-5 - 7.95446427822085e-7im	0.2870300028418296 + 0.004348169130444368im
-1.828679648479826 + 0.0im	0.11529239589426005 + 0.000565037985022484im	1.5472289382869352e-5 - 6.957173961514668e-7im	1.5246130440487978e-5 - 8.476331430759319e-7im	0.29117169250206054 + 0.004662952948800679im
-1.8105739093859663 + 0.0im	0.11663771539967663 + 0.0005969363704088211im	1.5588967144805923e-5 - 7.415588116281147e-7im	1.5358271087459763e-5 - 9.030102028093513e-7im	0.2954010780002808 + 0.00499917971767648im
-1.79264743503561 + 0.0im	0.11800192422002212 + 0.0006303707725473322im	1.5704347392609305e-5 - 7.902475635777092e-7im	1.546887003882094e-5 - 9.617557641168673e-7im	0.29971866081264464 + 0.00535820506347769im
-1.774898450530307 + 0.0im	0.11938515567589635 + 0.0006654001237670633im	1.581857732772172e-5 - 8.419473068241268e-7im	1.5578107228747304e-5 - 1.0240566493901407e-6im	0.3041253351749804 + 0.0057414618268252495im
-1.7573251985448584 + 0.0im	0.12078760040433055 + 0.0007020849582054508im	1.5931735893379826e-5 - 8.968300024696735e-7im	1.5686127521949826e-5 - 1.0901086635996713e-6im	0.308622319202433 + 0.006150463748628348im
-1.739925939153325 + 0.0im	0.1222094694479961 + 0.000740487444605873im	1.6043916032475624e-5 - 9.550762429106517e-7im	1.5793037537346308e-5 - 1.1601169141973888e-6im	0.31321102841891435 + 0.0065868092714724095im
-1.7226989496567575 + 0.0im	0.12365099431647926 + 0.0007806714218572622im	1.6155124486023314e-5 - 1.0168755809828541e-6im	1.5898888526324364e-5 - 1.234296132748112e-6im	0.3178930943374021 + 0.007052185454626334im
-1.7056425244126312 + 0.0im	0.1251124323510397 + 0.0008227024376462169im	1.6265429670393246e-5 - 1.0824268624418052e-6im	1.6003756441959932e-5 - 1.3128709973038027e-6im	0.3226701837412763 + 0.007548372000389967im
-1.6887549746659716 + 0.0im	0.12659405744656224 + 0.0008666477906195288im	1.6374848696263115e-5 - 1.1519385608922866e-6im	1.6107693063312144e-5 - 1.3960764544357826e-6im	0.32754419204350266 + 0.008077245388876645im
-1.6720346283821501 + 0.0im	0.12809615615644168 + 0.000912576576483249im	1.6483400021799005e-5 - 1.2256291141869917e-6im	1.6210745274592476e-5 - 1.4841580397369702e-6im	0.3325169148089538 + 0.008640783117655242im
-1.6554798300813367 + 0.0im	0.12961902745860526 + 0.0009605597384935948im	1.6591107252941118e-5 - 1.3037272612148904e-6im	1.6312957320190655e-5 - 1.5773721954985612e-6im	0.3375903733336024 + 0.009241068041962298im
-1.6390889406745908 + 0.0im	0.131162981814402 + 0.0010106701228247798im	1.6697986521177482e-5 - 1.3864723778964267e-6im	1.641437281381546e-5 - 1.6759865841538269e-6im	0.3427665828233597 + 0.009880292810435728im
-1.622860337301575 + 0.0im	0.13272833542501863 + 0.0010629825393294972im	1.6804055742997177e-5 - 1.4741148110948002e-6im	1.6515029887911533e-5 - 1.7802803959657783e-6im	0.34804762144199786 + 0.01056076439051829im
-1.6067924131698763 + 0.0im	0.13431542662905271 + 0.001117573828239075im	1.690933273401886e-5 - 1.5669162090408069e-6im	1.6614990976022487e-5 - 1.8905446493157087e-6im	0.3534356610366934 + 0.01128490867683079im
-1.5908835773959171 + 0.0im	0.13592459661414644 + 0.0011745229333823748im	1.701384314414666e-5 - 1.665149846752824e-6im	1.6714298174002537e-5 - 2.007082481826202e-6im	0.3589328101243987 + 0.01205527517492287im
