w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-2.0 + 0.0im	-0.5657298311155546 - 0.0010550776555106284im	-8.817528129395018e-6 + 9.253742655156294e-7im	-8.686484498613417e-6 + 9.312458706876812e-7im	-0.6655450029427651 - 0.005439010027487771im
-1.9801980198019802 + 0.0im	-0.5740725025018372 - 0.0011218725179813608im	-7.309505189753946e-6 + 9.917063318286995e-7im	-7.164215653686002e-6 + 9.981284412880043e-7im	-0.6845193801300976 - 0.005859538266339164im
-1.9605920988138417 + 0.0im	-0.5804600934537306 - 0.0011923476348378898im	-7.593927965524291e-6 + 1.0624770548222136e-6im	-7.445730849853159e-6 + 1.0694956999324256e-6im	-0.693128842879942 - 0.006310761996989829im
-1.9411802958552888 + 0.0im	-0.5870216141742485 - 0.001266670408174599im	-7.803120015450074e-6 + 1.1379591152049667e-6im	-7.651343865896073e-6 + 1.14562365402416e-6im	-0.702363297555576 - 0.006794774610829763im
-1.9219606889656324 + 0.0im	-0.5937047148029987 - 0.0013450139464846976im	-7.983749210655283e-6 + 1.2184400419325671e-6im	-7.828095647989512e-6 + 1.2268033533999713e-6im	-0.7119535655961806 - 0.0073138001134855im
-1.9029313752134975 + 0.0im	-0.6004944640244539 - 0.001427557190830406im	-8.150040890078309e-6 + 1.304222865684901e-6im	-7.990341161452048e-6 + 1.3133415512199715e-6im	-0.7218213127727933 - 0.007870200238407508im
-1.8840904705084134 + 0.0im	-0.607385181791726 - 0.0015144850453780953im	-8.308127002518495e-6 + 1.3956267877398802e-6im	-8.14415116527524e-6 + 1.40556138020265e-6im	-0.7319353050372388 - 0.008466481857814245im
-1.8654361094142706 + 0.0im	-0.6143745398883159 - 0.0016059885130561885im	-8.461357654931764e-6 + 1.4929878633149826e-6im	-8.292965389409116e-6 + 1.5038030432409392e-6im	-0.7422816046313409 - 0.009105304695503894im
-1.8469664449646244 + 0.0im	-0.6214619195863982 - 0.001702264837180533im	-8.61154221179262e-6 + 1.5966596982879597e-6im	-8.438549903874458e-6 + 1.6084245172721864e-6im	-0.7528541478661178 - 0.009789489345340381im
-1.828679648479826 + 0.0im	-0.6286473850326709 - 0.0018035176499839026im	-8.759871340591267e-6 + 1.7070141580362308e-6im	-8.58212881852215e-6 + 1.7198022691003384e-6im	-0.7636509647221493 - 0.010522025598431609im
-1.8105739093859663 + 0.0im	-0.6359315487789478 - 0.0019099571290837395im	-8.907266785748232e-6 + 1.8244420869503448e-6im	-8.72462032523542e-6 + 1.8383319816818386e-6im	-0.7746724446555311 - 0.011306081081141697im
-1.79264743503561 + 0.0im	-0.6433152935589599 - 0.0020218001630248777im	-9.054267815841657e-6 + 1.9493540369805284e-6im	-8.8665690737584e-6 + 1.9644292891874925e-6im	-0.7859204771033695 - 0.012145010205110697im
-1.774898450530307 + 0.0im	-0.650799752470369 - 0.0021392705271422144im	-9.201426833483153e-6 + 2.0821810033660766e-6im	-9.008495957351875e-6 + 2.098530518940746e-6im	-0.7973978583881225 - 0.013042363429391218im
-1.7573251985448584 + 0.0im	-0.6583861572644324 - 0.002262599071101907im	-9.349126029414433e-6 + 2.2233751654751882e-6im	-9.150815907489556e-6 + 2.2410934381080663e-6im	-0.8091080829327857 - 0.014001896833648537im
-1.739925939153325 + 0.0im	-0.6660758903948395 - 0.0023920239195988017im	-9.497738782015706e-6 + 2.3734106304475767e-6im	-9.293890506681648e-6 + 2.392598002779262e-6im	-0.821055229590494 - 0.01502758200010444im
