w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-2.0 + 0.0im	-0.41072036636915077 - 0.0001934093387169058im	-8.406113582848082e-6 + 4.353339947356058e-8im	-8.462716733923059e-6 + 4.3798139369673495e-8im	-0.45267318775437465 - 0.00029605139088084844im
-1.9801980198019802 + 0.0im	-0.41446683902711096 - 0.0002054713734849823im	-8.488192876736119e-6 + 4.624792471961011e-8im	-8.545298648479943e-6 + 4.6523616483704594e-8im	-0.4573160475965135 - 0.000314400943317445im
-1.9605920988138417 + 0.0im	-0.4178623505698082 - 0.000218172460012673im	-8.657313627262914e-6 + 4.9106754136436625e-8im	-8.71544697543988e-6 + 4.9393726095521716e-8im	-0.46142081158677195 - 0.0003337210596651284im
-1.9411802958552888 + 0.0im	-0.4212969528077706 - 0.0002315385272774722im	-8.825750345511186e-6 + 5.21158577002918e-8im	-8.884903986147689e-6 + 5.241444276146565e-8im	-0.4655845943292232 - 0.0003540513748442119im
-1.9219606889656324 + 0.0im	-0.4247608543360576 - 0.0002455960433558747im	-8.995770117619524e-6 + 5.528134697686096e-8im	-9.055950702898983e-6 + 5.559188261316697e-8im	-0.4697925388166754 - 0.00037543238797004284im
-1.9029313752134975 + 0.0im	-0.42825112483958955 - 0.00026037199409796575im	-9.168101193555442e-6 + 5.8609472425480654e-8im	-9.229319802690476e-6 + 5.893230068058161e-8im	-0.47404026147398615 - 0.0003979054341910159im
-1.8840904705084134 + 0.0im	-0.43176653561162515 - 0.00027589385941086597im	-9.3430901340744e-6 + 6.21066203203951e-8im	-9.405359901743503e-6 + 6.244208783469175e-8im	-0.47832598039314916 - 0.00042151265313384754im
-1.8654361094142706 + 0.0im	-0.43530642179249923 - 0.0002921895871076549im	-9.52094506182709e-6 + 6.577930928630631e-8im	-9.584280309501786e-6 + 6.612776734722493e-8im	-0.4826488650221977 - 0.00044629695389520387im
-1.8469664449646244 + 0.0im	-0.43887048153014757 - 0.0003092875642862779im	-9.701812892183919e-6 + 6.963418644723914e-8im	-9.766228712228197e-6 + 6.999599106649433e-8im	-0.4870084979407937 - 0.0004723019765302434im
-1.828679648479826 + 0.0im	-0.4424584974571615 - 0.0003272165862114578im	-9.885804399143665e-6 + 7.367802318961641e-8im	-9.951316474703216e-6 + 7.405353521032755e-8im	-0.49140472369351473 - 0.0004995720500009761im
-1.8105739093859663 + 0.0im	-0.44607035157671926 - 0.00034600582268176573im	-1.0073017102572329e-5 + 7.791771054241893e-8im	-1.0139641576436635e-5 + 7.830729577902058e-8im	-0.49583747705715425 - 0.0005281521465606222im
-1.79264743503561 + 0.0im	-0.4497059790276873 - 0.0003656847818737812im	-1.0263536588291827e-5 + 8.236025417939381e-8im	-1.0331290000913974e-5 + 8.276428359332132e-8im	-0.500306778668083 - 0.0005580878325642734im
-1.774898450530307 + 0.0im	-0.4533653227705186 - 0.0003862832716656014im	-1.045744397364702e-5 + 8.701276905044899e-8im	-1.0526343199806672e-5 + 8.743161896461208e-8im	-0.5048126949263371 - 0.0005894252157111242im
-1.7573251985448584 + 0.0im	-0.45704836166651125 - 0.0004078313584529132im	-1.065481356604878e-5 + 9.188247365164485e-8im	-1.072487581301329e-5 + 9.231652600671004e-8im	-0.5093553299612226 - 0.0006222108887393455im
-1.739925939153325 + 0.0im	-0.4607550957543392 - 0.00043035932348229526im	-1.0855719954697545e-5 + 9.697668394553625e-8im	-1.092696272457133e-5 + 9.742632660103217e-8im	-0.5139348016142812 - 0.0006564918696112127im
-1.7226989496567575 + 0.0im	-0.4644855106828108 - 0.0004538976167384173im	-1.1060235796245147e-5 + 1.0230280694603913e-7im	-1.1132676876571341e-5 + 1.027684340292688e-7im	-0.5185512493489841 - 0.0006923155382433476im
-1.7056425244126312 + 0.0im	-0.4682396190955408 - 0.0004784768084342614im	-1.1268431614267823e-5 + 1.0786833398447073e-7im	-1.1342089071699839e-5 + 1.0835034629016474e-7im	-0.5232048188768511 - 0.000729729569854886im
-1.6887549746659716 + 0.0im	-0.4720174306370591 - 0.000504127538166397im	-1.148038077527324e-5 + 1.1368083367593673e-7im	-1.1555272931084309e-5 + 1.141796391195059e-7im	-0.5278956445229571 - 0.0007687818650248721im
-1.6720346283821501 + 0.0im	-0.4758189302277112 - 0.0005308804618106065im	-1.1696156010294398e-5 + 1.1974794460780125e-7im	-1.1772301466860419e-5 + 1.2026395873494842e-7im	-0.5326239019894031 - 0.0008095204765692308im
-1.6554798300813367 + 0.0im	-0.47964413613179163 - 0.000558766196246796im	-1.1915828298984311e-5 + 1.2607736777454623e-7im	-1.1993245911849747e-5 + 1.266110143298744e-7im	-0.5373897550436921 - 0.000851993533367115im
-1.6390889406745908 + 0.0im	-0.48349305181938235 - 0.0005878152620159862im	-1.213947092684772e-5 + 1.3267685878592786e-7im	-1.2218179810070657e-5 + 1.3322857034302522e-7im	-0.5421933380154784 - 0.0008962491612862995im
-1.622860337301575 + 0.0im	-0.4873656908730755 - 0.0006180580240262972im	-1.2367157817147468e-5 + 1.3955421987789717e-7im	-1.2447177341655868e-5 + 1.4012443853320742e-7im	-0.5470348461524936 - 0.0009423354013772877im
-1.6067924131698763 + 0.0im	-0.4912620796392733 - 0.0006495246304390678im	-1.2598944273081021e-5 + 1.467172917583189e-7im	-1.2680295969041676e-5 + 1.473064698908892e-7im	-0.5519144283644337 - 0.000990300125526119im
-1.5908835773959171 + 0.0im	-0.49518216144402577 - 0.0006822449498805522im	-1.2834959996730572e-5 + 1.54173945322015e-7im	-1.2917659933095147e-5 + 1.547825464209817e-7im	-0.5568322520638876 - 0.0010401909497760832im
-1.5751322548474427 + 0.0im	-0.49912598629688304 - 0.0007162485071389473im	-1.3075230228705579e-5 + 1.6193207327211515e-7im	-1.315930045060804e-5 + 1.6256057283351727e-7im	-0.5617884648971563 - 0.0010920551455487501im
-1.559536885987567 + 0.0im	-0.5030935424684635 - 0.00075156441752069im	-1.331984791249234e-5 + 1.6999958168705228e-7im	-1.3405308810792831e-5 + 1.7064846818126517e-7im	-0.5667832572494852 - 0.001145939549014754im
-1.5440959267203633 + 0.0im	-0.5070848339650942 - 0.0007882213200539916im	-1.3568891940448527e-5 + 1.783843815748093e-7im	-1.365576416227726e-5 + 1.7905415748556198e-7im	-0.5718167781124398 - 0.0012018904688844657im
-1.5288078482379834 + 0.0im	-0.5110998354747252 - 0.000826247309741361im	-1.3822441982682118e-5 + 1.8709438045816539e-7im	-1.3910746431575175e-5 + 1.8778556339374585e-7im	-0.5768891876110783 - 0.0012599535929078826im
-1.5136711368692906 + 0.0im	-0.5151385666293429 - 0.0008656698690762221im	-1.4080578605811827e-5 + 1.961374740366909e-7im	-1.417033644207547e-5 + 1.9685059791355313e-7im	-0.5820006664033259 - 0.001320173893391754im
-1.4986842939299907 + 0.0im	-0.5192010042042766 - 0.0009065157990517124im	-1.4343386073113015e-5 + 2.055215379730834e-7im	-1.4434618726243023e-5 + 2.0625715427165524e-7im	-0.5871513286051547 - 0.0013825955320598664im
-1.483845835574248 + 0.0im	-0.5232871334787086 - 0.0009488111499021217im	-1.4610944303740068e-5 + 2.1525441985309772e-7im	-1.4703673437611633e-5 + 2.160130989451311e-7im	-0.5923413601733971 - 0.001447261764599438im
-1.4691542926477703 + 0.0im	-0.5273969464266188 - 0.0009925811518291768im	-1.4883338395598365e-5 + 2.2534393136977914e-7im	-1.49775859546342e-5 + 2.2612626391611764e-7im	-0.5975708485808359 - 0.0015142148452526624im
-1.4546082105423468 + 0.0im	-0.5315304435658444 - 0.001037850145976341im	-1.5160654748355003e-5 + 2.357978407839447e-7im	-1.5256442934746978e-5 + 2.3660443920107442e-7im	-0.6028400465094138 - 0.001583495931827236im
-1.4402061490518285 + 0.0im	-0.5356875499600738 - 0.0010846415159244782im	-1.54429800356557e-5 + 2.466238657138555e-7im	-1.554033131497648e-5 + 2.474553657070791e-7im	-0.6081490589811467 - 0.0016551449915133288im
-1.4259466822295332 + 0.0im	-0.5398682813891471 - 0.0011329776199913448im	-1.5730402348212524e-5 + 2.5782966630774664e-7im	-1.5829339451443527e-5 + 2.586867284682674e-7im	-0.6134980340019319 - 0.001729200707906565im
-1.4118283982470625 + 0.0im	-0.5440726111684955 - 0.0011828797246255629im	-1.6023011232423102e-5 + 2.6942283885334113e-7im	-1.6123557158260668e-5 + 2.703061503159778e-7im	-0.6188871209078797 - 0.0018057003896470736im
-1.3978498992545174 + 0.0im	-0.5483005064725777 - 0.0012343679391926528im	-1.632089671863879e-5 + 2.8141090987863304e-7im	-1.642307472757772e-5 + 2.823211860362817e-7im	-0.6243164575440608 - 0.0018846798810934547im
-1.3840098012420965 + 0.0im	-0.5525519598592945 - 0.0012874611524564736im	-1.66241481743568e-5 + 2.938013307980487e-7im	-1.6727981807546495e-5 + 2.9473931706842037e-7im	-0.6297862349318886 - 0.0019661734754575022im
-1.370306733903066 + 0.0im	-0.5568268733922135 - 0.0013421769710637618im	-1.6932864748947802e-5 + 3.0660147315762865e-7im	-1.703837782082483e-5 + 3.0756794679715584e-7im	-0.6352964742719518 - 0.00205021383083033im
-1.356739340498085 + 0.0im	-0.561125269613077 - 0.0013985316603424896im	-1.7247137142349976e-5 + 3.1981862453203463e-7im	-1.735435373771253e-5 + 3.2081439649122054e-7im	-0.6408474259219555 - 0.0021368318895334136im
-1.3433062777208762 + 0.0im	-0.5654470912514284 - 0.0014565400877261337im	-1.7567061437767098e-5 + 3.334599851249886e-7im	-1.767600592011396e-5 + 3.3448590193883843e-7im	-0.646439164893112 - 0.0022260568012286643im
-1.330006215565224 + 0.0im	-0.5697922962849343 - 0.0015162156691158875im	-1.7892734690566093e-5 + 3.4753266512322585e-7im	-1.80034317036723e-5 + 3.4858961082976585e-7im	-0.6520718641624325 - 0.002317915850219757im
-1.316837837193291 + 0.0im	-0.5741608402966677 - 0.0015775703184910074im	-1.82242551815895e-5 + 3.6204368285210323e-7im	-1.8336729651895512e-5 + 3.631325809313576e-7im	-0.6577456414192588 - 0.002412434387372814im
-1.3037998388052385 + 0.0im	-0.5785526630114853 - 0.001640614401073993im	-1.85617223286908e-5 + 3.7699996377870897e-7im	-1.867599946727661e-5 + 3.781217791038902e-7im	-0.6634606281645472 - 0.0025096357670778067im
-1.2908909295101372 + 0.0im	-0.5829677537414026 - 0.0017053566903519717im	-1.8905238090201298e-5 + 3.9240834040564383e-7im	-1.902134340219378e-5 + 3.935640811976902e-7im	-0.6692169675028964 - 0.002609541289662575im
-1.2781098311981556 + 0.0im	-0.587406023525917 - 0.0017718043292485857im	-1.925490270207365e-5 + 4.082755530955707e-7im	-1.9372861973949625e-5 + 4.0946627287158595e-7im	-0.67501473979442 - 0.0027121701496595906im
-1.2654552784140154 + 0.0im	-0.591867429543684 - 0.0018399627957316398im	-1.9610820724962364e-5 + 4.246082518631901e-7im	-1.973066004353152e-5 + 4.2583505136875643e-7im	-0.6808541211753532 - 0.0028175393903106657im
-1.2529260182316984 + 0.0im	-0.5963519157068125 - 0.0019098358731309008im	-1.9973096659676174e-5 + 4.4141299916748044e-7im	-2.0094842408337522e-5 + 4.4267702828228745e-7im	-0.6867352186834608 - 0.002925663864677619im
-1.2405208101303944 + 0.0im	-0.6008594234339553 - 0.0019814256254277124im	-2.0341836418465515e-5 + 4.586962737328413e-7im	-2.0465506962733103e-5 + 4.599987333385658e-7im	-0.6926581556038168 - 0.003036556203706575im
-1.2282384258716776 + 0.0im	-0.605389892107171 - 0.0020547323777632535im	-2.0717147131028598e-5 + 4.7646447542325405e-7im	-2.0842777712885446e-5 + 4.778066192221471e-7im	-0.6986230550178918 - 0.003150226791570913im
-1.2160776493778986 + 0.0im	-0.6099432591378549 - 0.002129754702395846im	-2.109913730847175e-5 + 4.94723931188653e-7im	-2.1226755231730347e-5 + 4.961070674609011e-7im	-0.7046300330421332 - 0.003266683748592048im
-1.2040372766117808 + 0.0im	-0.614519474532697 - 0.0022064894103190347im	-2.1487917306279434e-5 + 5.134809020975237e-7im	-2.1617550172938508e-5 + 5.149063953850484e-7im	-0.7106792122717391 - 0.0033859329220093403im
-1.1921161154572086 + 0.0im	-0.6191184287647067 - 0.002284931548731984im	-2.188360007305504e-5 + 5.327415914641852e-7im	-2.2015275810747148e-5 + 5.342108641682667e-7im	-0.7167707109162293 - 0.0035079778848392507im
-1.1803129856011967 + 0.0im	-0.6237400915986976 - 0.0023650744045314595im	-2.2286292658832518e-5 + 5.525121540734391e-7im	-2.2420039504915017e-5 + 5.540266879532903e-7im	-0.7229046399938435 - 0.0036328199430308854im
-1.1686267184170265 + 0.0im	-0.6283843737352823 - 0.00244690951397086im	-2.2696111803028476e-5 + 5.727987064991928e-7im	-2.283195832629382e-5 + 5.743600440584498e-7im	-0.729081128063276 - 0.003760458151089069im
-1.1570561568485411 + 0.0im	-0.6330512198030895 - 0.0025304266786061475im	-2.311315397210217e-5 + 5.936073385073973e-7im	-2.3251147189493597e-5 + 5.952170842553734e-7im	-0.7353002837759072 - 0.0038908893362983804im
-1.1456001552955852 + 0.0im	-0.6377405475888767 - 0.0026156139876213885im	-2.353757130941532e-5 + 6.14944125527145e-7im	-2.3677722461310788e-5 + 6.166039471017094e-7im	-0.7415622219829696 - 0.004024108131641124im
-1.1342575795005794 + 0.0im	-0.6424522674217079 - 0.0027024578465979806im	-2.3969463474837645e-5 + 6.368151421671636e-7im	-2.4111802128448325e-5 + 6.385267713061551e-7im	-0.7478670554961435 - 0.004160107017460571im
-1.1230273064362173 + 0.0im	-0.6471863398719632 - 0.0027909430127617102im	-2.4408946720367283e-5 + 6.592264767481955e-7im	-2.4553502772354786e-5 + 6.60991710096455e-7im	-0.7542149066975341 - 0.00429887637187659im
-1.1119082241942746 + 0.0im	-0.6519426628006625 - 0.0028810526367104117im	-2.4856144437745595e-5 + 6.821842468149229e-7im	-2.5002947951896496e-5 + 6.840049465542842e-7im	-0.7606058749357858 - 0.004440404529915638im
-1.1008992318755193 + 0.0im	-0.6567211211043498 - 0.002972768310592874im	-2.5311175634351205e-5 + 7.056946155842647e-7im	-2.546025740737399e-5 + 7.075727098742157e-7im	-0.7670400807404995 - 0.004584677851270248im
-1.089999239480712 + 0.0im	-0.661521723768051 - 0.0030660701226762226im	-2.5774162881755187e-5 + 7.297638092800497e-7im	-2.5925553871427228e-5 + 7.317012924972245e-7im	-0.7735176354842478 - 0.004731680796555385im
-1.0792071678026853 + 0.0im	-0.6663443087103874 - 0.0031609367182050636im	-2.624522990437969e-5 + 7.543981352972973e-7im	-2.6398961429466547e-5 + 7.563970680625528e-7im	-0.780038650831002 - 0.004881396011880466im
-1.0685219483194903 + 0.0im	-0.6711888095025293 - 0.003257345366421084im	-2.6724501173673424e-5 + 7.79604001132723e-7im	-2.6880604925057356e-5 + 7.816665101152241e-7im	-0.7866032449775143 - 0.00503380442150655im
-1.0579425230886044 + 0.0im	-0.6760551568397507 - 0.0033552720335767046im	-2.7212100703504607e-5 + 8.053879340115953e-7im	-2.737060870348983e-5 + 8.075162115001441e-7im	-0.7932115187762158 - 0.005188885328308944im
-1.0474678446421826 + 0.0im	-0.680943275299474 - 0.0034546914617413177im	-2.7708160230929253e-5 + 8.317566011348679e-7im	-2.7869104927267504e-5 + 8.33952904367595e-7im	-0.7998635889839607 - 0.005346616521716081im
-1.037096875883349 + 0.0im	-0.68585306639619 - 0.0035555772531633786im	-2.821280580010993e-5 + 8.5871683046451e-7im	-2.8376219996953923e-5 + 8.609834807091309e-7im	-0.8065595480699471 - 0.005506974392746492im
-1.026828589983514 + 0.0im	-0.6907844432684741 - 0.0036579019599166135im	-2.8726165350159098e-5 + 8.862756319594056e-7im	-2.8892082234677944e-5 + 8.886150133373e-7im	-0.8132995520506449 - 0.005669934055717588im
-1.016661970280707 + 0.0im	-0.6957373515081419 - 0.003761637178524287im	-2.9248373914620537e-5 + 9.144402191688925e-7im	-2.9416827055904503e-5 + 9.168547772176081e-7im	-0.8200836854912814 - 0.0058354694761528336im
-1.0065960101789178 + 0.0im	-0.7007116496616986 - 0.0038667536492214935im	-2.977956290051689e-5 + 9.432180310863226e-7im	-2.9950586282069153e-5 + 9.457102710563898e-7im	-0.8269120613871963 - 0.00600355360436777im
-0.9966297130484334 + 0.0im	-0.7057072740447784 - 0.0039732213594826475im	-3.0319862880739214e-5 + 9.726167541606635e-7im	-3.0493490858965786e-5 + 9.751892390441321e-7im	-0.8337847985794393 - 0.006174158514171904im
-0.9867620921271618 + 0.0im	-0.7107241345808302 - 0.004081009651409538im	-3.086941091517355e-5 + 1.0026443443605335e-6im	-3.104567825884553e-5 + 1.0052996926501963e-6im	-0.8407020049418751 - 0.006347255546080944im
-0.9769921704229325 + 0.0im	-0.7157621465506239 - 0.00419008733254513im	-3.142834280334587e-5 + 1.0333090491818925e-6im	-3.160728468438893e-5 + 1.0360499323618239e-6im	-0.8476637939130489 - 0.006522815454394896im
-0.9673189806167649 + 0.0im	-0.7208212145257772 - 0.004300422789649342im	-3.1996796718394874e-5 + 1.0646194294881874e-6im	-3.217844933421876e-5 + 1.0674485692580243e-6im	-0.8546702800688251 - 0.00670080855746047im
-0.957741564967094 + 0.0im	-0.7259012549250592 - 0.004411984104946434im	-3.257491301960566e-5 + 1.096584381070012e-6im	-3.275931114829643e-5 + 1.0995045463072182e-6im	-0.8617215640259738 - 0.0068812048904028705im
-0.9482589752149445 + 0.0im	-0.7310021710929041 - 0.004524739174328659im	-3.316282892121284e-5 + 1.129213155810319e-6im	-3.335001020058434e-5 + 1.1322271592766195e-6im	-0.8688177777214613 - 0.0070639743595821225im
-0.9388702724900441 + 0.0im	-0.7361238737406864 - 0.004638655826978539im	-3.3760687388473224e-5 + 1.1625153823410102e-6im	-3.395068741574681e-5 + 1.1656260771411927e-6im	-0.8759590152585377 - 0.0072490868980021345im
-0.9295745272178654 + 0.0im	-0.7412662724228162 - 0.004753701945852096im	-3.4368631747366734e-5 + 1.196501086077366e-6im	-3.456148839750528e-5 + 1.1997113618806726e-6im	-0.8831454018437944 - 0.0074365126208793455im
-0.9203708190275894 + 0.0im	-0.7464292726583884 - 0.004869845588448224im	-3.498680419452339e-5 + 1.2311807085181907e-6im	-3.5182555141115175e-5 + 1.234493487554644e-6im	-0.8903770491065929 - 0.00762622198055909im
-0.9112582366609796 + 0.0im	-0.7516127826320276 - 0.004987055107275059im	-3.561535405478377e-5 + 1.2665651257019007e-6im	-3.581403741332663e-5 + 1.2699833585480484e-6im	-0.8976540639050945 - 0.007818185919954984im
