w	self_d-self_d	selfc_d-self_d	self_d-selfc_d	selfc_d-selfc_d
-2.0 + 0.0im	-0.019969751727089712 - 0.00017634382203926774im	3.2604254128052125e-7 + 2.4704334399147914e-7im	3.3376940822618403e-7 + 2.475228583032763e-7im	-0.09855056035072296 - 0.0012281406938126653im
-1.9801980198019802 + 0.0im	-0.020515217899211055 - 0.000186349103169974im	7.940115457682011e-7 + 2.622216617992685e-7im	8.028605507484854e-7 + 2.6275614750955443e-7im	-0.10212642468479131 - 0.001314855928590185im
-1.9605920988138417 + 0.0im	-0.02072333343410592 - 0.0001968381131967469im	7.858144707308893e-7 + 2.782738317708453e-7im	7.948601994992647e-7 + 2.7886844043356315e-7im	-0.10335172357754548 - 0.0014073461933182124im
-1.9411802958552888 + 0.0im	-0.020949468752289854 - 0.00020782890494968308im	7.995329094962482e-7 + 2.952469511062906e-7im	8.088231862094699e-7 + 2.959072329502801e-7im	-0.10470572340069967 - 0.0015059717344841105im
-1.9219606889656324 + 0.0im	-0.021184654387470324 - 0.00021933990985519806im	8.22611962342336e-7 + 3.1319047018868117e-7im	8.321700490839784e-7 + 3.1392239847981284e-7im	-0.10612696276406343 - 0.0016111135357199477im
-1.9029313752134975 + 0.0im	-0.02142617835941454 - 0.00023138993232344116im	8.512514252609592e-7 + 3.3215629604057647e-7im	8.610941710883447e-7 + 3.3296629240925365e-7im	-0.1075972512278557 - 0.0017231743755207114im
-1.8840904705084134 + 0.0im	-0.02167289775712977 - 0.00024399814367838756im	8.838202542241845e-7 + 3.521988989249284e-7im	8.939625834791635e-7 + 3.530938596519812e-7im	-0.10910909863513574 - 0.00184257992694234im
-1.8654361094142706 + 0.0im	-0.021924226591037366 - 0.000257184075675369im	9.194850062224676e-7 + 3.7337542203832437e-7im	9.29940560756282e-7 + 3.743627452872083e-7im	-0.11065893637741753 - 0.0019697798998251767im
-1.8469664449646244 + 0.0im	-0.02217985400152398 - 0.0002709676136572859im	9.57773569757357e-7 + 3.957457942262384e-7im	9.685543894842553e-7 + 3.9683340820385803e-7im	-0.11224498307964567 - 0.0021052492259793876im
-1.828679648479826 + 0.0im	-0.022439594551868742 - 0.00028536898940750074im	9.984000119781316e-7 + 4.193728456301695e-7im	1.0095187403995141e-6 + 4.2056923765263163e-7im	-0.11386639799819293 - 0.0022494892876469214im
-1.8105739093859663 + 0.0im	-0.022703342322464206 - 0.00030040877376435516im	1.0411844479549578e-6 + 4.443224261551822e-7im	1.0526528764372912e-6 + 4.456366725883084e-7im	-0.11552284680175899 - 0.0024030291894195015im
-1.79264743503561 + 0.0im	-0.022971037388106758 - 0.00031610786906943544im	1.0860117201008782e-6 + 4.7066352662344276e-7im	1.0978423302616173e-6 + 4.7210532366091523e-7im	-0.11721433622571913 - 0.0025664270736429524im
-1.774898450530307 + 0.0im	-0.023242651352642005 - 0.00033248750152904157im	1.1328061166702092e-6 + 4.984684024547035e-7im	1.145010658793297e-6 + 5.000480976893202e-7im	-0.11894107681362255 - 0.002740271479174803im
-1.7573251985448584 + 0.0im	-0.023518175622422345 - 0.0003495692135758541im	1.1815206610495636e-6 + 5.278126996884678e-7im	1.194111255358307e-6 + 5.295413244240963e-7im	-0.12070343379426507 - 0.002925182743183345im
-1.739925939153325 + 0.0im	-0.023797614941171493 - 0.0003673748563254299im	1.23212527192089e-6 + 5.587755831345933e-7im	1.2451144975839546e-6 + 5.606648853780711e-7im	-0.12250189727679166 - 0.0031218144454825147im
-1.7226989496567575 + 0.0im	-0.024080985589870936 - 0.0003859265822299663im	1.2846079265629128e-6 + 5.91439866409437e-7im	1.298008156036532e-6 + 5.93502344472864e-7im	-0.12433693854864589 - 0.0033308548946868882im
-1.7056425244126312 + 0.0im	-0.024368311247304025 - 0.00040524683803964224im	1.3389585270832164e-6 + 6.258921435833092e-7im	1.352781728418864e-6 + 6.281410802179268e-7im	-0.12620922888262587 - 0.0035530286552447814im
-1.6887549746659716 + 0.0im	-0.024659623604252792 - 0.0004253583581898158im	1.3951782806878833e-6 + 6.622229221319241e-7im	1.409437130162218e-6 + 6.646724191050765e-7im	-0.12811939232301045 - 0.0037890981141645314im
-1.6720346283821501 + 0.0im	-0.024954957024018634 - 0.00044628415874036663im	1.4532747679324852e-6 + 7.005267568498202e-7im	1.4679806395467e-6 + 7.031917698663941e-7im	-0.13006811454229447 - 0.00403986508598899im
-1.6554798300813367 + 0.0im	-0.0252543505611561 - 0.00046804753200150554im	1.5132511429857344e-6 + 7.409023843472876e-7im	1.5284189700338704e-6 + 7.437987582065055e-7im	-0.13205611765017944 - 0.004306172454296195im
-1.6390889406745908 + 0.0im	-0.025557846671660292 - 0.0004906720419884086im	1.5751204603123197e-6 + 7.834528577143769e-7im	1.5907611887022025e-6 + 7.86597361581933e-7im	-0.13408413633616983 - 0.004588905847709771im
-1.622860337301575 + 0.0im	-0.0258654902404119 - 0.0005141815208550524im	1.6388981576951035e-6 + 8.282856808959176e-7im	1.6550249604725262e-6 + 8.316960435602347e-7im	-0.13615290754503595 - 0.004888995348090832im
-1.6067924131698763 + 0.0im	-0.026177329759181366 - 0.0005386000664655525im	1.7045938040399301e-6 + 8.755129422804381e-7im	1.7212177908756954e-6 + 8.792078872502781e-7im	-0.138263236073062 - 0.0052074172282542365im
-1.5908835773959171 + 0.0im	-0.02649341528110988 - 0.0005639520412692035im	1.7722193386513158e-6 + 9.252514469633208e-7im	1.7893541227643816e-6 + 9.292507272521858e-7im	-0.14041591515720803 - 0.0055451957162057875im
-1.5751322548474427 + 0.0im	-0.026813798880569596 - 0.0005902620726531624im	1.8417878178081711e-6 + 9.776228471007096e-7im	1.859444217331879e-6 + 9.819472795314439e-7im	-0.14261170650947605 - 0.005903404782534179im
-1.559536885987567 + 0.0im	-0.02713853902979854 - 0.0006175550549543467im	1.913314633612365e-6 + 1.032753769725582e-6im	1.9315034377659284e-6 + 1.0374252685764421e-6im	-0.14485146065214063 - 0.006283169947212061im
-1.5440959267203633 + 0.0im	-0.027467680162709108 - 0.0006458561533195859im	1.986803644481005e-6 + 1.0907759413512634e-6im	2.0055405135828455e-6 + 1.0958175511523566e-6im	-0.1471359897269219 - 0.006685670101665277im
-1.5288078482379834 + 0.0im	-0.0278012923690939 - 0.0006751908096103349im	2.062266783833111e-6 + 1.1518263086404726e-6im	2.0815604377954097e-6 + 1.157262235917211e-6im	-0.14946609127119706 - 0.007112139341558913im
-1.5136711368692906 + 0.0im	-0.02813942961008675 - 0.0007055847505553421im	2.1397087405126383e-6 + 1.216047154370104e-6im	2.1595709217549134e-6 + 1.2219027981179414e-6im	-0.1518425632803062 - 0.007563868805323714im
-1.4986842939299907 + 0.0im	-0.028482154966231327 - 0.0007370639983614848im	2.219133151063223e-6 + 1.283586207873351e-6im	2.239573730904372e-6 + 1.289888188535893e-6im	-0.1542662561448561 - 0.008042208513008188im
-1.483845835574248 + 0.0im	-0.028829531044504163 - 0.0007696548839995848im	2.3005414923756655e-6 + 1.3545967490918028e-6im	2.3215716780460865e-6 + 1.3613729358023193e-6im	-0.15673795633942048 - 0.008548569199590591im
-1.4691542926477703 + 0.0im	-0.029181624383975122 - 0.000803384063388313im	2.383930897112794e-6 + 1.429237705320882e-6im	2.4055590673248885e-6 + 1.4365172411555264e-6im	-0.15925847722551573 - 0.009084424136423287im
-1.4546082105423468 + 0.0im	-0.029538500147312696 - 0.000838278536705325im	2.469296336030144e-6 + 1.5076737396828472e-6im	2.4915325172180617e-6 + 1.515487064662437e-6im	-0.16182870782110031 - 0.009651310934010329im
-1.4402061490518285 + 0.0im	-0.029900229289814416 - 0.0008743656710604858im	2.5566233892868276e-6 + 1.590075330312531e-6im	2.579476127251326e-6 + 1.5984542018788352e-6im	-0.16444931177614333 - 0.01025083331883933im
-1.4259466822295332 + 0.0im	-0.03026688277350553 - 0.0009116732267714103im	2.6458999355359205e-6 + 1.6766188391926106e-6im	2.6693759633213156e-6 + 1.6855963498746727e-6im	-0.16712110424673443 - 0.010884662876502672im
-1.4118283982470625 + 0.0im	-0.030638531798871767 - 0.000950229387486643im	2.737104483341732e-6 + 1.7674865695274899e-6im	2.761210763844608e-6 + 1.7770971615038542e-6im	-0.16984480320931944 - 0.011554540752853015im
-1.3978498992545174 + 0.0im	-0.031015250816773074 - 0.0009900627944064867im	2.830213795062182e-6 + 1.8628668104984004e-6im	2.854956508345727e-6 + 1.8731462867521135e-6im	-0.1726212378024148 - 0.012262279304445177im
