w	self_d-self_d	selfc_d-self_d	self_d-selfc_d	selfc_d-selfc_d
-2.0 + 0.0im	-0.05949223010612665 - 3.394071972851994e-5im	1.5916188634789299e-6 + 9.329249150779837e-9im	1.589224080244858e-6 + 9.341352935366397e-9im	-0.015526423881585493 - 3.0809575514629255e-5im
-1.9801980198019802 + 0.0im	-0.06004106152370999 - 3.588283269439309e-5im	1.6275067894067302e-6 + 9.899773453978898e-9im	1.625095535736568e-6 + 9.912902069632168e-9im	-0.015720458232233753 - 3.218794816247375e-5im
-1.9605920988138417 + 0.0im	-0.06052756667610279 - 3.792093844665695e-5im	1.6456064319280566e-6 + 1.0500111315173128e-8im	1.6431546904097854e-6 + 1.0514339338631149e-8im	-0.015856271548311904 - 3.3619603733826845e-5im
-1.9411802958552888 + 0.0im	-0.06102014888144349 - 4.0058705196561934e-5im	1.664727821760966e-6 + 1.1131472500035052e-8im	1.6622363467918033e-6 + 1.114687828119933e-8im	-0.015995858683914996 - 3.510616394465697e-5im
-1.9219606889656324 + 0.0im	-0.06151707533316193 - 4.229987067177335e-5im	1.6843988155227599e-6 + 1.1795093762525697e-8im	1.6818671310245235e-6 + 1.1811759506866677e-8im	-0.0161376329430618 - 3.664927541015785e-5im
-1.9029313752134975 + 0.0im	-0.06201782680641465 - 4.464823888549865e-5im	1.704476602360206e-6 + 1.2492238102702765e-8im	1.7019043497438444e-6 + 1.2510249949478084e-8im	-0.016281111852301595 - 3.825060850316547e-5im
-1.8840904705084134 + 0.0im	-0.06252218039078108 - 4.710767657423003e-5im	1.7249007603956593e-6 + 1.322419393116564e-8im	1.722287494701604e-6 + 1.3243642027120335e-8im	-0.01642608835307702 - 3.991185610306454e-5im
-1.8654361094142706 + 0.0im	-0.06303001660952165 - 4.968210929859368e-5im	1.7456405962426675e-6 + 1.3992274138785859e-8im	1.7429856626464275e-6 + 1.4013252707010586e-8im	-0.016572457729607325 - 4.1634732232899194e-5im
-1.8469664449646244 + 0.0im	-0.06354127740497487 - 5.2375517202897696e-5im	1.7666794435143527e-6 + 1.4797815070730401e-8im	1.7639823442397913e-6 + 1.4820422474362338e-8im	-0.016720157275996742 - 4.342097058271337e-5im
-1.828679648479826 + 0.0im	-0.06405592080646225 - 5.519193043015387e-5im	1.788008015213104e-6 + 1.5642175404170177e-8im	1.785268295440427e-6 + 1.566651420463101e-8im	-0.016869154989099234 - 4.52723229174831e-5im
-1.8105739093859663 + 0.0im	-0.06457392269869508 - 5.813542419061952e-5im	1.8096192698516647e-6 + 1.6526734929478152e-8im	1.8068367266345598e-6 + 1.65529119389542e-8im	-0.01701942755590114 - 4.7190557368370005e-5im
-1.79264743503561 + 0.0im	-0.0650952678256559 - 6.121011348325855e-5im	1.8315107445314973e-6 + 1.7452893235157466e-8im	1.8286843281315443e-6 + 1.748101956304011e-8im	-0.017170961206283742 - 4.9177456606419037e-5im
-1.774898450530307 + 0.0im	-0.06561994375629092 - 6.442014747095635e-5im	1.8536798655760265e-6 + 1.8422068297202728e-8im	1.8508092509398646e-6 + 1.8452259390219276e-8im	-0.01732374738744138 - 5.123481589824722e-5im
-1.7573251985448584 + 0.0im	-0.06614794243881328 - 6.776970351183397e-5im	1.876126139224855e-6 + 1.9435694974080426e-8im	1.8732105764742679e-6 + 1.9468070649861175e-8im	-0.017477781309077563 - 5.336444104371797e-5im
-1.739925939153325 + 0.0im	-0.06667926219781824 - 7.126298085059468e-5im	1.8988495573622536e-6 + 2.0495223409021865e-8im	1.895888077168828e-6 + 2.0529907882863046e-8im	-0.017633060295642575 - 5.556814619607241e-5im
-1.7226989496567575 + 0.0im	-0.06721389816465136 - 7.490419397548934e-5im	1.9218492120623727e-6 + 2.160211734184677e-8im	1.91884186433297e-6 + 2.163923924644577e-8im	-0.01778958367839753 - 5.784775156548696e-5im
