-2.0 + 0.0im	-0.1827043980103859 - 8.796019160267375e-5im	-2.2565387758060373e-5 + 8.860324721104706e-8im	-2.2565152808145516e-5 + 8.866668390151458e-8im	-0.37954770209882643 - 0.00014245709671013504im
-1.98019801980198 + 0.0im	-0.18287320145995165 - 9.256784264734591e-5im	-2.2321139394468338e-5 + 9.225569583227102e-8im	-2.232079109992044e-5 + 9.232154294556295e-8im	-0.3798282696548919 - 0.0001492487488817325im
-1.96059209881384 + 0.0im	-0.18287257885107489 - 9.753294795313325e-5im	-2.224589666721372e-5 + 9.697824724325011e-8im	-2.2245557074474388e-5 + 9.704710356032223e-8im	-0.37983522555618887 - 0.0001572691027684212im
-1.94118029585529 + 0.0im	-0.18287956053034002 - 0.00010271242063173238im	-2.2162164609879986e-5 + 1.0185934894911575e-7im	-2.216182113613075e-5 + 1.0193132318519589e-7im	-0.37985455234185306 - 0.00016560601600723091im
-1.92196068896563 + 0.0im	-0.18288964390827434 - 0.00010811681421350983im	-2.2074434058875444e-5 + 1.0692645186733353e-7im	-2.2074086970887542e-5 + 1.070016420117008e-7im	-0.3798789962265063 - 0.0001742924624758761im
-1.9029313752135 + 0.0im	-0.18290145073040637 - 0.0001137542188390567im	-2.198407847887631e-5 + 1.1219192022504872e-7im	-2.1983731126283846e-5 + 1.1227041661153122e-7im	-0.37990633852475963 - 0.0001833462591102912im
-1.88409047050841 + 0.0im	-0.18291438361726936 - 0.00011963213204531988im	-2.1891686229449795e-5 + 1.1766447902054362e-7im	-2.189133493737607e-5 + 1.1774639600457563e-7im	-0.37993560911241553 - 0.00019278155900720657im
-1.86543610941427 + 0.0im	-0.18292812255538843 - 0.0001257578674828845im	-2.1797569570780874e-5 + 1.2335154030631488e-7im	-2.1797213922578566e-5 + 1.234369770338269e-7im	-0.37996630701297535 - 0.00020261126115171213im
-1.84696644496462 + 0.0im	-0.18294248935765467 - 0.00013213866489301945im	-2.1701892956588952e-5 + 1.2926002431706578e-7im	-2.1701532305648993e-5 + 1.2934908812065413e-7im	-0.37999813880682576 - 0.0002128477112583859im
-1.82867964847983 + 0.0im	-0.18295736252411063 - 0.00013878171404114943im	-2.1604764507998606e-5 + 1.353965223837101e-7im	-2.1604397631005743e-5 + 1.354893139374722e-7im	-0.3800308991150372 - 0.00022350291294561753im
-1.81057390938597 + 0.0im	-0.18297266243180746 - 0.00014569418321952297im	-2.150625055614527e-5 + 1.417675506810418e-7im	-2.1505879992603297e-5 + 1.4186416211598728e-7im	-0.3800644833403765 - 0.00023458886121169786im
-1.79264743503561 + 0.0im	-0.18298833091050795 - 0.000152883209101404im	-2.1406396181183642e-5 + 1.4837953059076895e-7im	-2.1406020250488526e-5 + 1.484800570287509e-7im	-0.3800987904682063 - 0.00024611736728881147im
-1.77489845053031 + 0.0im	-0.18300432878252387 - 0.00016035590488342903im	-2.130522759135459e-5 + 1.5523885756113766e-7im	-2.1304851035320135e-5 + 1.553433816649099e-7im	-0.38013375571866215 - 0.000258100201286015im
-1.75732519854486 + 0.0im	-0.1830206189750225 - 0.00016811932229642338im	-2.1202772061191486e-5 + 1.6235186735172621e-7im	-2.1202386888721284e-5 + 1.6246049102543107e-7im	-0.3801693235754338 - 0.0002705490392899586im
-1.73992593915333 + 0.0im	-0.18303717534482097 - 0.00017618047486543323im	-2.1099029804941375e-5 + 1.6972499107406299e-7im	-2.1098638981624896e-5 + 1.6983778441229763e-7im	-0.3802054979106966 - 0.0002834755986315346im
-1.72269894965676 + 0.0im	-0.18305397623545167 - 0.00018454630260118123im	-2.0994016026253295e-5 + 1.773645222653385e-7im	-2.0993618325133676e-5 + 1.7748155698581528e-7im	-0.38024213556206166 - 0.00029689131681578246im
-1.70564252441263 + 0.0im	-0.1830710045097438 - 0.00019322368319941421im	-2.088773000121906e-5 + 1.8527693208790298e-7im	-2.0887327435127855e-5 + 1.8539827089163773e-7im	-0.38027933767242933 - 0.0003108078944535301im
-1.68875497466597 + 0.0im	-0.18308824474162222 - 0.0002022193921811949im	-2.078017137619107e-5 + 1.9346837994242722e-7im	-2.07797643713097e-5 + 1.9359407524301115e-7im	-0.3803169554231356 - 0.00032523628274157236im
