-2.0 + 0.0im	-0.1829119072124645 - 0.0002564781785511381im	-2.0458551864160252e-5 + 2.5814067782341934e-7im	-2.0044317071055263e-5 + 4.952876192644382e-7im	-0.3801680959166436 - 0.000591804051816678im
-1.98019801980198 + 0.0im	-0.1833758245019904 - 0.00026622797519259287im	-1.9894180443176896e-5 + 2.6402190677331915e-7im	-1.905589333964718e-5 + 5.050803263670804e-7im	-0.38122914612311687 - 0.0006013995617384023im
-1.96059209881384 + 0.0im	-0.18334745725402699 - 0.00027821487325748714im	-1.982016637619867e-5 + 2.7610305410689805e-7im	-1.9005161457587604e-5 + 5.328209145818951e-7im	-0.38116759598550704 - 0.0006303271469091329im
-1.94118029585529 + 0.0im	-0.18334094301262416 - 0.0002905191249100259im	-1.9723035816353e-5 + 2.883483880760352e-7im	-1.891207189132694e-5 + 5.610833074378652e-7im	-0.38115533265480794 - 0.0006594603953064747im
-1.92196068896563 + 0.0im	-0.18334313350514625 - 0.0003031936537065362im	-1.9615917274314167e-5 + 3.009102455863584e-7im	-1.8801224549044718e-5 + 5.903191454421228e-7im	-0.38116268940484554 - 0.0006892662646132223im
-1.9029313752135 + 0.0im	-0.1833499602672993 - 0.0003162585686072449im	-1.9502779942421964e-5 + 3.138404820810143e-7im	-1.8680130412906383e-5 + 6.206937202342177e-7im	-0.3811805462752413 - 0.0007198952059569749im
-1.88409047050841 + 0.0im	-0.18335967276520615 - 0.0003297256429388412im	-1.938538714460589e-5 + 3.271663913795419e-7im	-1.8552104966428017e-5 + 6.523032118830318e-7im	-0.3812049187553669 - 0.0007514195236359554im
-1.86543610941427 + 0.0im	-0.18337133648296952 - 0.0003436035774173846im	-1.926456233810854e-5 + 3.409063805821638e-7im	-1.8418823284193476e-5 + 6.852183081786083e-7im	-0.38123368598292656 - 0.0007838830256285401im
-1.84696644496462 + 0.0im	-0.1833843897116839 - 0.0003578994503911935im	-1.9140893396869074e-5 + 3.550748746546346e-7im	-1.8281329864946915e-5 + 7.194996355147161e-7im	-0.38126559498531803 - 0.0008173161076587211im
-1.82867964847983 + 0.0im	-0.18339849326338617 - 0.0003726194104010259im	-1.9014704590893542e-5 + 3.696840960087568e-7im	-1.8140253046419985e-5 + 7.552019604508618e-7im	-0.3812998999604024 - 0.0008517411202516958im
-1.81057390938597 + 0.0im	-0.18341340458176428 - 0.0003877689482508636im	-1.888619198601075e-5 + 3.8474552384055014e-7im	-1.799601478261476e-5 + 7.923772963670626e-7im	-0.38133599949411545 - 0.0008871773882969184im
-1.79264743503561 + 0.0im	-0.1834289567986516 - 0.00040335303203318243im	-1.875551455927188e-5 + 4.002696834986206e-7im	-1.784892848140007e-5 + 8.310761967530562e-7im	-0.3813735227936548 - 0.000923640152816007im
-1.77489845053031 + 0.0im	-0.1834450072110856 - 0.00041937621595203024im	-1.8622761500337636e-5 + 4.162668925761064e-7im	-1.7699213556381422e-5 + 8.713482653462127e-7im	-0.3814121769984109 - 0.0009611427103017504im
-1.75732519854486 + 0.0im	-0.1834614786036873 - 0.0004358425604257279im	-1.848796961718749e-5 + 4.3274701253520875e-7im	-1.754704248403658e-5 + 9.132424950353289e-7im	-0.3814517557520823 - 0.0009996961205816694im
-1.73992593915333 + 0.0im	-0.18347828592569132 - 0.00045275580187271157im	-1.8351216024209264e-5 + 4.4972027332967016e-7im	-1.7392550810216372e-5 + 9.568074403182546e-7im	-0.3814920324558246 - 0.0010393108458324279im
-1.72269894965676 + 0.0im	-0.18349537430826565 - 0.00047011929746512384im	-1.8212552489261607e-5 + 4.671961683982457e-7im	-1.72358353690104e-5 + 1.002091093099439e-6im	-0.38153293725084353 - 0.0010799938197872145im
-1.70564252441263 + 0.0im	-0.1835126762037315 - 0.00048793603633642536im	-1.807197371473252e-5 + 4.85185108835883e-7im	-1.7076997667448486e-5 + 1.0491414970672357e-6im	-0.38157422514571565 - 0.0011217540800485387im
-1.68875497466597 + 0.0im	-0.18353015267939768 - 0.0005062086122804122im	-1.7929490421478005e-5 + 5.036960080475942e-7im	-1.6916113646696324e-5 + 1.0980065642033948e-6im	-0.38161601808481127 - 0.0011645929051296018im
-1.67203462838215 + 0.0im	-0.1835477719670088 - 0.0005249392508902332im	-1.778512781706228e-5 + 5.227399781497366e-7im	-1.675326095829247e-5 + 1.1487333967466008e-6im	-0.38165798897629916 - 0.0012085190171341707im
-1.65547983008134 + 0.0im	-0.18356549931588625 - 0.0005441298166203288im	-1.7638878272725003e-5 + 5.423267159948835e-7im	-1.6588487421661942e-5 + 1.2013685856593884e-6im	-0.3817001502145608 - 0.001253533480318729im
-1.63908894067459 + 0.0im	-0.18358330326445352 - 0.0005637818030285811im	-1.7490727078196156e-5 + 5.62466698407469e-7im	-1.642185220076893e-5 + 1.2559583683346338e-6im	-0.38174239270926946 - 0.001299638720864984im
-1.62286033730158 + 0.0im	-0.1836011554208327 - 0.0005838963534886431im	-1.7340706168234704e-5 + 5.831700763526313e-7im	-1.62534200743585e-5 + 1.3125488585886633e-6im	-0.3817847089490089 - 0.0013468337880959548im
-1.60679241316988 + 0.0im	-0.18361903414528202 - 0.0006044741800897917im	-1.7188766307568743e-5 + 6.04447453642481e-7im	-1.6083228594766856e-5 + 1.3711844969696011e-6im	-0.3818270425873114 - 0.0013951172563767267im
-1.59088357739592 + 0.0im	-0.1836369212197301 - 0.0006255156486212555im	-1.7034910106515575e-5 + 6.263098368777683e-7im	-1.591132239201559e-5 + 1.4319094071053566e-6im	-0.38186931985686473 - 0.0014444873065792203im
-1.57513225484744 + 0.0im	-0.18365479536508209 - 0.0006470207665632744im	-1.6879115940046245e-5 + 6.487688956867391e-7im	-1.5737761938803983e-5 + 1.4947669823009003e-6im	-0.3819114065228543 - 0.0014949426886044787im
-1.55953688598757 + 0.0im	-0.18367262597835665 - 0.0006689891862153512im	-1.6721369051406684e-5 + 6.718351915266537e-7im	-1.5562607960166383e-5 + 1.5597999128643668e-6im	-0.38195336227814497 - 0.0015464752572611994im
-1.54409592672036 + 0.0im	-0.18369040824055854 - 0.0006914202359101786im	-1.6561656888164112e-5 + 6.955215432892218e-7im	-1.5385849866913327e-5 + 1.6270476465247213e-6im	-0.38199510355892424 - 0.0015990799646232816im
-1.52880784823798 + 0.0im	-0.18370810360225073 - 0.0007143127881654099im	-1.6399949409695945e-5 + 7.198388687277519e-7im	-1.5207583801257359e-5 + 1.6965514413920868e-6im	-0.38203663849478653 - 0.0016527473225840456im
-1.51367113686929 + 0.0im	-0.18372572382790228 - 0.0007376653366778829im	-1.6236240946630837e-5 + 7.448009143940247e-7im	-1.5027849643642984e-5 + 1.7683494249601284e-6im	-0.38207782150179626 - 0.0017074721878999534im
