-2.0 + 0.0im	0.37518706796551865 - 2.753756903010693e-5im	-3.891853922234409e-5 + 1.7512257509289059e-9im	-3.9006794832025994e-5 + 3.1957087756877167e-9im	0.18082109508893512 - 5.486639827666083e-5im
-1.98019801980198 + 0.0im	0.37512244904804504 - 2.847905215193335e-5im	-3.898992744730067e-5 + 1.7512622421810441e-9im	-3.907742536679351e-5 + 3.231688592646135e-9im	0.18071863895805157 - 5.659339982087883e-5im
-1.96059209881384 + 0.0im	0.37511063679780987 - 2.949714130414466e-5im	-3.9065264177445164e-5 + 1.779039457215939e-9im	-3.9154805146638907e-5 + 3.2856399547205616e-9im	0.18072149363730478 - 5.8507298161316275e-5im
-1.94118029585529 + 0.0im	0.37509632281129857 - 3.0539780188758576e-5im	-3.914107083323811e-5 + 1.8048168777801237e-9im	-3.9232550986491045e-5 + 3.337356529315375e-9im	0.18071955910054283 - 6.046399237021119e-5im
-1.92196068896563 + 0.0im	0.3750809568764912 - 3.160860268726485e-5im	-3.921744442947331e-5 + 1.8293266607387946e-9im	-3.9310835176926445e-5 + 3.387281696660938e-9im	0.1807156945183639 - 6.24677868068957e-5im
-1.9029313752135 + 0.0im	0.37506499684283096 - 3.270433996535591e-5im	-3.9294416760624885e-5 + 1.852799006220728e-9im	-3.9389715188994356e-5 + 3.4355220898246726e-9im	0.18071078158640513 - 6.452049989196551e-5im
-1.88409047050841 + 0.0im	0.3750485331647995 - 3.382742135013792e-5im	-3.9372003486250996e-5 + 1.8753474411414757e-9im	-3.946921658523866e-5 + 3.4820891148999825e-9im	0.18070520700867612 - 6.662333516243997e-5im
-1.86543610941427 + 0.0im	0.37503182483683956 - 3.497835526179802e-5im	-3.9450213671795816e-5 + 1.897049404912235e-9im	-3.954935661059091e-5 + 3.527011318497824e-9im	0.1806991747946083 - 6.877727056591147e-5im
-1.84696644496462 + 0.0im	0.375014772732459 - 3.615739835577044e-5im	-3.9529062498612846e-5 + 1.9179776909420932e-9im	-3.96301505888932e-5 + 3.570271775623949e-9im	0.18069280321684805 - 7.098318042175154e-5im
-1.82867964847983 + 0.0im	0.3749975258896387 - 3.736496471557066e-5im	-3.96085582727955e-5 + 1.9382031059586228e-9im	-3.971160314759186e-5 + 3.611889693496725e-9im	0.18068617355237415 - 7.324188359096306e-5im
-1.81057390938597 + 0.0im	0.37498007463627137 - 3.860135160543477e-5im	-3.9688696519195785e-5 + 1.9577922643800163e-9im	-3.979372328808749e-5 + 3.6518765068502207e-9im	0.18067933323846544 - 7.555416108120252e-5im
-1.79264743503561 + 0.0im	0.37496243094919995 - 3.9866861433557225e-5im	-3.976948714552372e-5 + 1.976831882584595e-9im	-3.987651744517493e-5 + 3.690256671290529e-9im	0.18067232074938255 - 7.792077514667849e-5im
