-2.0 + 0.0im	0.37550718328108795 - 1.5165569968775036e-5im	2.366901352550322e-5 + 2.9879941327423727e-9im	2.3668893943617723e-5 + 2.9391418864895553e-9im	0.1809363067497483 - 3.0107642416716125e-5im
-1.98019801980198 + 0.0im	0.37546569394750756 - 1.5786830706118247e-5im	2.360819649625069e-5 + 3.115836611302707e-9im	2.3607989446087735e-5 + 3.0640803838826994e-9im	0.18087714410507438 - 3.127003202481898e-5im
-1.96059209881384 + 0.0im	0.375453284349993 - 1.6429393842599238e-5im	2.354103968882732e-5 + 3.247989591086087e-9im	2.3540839775412673e-5 + 3.193428414350583e-9im	0.1808758648770237 - 3.247355689216452e-5im
-1.94118029585529 + 0.0im	0.37543945009770563 - 1.7092424851463988e-5im	2.3473548834902378e-5 + 3.384433021153286e-9im	2.347335232489382e-5 + 3.3269989981758156e-9im	0.18087194239465282 - 3.3713477327242985e-5im
-1.92196068896563 + 0.0im	0.3754249860540335 - 1.7776366826356143e-5im	2.3405564925618753e-5 + 3.525253721236471e-9im	2.3405370054484665e-5 + 3.4648871148085615e-9im	0.18086694171207082 - 3.4990685045675536e-5im
-1.9029313752135 + 0.0im	0.3754101365579453 - 1.8481641055042154e-5im	2.333703522354867e-5 + 3.67053642137213e-9im	2.333684126223907e-5 + 3.60718317934501e-9im	0.18086134417917493 - 3.63059822175453e-5im
-1.88409047050841 + 0.0im	0.37539497514643616 - 1.920865951471435e-5im	2.3267936039140965e-5 + 3.820365081933427e-9im	2.3267742595371536e-5 + 3.7539766418122835e-9im	0.18085536046786557 - 3.766015272758507e-5im
-1.86543610941427 + 0.0im	0.3753796073271059 - 1.995783879042926e-5im	2.3198249979810198e-5 + 3.97482338676216e-9im	2.3198056198094467e-5 + 3.9053566833081525e-9im	0.18084910045591596 - 3.90539768727156e-5im
-1.84696644496462 + 0.0im	0.37536401314819073 - 2.0729584321196962e-5im	2.312796684267317e-5 + 4.133994808654462e-9im	2.312777277825665e-5 + 4.061412836592343e-9im	0.18084263165307282 - 4.04882356727336e-5im
-1.82867964847983 + 0.0im	0.3753482497591891 - 2.152430789258364e-5im	2.3057076457279743e-5 + 4.2979622930774225e-9im	2.305688333673261e-5 + 4.222234175022388e-9im	0.18083599356900307 - 4.196371311083466e-5im
-1.81057390938597 + 0.0im	0.37533231893003804 - 2.234241513851249e-5im	2.2985572535907062e-5 + 4.46680836690296e-9im	2.2985379908494337e-5 + 4.387910264288534e-9im	0.18082921440173605 - 4.348119569032308e-5im
-1.79264743503561 + 0.0im	0.37531622823405975 - 2.3184310741008473e-5im	2.291344859181051e-5 + 4.640615416096566e-9im	2.2913256037766335e-5 + 4.558530702851626e-9im	0.18082231427581766 - 4.504147367514267e-5im
-1.77489845053031 + 0.0im	0.3752999902380172 - 2.405039832776899e-5im	2.2840697692142576e-5 + 4.819465450979708e-9im	2.2840505272236203e-5 + 4.7341852572162756e-9im	0.1808153077619466 - 4.664534052549421e-5im
-1.75732519854486 + 0.0im	0.37528360599592103 - 2.4941078309118932e-5im	2.2767314163692207e-5 + 5.003440075525808e-9im	2.276712211430289e-5 + 4.914963800882577e-9im	0.18080820581298498 - 4.829359283501396e-5im
